date,KRW,THB,INR,PHP,CNH,IDR,MYR,SGD,TWD,BRL,HUF,MXN,EUR,JPY,CAD,CLP
2013-01-04,,,,,,,,,,,,,,,,
2013-01-11,,,,,,,,,,,,,,,,
2013-01-18,,,,,,,,,,,,,,,,
2013-01-25,,,,,,,,,,,,,,,,
2013-02-01,0.8999999999999999,-1.3846999999999998,-3.8,-2.6399999999999997,1.4546999999999999,-1.44,2.0064,-3.335,0.19299999999999984,-2.0178000000000003,1.3377,0.6324000000000001,-2.028,0.2822,0.489,4.390000000000001
2013-02-08,0.8999999999999999,-1.2083,-1.790000000000001,-2.6199999999999997,0.02450000000000019,-2.4799999999999995,1.5801999999999998,-3.3853,0.4382999999999999,-1.4771,1.4966999999999997,0.5892,-2.0509,0.25529999999999997,0.4888,4.55
2013-02-15,1.08,-0.9381999999999997,-2.46,-3.23,-0.2230000000000001,-2.51,1.7032,-3.3581000000000003,0.815,-2.4016,1.0110000000000001,0.7027000000000001,-2.0403000000000002,0.247,0.5039,4.640000000000001
2013-02-22,0.9199999999999999,-1.3127999999999997,-2.5300000000000002,-2.6999999999999997,-0.2573000000000001,-0.9199999999999999,1.6098000000000001,-3.3702,-0.2430000000000001,-2.4707000000000003,1.2854,0.6248,-2.058,0.25839999999999996,0.4881,4.34
2013-03-01,0.9899999999999998,-1.2033,-3.01,-2.4899999999999998,-1.1996000000000002,-3.4399999999999995,0.8624999999999998,-4.6839,-2.3846,-1.5232999999999999,1.8951000000000002,0.2784,-1.9468999999999999,0.6734,-0.2054999999999999,4.48
2013-03-08,0.96,-0.7871999999999999,-1.129999999999999,-1.8199999999999998,-0.7515000000000001,-2.2899999999999996,0.9236,-4.649100000000001,-3.0732,-1.6132999999999997,2.1548,0.09060000000000024,-1.8485999999999998,0.7476999999999999,-0.10289999999999999,4.640000000000001
2013-03-15,0.9899999999999998,-1.1524,-1.3399999999999999,-3.53,-1.0189000000000004,-1.2099999999999995,1.7187000000000001,-4.6492,-2.577,-2.1339999999999995,2.0659,0.054400000000000226,-1.8593,0.7551,-0.10060000000000002,4.1899999999999995
2013-03-22,1.0099999999999998,-1.2528,-1.1099999999999994,-3.4299999999999997,-0.7283000000000004,0.20000000000000018,1.8096,-4.606800000000001,-2.0806,-1.3478999999999992,2.0496,0.19569999999999999,-1.8935,0.7373,-0.11959999999999993,4.359999999999999
2013-03-29,0.9199999999999999,-1.1763,-0.6999999999999993,-3.3899999999999997,-1.2072000000000003,0.6100000000000003,-1.6192,-4.677300000000001,-3.2042,-2.3045999999999998,1.8323,0.14400000000000013,-1.8524999999999998,0.7471,-0.12939999999999996,4.289999999999999
2013-04-05,0.3999999999999999,0.047800000000000065,-0.4499999999999993,-2.31,-0.020500000000000185,0.33000000000000007,0.46050000000000013,-3.2512,-1.6768,-1.1155999999999997,2.2503,-0.6225999999999998,-1.6489,0.9610000000000001,0.1076999999999999,4.0
2013-04-12,0.77,-0.44499999999999984,-2.1799999999999997,-3.8600000000000003,-0.4317000000000002,-3.38,0.8075999999999999,-3.2531,-1.475,-2.0069,2.5615999999999994,-0.7542,-1.6517,0.9719,0.12840000000000007,4.41
2013-04-19,0.6699999999999999,-0.5000999999999998,-4.569999999999999,-2.27,-0.5393000000000001,-2.8299999999999996,0.248,-3.2398,-2.3970000000000002,-1.1185,1.8876999999999997,-0.9801000000000002,-1.6441999999999999,0.9897,0.10820000000000007,4.84
2013-04-26,0.10000000000000009,0.6099999999999999,-5.27,-1.85,-0.35950000000000015,-2.5899999999999994,0.5280999999999998,-3.2444,-3.2165,-1.4897999999999998,2.2635999999999994,-0.9847999999999999,-1.6571,0.9947,0.11870000000000003,3.8499999999999996
2013-05-03,0.6399999999999999,0.6522999999999999,-4.49,-2.5,-0.8677999999999999,1.5,1.5231000000000001,-1.2259,-0.6915,-0.28080000000000016,2.4170999999999996,-1.2609000000000004,-1.1383999999999999,0.7870999999999999,0.6938000000000001,4.59
2013-05-10,1.24,0.1722999999999999,-1.9900000000000002,-0.15000000000000036,0.32909999999999995,-3.16,-0.24019999999999997,-1.2511,1.1159000000000001,-0.18240000000000034,2.6395999999999997,-1.3353000000000002,-1.1235,0.8179,0.6831999999999999,4.9
2013-05-17,0.7899999999999998,1.1105,-3.09,0.16999999999999993,0.5602,4.63,1.4389,-1.1619,2.1742,0.7063999999999995,2.4696999999999996,-1.2940000000000005,-1.1418,0.8266,0.7176999999999999,5.15
2013-05-24,0.8,1.3936000000000002,-0.9100000000000001,0.8899999999999997,0.2519,5.829999999999999,0.7575000000000001,-1.1676,-0.0848000000000001,1.5912000000000006,2.673,-1.0964000000000005,-1.1132,0.8128,0.7537999999999999,5.0
2013-05-31,1.08,1.0209000000000001,0.5600000000000005,1.5500000000000003,0.5034000000000001,20.04,1.4041,-1.3258,1.4388,0.8520000000000003,2.2972,-0.9043999999999999,-1.3085,0.436,0.4405000000000001,5.319999999999999
2013-06-07,1.2599999999999998,1.1873,0.23000000000000043,0.4900000000000002,1.0566,24.11,-0.07030000000000003,-1.399,-1.1056,1.4898999999999996,2.3244,-0.7168000000000001,-1.3105,0.4072,0.4727000000000001,5.64
2013-06-14,0.8999999999999999,1.5886,-1.4699999999999998,-2.1999999999999997,1.5490999999999997,18.78,0.8013000000000001,-1.3964,-1.2687,1.4454000000000002,2.4848,-0.9889999999999999,-1.2976999999999999,0.3901,0.44700000000000006,5.4399999999999995
2013-06-21,1.12,1.5259,0.5400000000000009,5.7299999999999995,3.9815,36.120000000000005,3.8200000000000003,-1.3712,1.0601,0.9565000000000001,2.2773000000000003,-1.0105,-1.2988,0.3827,0.35509999999999997,5.89
2013-06-28,1.13,1.2128999999999999,-0.27999999999999936,-2.09,1.5657999999999999,13.770000000000001,0.8654,-1.3975,-1.5335,2.2325999999999997,2.1422,-1.1454999999999997,-1.2703,0.4394,0.43799999999999994,5.77
2013-07-05,0.71,0.7522000000000002,-0.379999999999999,-1.39,0.16349999999999998,19.669999999999998,-1.5796000000000001,-1.5683,0.7516999999999999,1.7892000000000001,2.0533,-0.6538999999999997,-1.4687000000000001,-0.09600000000000002,-0.047900000000000054,5.12
2013-07-12,0.99,1.4249,3.4400000000000013,-2.86,-0.0968,13.440000000000001,0.39349999999999974,-1.5754000000000001,-1.1559,1.8083,1.9889000000000001,-0.7168999999999999,-1.4782000000000002,-0.11230000000000001,-0.020000000000000018,4.87
2013-07-19,0.9099999999999999,-0.2890999999999999,-0.129999999999999,-2.81,0.21499999999999986,22.169999999999998,0.9461000000000002,-1.5689,-0.4498,1.7131999999999996,1.9959000000000002,-0.6964999999999999,-1.4609,-0.10850000000000001,-0.02190000000000003,4.340000000000001
2013-07-26,1.0999999999999999,1.4223,-1.1099999999999994,-3.65,-0.22950000000000026,15.0,0.7998999999999998,-1.578,-0.9222999999999999,1.839199999999999,1.5830000000000002,-0.4524999999999997,-1.451,-0.11370000000000001,-0.05800000000000005,4.44
2013-08-02,0.79,1.6508000000000003,1.75,-2.25,-0.24370000000000003,5.33,1.4886,-1.6761,1.484,1.7759,1.6862000000000001,0.2155999999999998,-1.4547,-0.6036999999999999,-0.16979999999999995,4.07
2013-08-09,0.71,1.4454000000000002,0.8300000000000001,-2.77,-0.29990000000000006,8.629999999999999,1.173,-1.6784999999999999,-0.7751999999999999,1.9502000000000006,1.9683,0.03469999999999995,-1.4520000000000002,-0.6085999999999999,-0.1814,4.02
2013-08-16,0.75,1.7414,4.880000000000001,-0.8499999999999999,-0.6419000000000001,13.239999999999998,0.7770000000000001,-1.6555,-1.2281,2.5538000000000007,1.7476,0.056299999999999795,-1.4636,-0.614,-0.1613,3.6199999999999997
2013-08-23,0.8300000000000001,3.6179000000000006,5.0600000000000005,-2.29,-0.5849000000000002,15.25,1.2376,-1.6758,-1.5616,2.690100000000001,2.0437000000000003,0.15339999999999998,-1.4712,-0.6117999999999999,-0.13240000000000007,4.23
2013-08-30,1.1099999999999999,3.7413,18.62,-1.7999999999999998,-0.34640000000000004,11.32,-0.9139999999999999,-1.6799,-1.4236,2.8085000000000004,1.7288,0.08579999999999988,-1.4554,-0.6013999999999999,-0.14260000000000006,4.369999999999999
2013-09-06,1.1800000000000002,2.1612999999999998,3.3499999999999996,-2.5700000000000003,-0.6257000000000001,15.8,2.2563,-1.7449,-1.0126,2.976700000000001,2.0929,-0.10460000000000003,-1.1653,-0.812,0.06719999999999993,3.7500000000000004
2013-09-13,1.2999999999999998,0.9119999999999997,6.43,-2.85,-1.0014,-11.95,1.311,-1.7714,-0.49649999999999994,2.8667999999999996,2.0142999999999995,-0.019099999999999895,-1.1513,-0.8183,0.0464,3.61
2013-09-20,0.9300000000000002,-0.2614000000000001,4.279999999999999,-5.53,-1.3095,-38.3,-0.9032999999999999,-1.7908,-2.0570000000000004,2.8923000000000005,1.7565000000000002,-0.1997,-1.1405,-0.8486,0.036799999999999944,3.6999999999999997
2013-09-27,1.33,2.1387,3.6099999999999994,-4.06,-1.3548,-16.810000000000002,1.1318000000000001,-1.7904,-0.5615999999999999,3.5130999999999997,1.5384999999999998,-0.3605999999999998,-1.1402,-0.8326,0.02719999999999989,3.02
2013-10-04,1.63,0.9621000000000002,0.35999999999999943,-12.11,-1.8415,-27.299999999999997,-0.5355000000000003,-1.3619,-2.4083,3.8988000000000005,1.3386,-0.1615000000000002,-0.9458000000000001,-1.0437,0.06129999999999991,4.09
2013-10-11,1.58,2.2983000000000002,-1.5,-3.07,-1.9522,-42.99,0.9232,-1.3929,-4.3027999999999995,3.0293,1.173,-0.21760000000000002,-0.9684000000000001,-1.0512000000000001,0.03069999999999995,3.8900000000000006
2013-10-18,0.7,-0.14349999999999996,-0.8399999999999999,-6.109999999999999,-1.8534,-21.09,-2.7631,-1.3989,-3.9092000000000002,4.0072,1.1928,-0.28469999999999995,-0.9715,-1.0497,0.008899999999999908,2.7600000000000007
2013-10-25,1.4500000000000002,2.3228999999999997,0.07000000000000028,-5.1,-1.6733,-29.08,0.9379,-1.4028,-3.6159,4.070999999999999,1.3317999999999999,-0.2782,-0.9448000000000001,-1.0331000000000001,0.04349999999999987,3.2
2013-11-01,2.21,1.1023,3.3599999999999994,-1.8399999999999999,-1.8678000000000001,-26.5,-2.1491999999999996,-1.7982,-1.9596,4.346299999999999,1.7573000000000003,-0.2673000000000001,-0.5397,-1.0405000000000002,0.45510000000000006,4.33
2013-11-08,2.17,2.359,4.9399999999999995,-2.4699999999999998,-1.9145,-15.239999999999998,-2.0107999999999997,-1.8012,-1.2337,4.3218,2.0973,0.07360000000000033,-0.5350999999999999,-1.0139,0.44389999999999996,4.25
2013-11-15,1.8000000000000003,2.0557,4.389999999999999,-4.87,-1.8752000000000002,-22.63,-0.9233999999999998,-1.7854,-2.3623,3.4876000000000005,1.7408000000000001,-0.007600000000000051,-0.5311999999999999,-1.0182,0.44009999999999994,3.7699999999999996
2013-11-22,1.67,3.7529000000000003,0.9299999999999997,-5.13,-2.0456000000000003,-17.16,-0.7042999999999999,-1.7942,-2.6709,3.8076000000000008,1.6823000000000001,0.051200000000000134,-0.5023,-1.0216,0.46799999999999997,3.08
2013-11-29,2.13,5.0288,-0.7599999999999998,-5.12,-2.1114,-10.05,-1.1134999999999997,-1.781,-1.4014,3.8391,1.3024,-0.5604,-0.4498,-1.1799000000000002,0.44589999999999996,2.5
2013-12-06,1.6199999999999999,4.517,-0.4900000000000002,-1.2,-1.9841,1.3399999999999999,-0.5848999999999998,-2.3865000000000003,-2.0164,4.4199,1.4408000000000003,-0.8983000000000003,-0.5931,-1.6469,0.25470000000000004,2.5200000000000005
2013-12-13,1.11,3.1942000000000004,-2.209999999999999,-0.6200000000000001,-2.0867,-3.74,-1.3457,-2.395,-2.8076,4.658800000000001,1.2877,-1.2761,-0.5547,-1.6152,0.22909999999999997,2.74
2013-12-20,1.18,4.2,-0.8200000000000003,-1.93,-1.9385,-6.17,-1.2025,-2.3901,-2.3847,4.5853,1.2215000000000003,-1.2399,-0.5969,-1.4614,0.23210000000000008,2.0300000000000002
2013-12-27,1.8699999999999999,3.7987,-3.119999999999999,-2.46,-2.2393,1.6199999999999992,-1.0581999999999998,-2.3932,-3.1511,4.954500000000001,1.2927,-0.8435999999999999,-0.5541,-1.4245,0.1885,2.1799999999999997
2014-01-03,1.67,4.8529,0.6199999999999992,-1.2999999999999998,-1.3385,-1.6100000000000003,-0.9375,-1.2987,0.30619999999999997,4.692499999999999,1.8728000000000002,-0.8542000000000001,-0.5615000000000001,-1.5153,-0.07789999999999986,1.6099999999999999
2014-01-10,1.5099999999999998,1.4990999999999999,-3.2700000000000005,-4.92,-1.2669,-14.81,-1.1157000000000004,-1.2852999999999999,-1.064,5.0699000000000005,1.9963000000000002,-1.1447000000000003,-0.5359,-1.5249000000000001,-0.07339999999999991,1.7200000000000002
2014-01-17,1.5,1.8900000000000001,-2.880000000000001,0.6900000000000004,-0.09399999999999986,-22.07,-1.6074000000000002,-1.2693,-0.1295,4.708399999999999,2.0042,-0.8711000000000002,-0.4978,-1.5315,-0.09670000000000001,1.85
2014-01-24,1.62,1.8856000000000002,0.4599999999999991,3.54,-0.39049999999999985,-6.09,-0.37570000000000014,-1.2513,0.7108999999999999,5.3210999999999995,1.8414000000000001,-0.8754000000000004,-0.5349,-1.552,-0.09250000000000003,1.73
2014-01-31,2.25,5.6145000000000005,3.42,-1.1700000000000004,-0.9956,-1.3200000000000003,-2.8863,-1.206,-1.8699,3.9193,3.1517,-1.2830000000000004,-0.5729000000000001,-1.3386,-0.4012,1.8400000000000003
