date,BRL,CAD,CLP,CNH,EUR,HUF,IDR,INR,JPY,KRW,MXN,MYR,PHP,PLN,SGD,THB,TWD
2013-01-04,-0.07670000000000066,0.3153999999999999,0.2599999999999998,0.41110000000000024,0.0834,-1.4086000000000003,1.23,-1.0899999999999999,0.043500000000000004,-0.5900000000000001,0.28379999999999983,0.21679999999999988,1.91,-0.8098000000000005,-0.01980000000000004,-0.010799999999999699,-0.6504000000000001
2013-01-11,0.08659999999999979,0.25059999999999993,-0.1999999999999993,-0.24549999999999983,0.09419999999999999,-1.4573999999999998,-0.25,-0.21999999999999975,-0.0271,-0.38000000000000034,0.19890000000000008,-0.03569999999999984,2.41,-0.5711999999999997,-0.00990000000000002,0.13390000000000013,1.2918000000000003
2013-01-18,-0.13370000000000015,0.24399999999999988,-0.25,-0.1262000000000003,0.1275,-1.7561999999999998,2.5699999999999994,-0.33000000000000007,-0.04790000000000001,-0.5900000000000003,-0.009500000000000064,-0.3186,0.48,-0.5591000000000004,0.033999999999999975,-0.007400000000000073,0.1983999999999999
2013-01-25,0.6802999999999999,0.19789999999999996,-1.04,-0.043400000000000105,0.2047,-1.1512000000000002,2.06,1.9500000000000002,-0.0727,-0.6600000000000001,0.13100000000000023,-0.6309,-0.02999999999999997,-0.6669,0.055800000000000016,-0.08960000000000035,1.4574999999999998
2013-02-01,1.6349,0.20400000000000007,-1.2800000000000002,-1.2155999999999998,0.2152,-1.3357,2.1700000000000004,0.14999999999999947,-0.0702,-0.6000000000000001,-0.0676000000000001,-1.0238,-0.24,-0.6303000000000001,0.058599999999999985,0.04689999999999972,-2.1637
2013-02-08,1.2252999999999998,0.15990000000000004,-1.3399999999999999,-0.06550000000000011,0.1472,-1.4952,3.21,-1.7499999999999991,-0.06740000000000002,-0.5900000000000001,-0.2006000000000001,-0.6419999999999999,-0.37,-0.5975000000000001,0.07229999999999998,-0.17030000000000012,-2.2217000000000002
2013-02-15,2.1814,0.16239999999999988,-1.3500000000000005,0.16490000000000005,0.12840000000000001,-1.0448000000000004,2.96,-1.1400000000000006,-0.04120000000000001,-0.6600000000000001,-0.3912,-0.6671,0.32999999999999996,-0.5385,0.05049999999999999,-0.4335,-2.672
2013-02-22,2.1633999999999998,0.13569999999999993,-1.04,0.20840000000000014,0.0829,-1.3177000000000003,1.5999999999999996,-0.8899999999999997,-0.045399999999999996,-0.5100000000000002,-0.25119999999999987,-0.6484000000000001,-0.23,-0.4519000000000002,0.043399999999999994,-0.1513000000000002,-1.803
2013-03-01,0.9861000000000004,0.08809999999999996,-0.8399999999999999,0.17779999999999996,0.018999999999999996,-1.2186,3.3099999999999996,-0.5999999999999996,-0.0813,-0.5899999999999999,-0.22589999999999977,-0.17589999999999995,-0.52,-0.3931,0.05660000000000001,-0.08089999999999997,-1.5846
2013-03-08,1.4503000000000004,0.03100000000000014,-0.79,-0.17100000000000026,-0.0303,-1.2734999999999999,2.43,-2.410000000000001,-0.12079999999999999,-0.5500000000000003,-0.11220000000000008,-0.2166999999999999,-0.9600000000000001,-0.2625000000000002,0.005299999999999971,-0.3926000000000003,-0.8763000000000001
2013-03-15,1.697,0.031500000000000083,-0.5300000000000002,0.022600000000000176,-0.0208,-1.4367,1.4999999999999996,-2.26,-0.1245,-0.5800000000000001,0.0013999999999998458,-0.9193000000000002,0.65,-0.3325999999999998,-0.020800000000000013,-0.11239999999999983,-1.3309
2013-03-22,0.9577999999999998,0.06269999999999998,-0.6200000000000001,-0.2603,0.027299999999999998,-1.4784999999999995,0.9100000000000001,-2.3100000000000005,-0.1034,-0.6099999999999999,-0.08460000000000001,-0.9456000000000002,0.66,-0.4822000000000002,-0.009200000000000041,0.04359999999999986,-1.6453
2013-03-29,1.8761,0.0797000000000001,-0.5999999999999996,0.18179999999999996,-0.0419,-1.38,0.1200000000000001,-2.6500000000000004,-0.1136,-0.6499999999999999,-0.053199999999999914,2.1675,0.31,-0.5246,0.030799999999999994,-0.07020000000000004,-0.6092000000000001
2013-04-05,0.6246999999999998,0.029200000000000115,-0.5800000000000001,-0.028499999999999748,-0.0548,-1.2980000000000005,0.05000000000000071,-1.7999999999999998,-0.1276,-0.34999999999999987,0.1003999999999996,0.14249999999999963,-0.23,-0.5291000000000001,-0.0406,-0.7546999999999999,-0.5598000000000001
2013-04-12,1.9288999999999996,0.008199999999999985,-1.2700000000000005,0.17490000000000006,-0.0442,-1.4827999999999997,3.24,-0.45999999999999996,-0.1347,-0.54,0.18369999999999997,-0.21979999999999977,2.32,-0.4878,-0.011300000000000004,-0.2510000000000001,-0.7183
2013-04-19,0.6249000000000002,0.005599999999999827,-1.37,0.09850000000000003,-0.0555,-1.2948999999999997,2.7500000000000004,1.5499999999999998,-0.1394,-0.48,0.22640000000000038,0.3305,-0.42,-0.6009000000000002,-0.030299999999999994,-0.18179999999999996,0.12979999999999992
2013-04-26,1.0769000000000002,0.0,-0.5099999999999998,-0.1641999999999999,-0.0672,-1.6257999999999995,2.1999999999999997,2.41,-0.14700000000000002,-0.16000000000000014,0.09089999999999998,0.09109999999999996,-0.71,-0.6917999999999997,-0.019100000000000006,-1.2277999999999998,0.8013000000000001
2013-05-03,-0.01639999999999997,0.03379999999999983,-0.7800000000000002,-0.009100000000000108,-0.0736,-1.4101,-1.1100000000000003,2.3200000000000003,-0.1091,-0.4099999999999999,-0.060799999999999965,-0.9929000000000001,0.29,-0.7088000000000001,-0.028100000000000014,-0.8971,-1.2294
2013-05-10,-0.12209999999999965,0.07400000000000007,-1.17,-0.8503999999999998,-0.0434,-1.4537999999999998,3.01,-0.28000000000000025,-0.1268,-1.01,-0.07500000000000018,0.8119999999999998,-1.7799999999999998,-0.7414999999999998,-0.004299999999999998,-0.4849999999999999,-2.7743
2013-05-17,-0.6818,0.04090000000000016,-1.4400000000000004,-0.9630999999999998,-0.09240000000000001,-1.3283999999999998,-3.66,0.5800000000000001,-0.1311,-0.5999999999999999,-0.1398999999999999,-0.8028,-1.9400000000000002,-0.8386,-0.05820000000000003,-1.3504999999999998,-3.3453000000000004
2013-05-24,-1.4675000000000011,0.03059999999999996,-1.2800000000000002,-0.5057999999999998,-0.08070000000000001,-1.2732,-4.749999999999999,-1.29,-0.1288,-0.6400000000000001,-0.2997000000000001,-0.19989999999999997,-2.26,-0.8177999999999996,-0.04479999999999995,-1.7033,-1.1941
2013-05-31,-0.10240000000000027,0.0726,-1.67,-0.32230000000000025,-0.0591,-0.9695999999999998,-17.46,-2.5,-0.1343,-0.5800000000000001,-0.3146,-0.9455999999999998,-2.68,-0.7854999999999999,0.0030999999999999917,-1.1188000000000002,-2.318
2013-06-07,-0.31819999999999915,0.06059999999999999,-2.1899999999999995,-0.7869999999999999,0.015100000000000002,-0.8297999999999996,-20.970000000000002,-2.9700000000000006,-0.1269,-0.7699999999999998,-0.5924999999999998,0.6445999999999998,-1.45,-0.44209999999999994,0.038599999999999995,-1.3319,-0.1981
2013-06-14,0.1778000000000004,0.07359999999999989,-1.9399999999999995,-1.1505999999999998,-0.0232,-0.9519999999999995,-16.07,-0.8900000000000006,-0.12840000000000001,-0.6000000000000001,-0.29190000000000005,-0.39390000000000036,0.87,-0.3801000000000001,0.0378,-1.6873,0.08349999999999996
2013-06-21,0.4159999999999995,0.20240000000000014,-2.29,-3.2153,0.045799999999999993,-0.3391000000000002,-30.340000000000003,-2.6500000000000012,-0.1455,-0.8900000000000001,-0.0928,-3.0335,-5.869999999999999,-0.1282000000000001,0.09399999999999997,-1.5392000000000001,-1.8532
2013-06-28,-0.5850999999999988,0.1192000000000002,-2.09,-1.1077,0.008899999999999991,-0.45610000000000017,-9.680000000000001,-1.5900000000000007,-0.1752,-0.73,-0.03910000000000036,-0.47840000000000016,0.4700000000000001,-0.07060000000000022,0.11199999999999999,-1.2662,0.4335
2013-07-05,-0.37460000000000093,0.09440000000000004,-2.26,-0.1684000000000001,-0.038599999999999995,-0.49590000000000023,-14.339999999999998,-2.210000000000001,-0.15259999999999999,-0.8399999999999999,0.033199999999999896,1.9982,-0.14000000000000012,0.009300000000000086,0.10669999999999999,-0.8323,-1.5005
2013-07-12,-0.2666000000000004,0.03849999999999998,-2.0,-0.040000000000000036,-0.005700000000000011,-0.45509999999999984,-8.280000000000001,-5.760000000000001,-0.121,-0.5999999999999999,0.07100000000000017,0.015200000000000102,1.25,-0.015800000000000036,0.05610000000000001,-1.5583,0.20789999999999997
2013-07-19,-0.05940000000000012,0.053300000000000125,-1.6400000000000006,-0.3734000000000002,-0.014399999999999996,-0.48370000000000024,-16.07,-1.6700000000000008,-0.1156,-0.6199999999999999,0.05719999999999992,-0.5085000000000002,1.15,-0.08299999999999974,0.053899999999999976,0.06879999999999997,-0.4266
2013-07-26,-0.30239999999999867,0.11570000000000014,-1.6600000000000001,0.0019000000000000128,-0.013399999999999995,-0.21130000000000004,-9.58,-0.040000000000000924,-0.1091,-0.6299999999999999,-0.20599999999999996,-0.33279999999999976,1.89,-0.023800000000000043,0.05350000000000002,-1.6927999999999999,-0.02210000000000001
2013-08-02,0.376100000000001,0.12439999999999984,-1.6799999999999997,0.11129999999999995,0.001999999999999974,-0.2796000000000003,-3.110000000000001,-2.9899999999999984,-0.1172,-0.7400000000000002,-0.12020000000000008,-1.0705,0.82,-0.06620000000000026,0.055900000000000005,-1.6006,-1.7515
2013-08-09,0.14780000000000015,0.10959999999999992,-1.4900000000000002,0.0665,0.016000000000000014,-0.5932,-6.1899999999999995,-2.039999999999999,-0.1172,-0.69,-0.026699999999999946,-0.8477000000000001,1.33,-0.01200000000000001,0.05510000000000001,-1.4083999999999999,0.38169999999999993
2013-08-16,-0.2104999999999997,0.10529999999999995,-1.0599999999999996,0.31610000000000005,0.0685,-0.2846000000000002,-9.409999999999998,-5.699999999999999,-0.10629999999999999,-0.6100000000000001,-0.04249999999999998,-0.2574000000000001,-0.6100000000000001,0.16779999999999973,0.030399999999999983,-1.6284999999999998,0.7219
2013-08-23,-0.8393000000000015,0.05790000000000006,-1.6100000000000003,0.2479,0.07719999999999999,-0.4605999999999999,-10.02,-6.139999999999999,-0.1071,-0.6000000000000001,-0.11040000000000028,-0.7787000000000002,0.9400000000000001,0.15739999999999998,0.06819999999999998,-2.7638000000000003,0.9919
2013-08-30,-0.22000000000000064,0.07610000000000006,-1.6499999999999995,-0.062100000000000044,0.037000000000000005,-0.2818999999999998,-6.850000000000001,-18.54,-0.10819999999999999,-0.8300000000000001,-0.07869999999999999,1.2857999999999998,0.39,0.11299999999999999,0.05150000000000002,-2.1359999999999997,0.7296999999999999
2013-09-06,-0.2723000000000013,0.10089999999999999,-1.1700000000000008,0.137,0.038500000000000006,-0.18550000000000022,-10.68,-4.49,-0.09949999999999999,-0.7100000000000002,0.027000000000000135,-1.6591999999999998,1.77,0.06689999999999996,0.013300000000000034,-0.2958000000000003,0.8983
2013-09-13,-0.06020000000000003,0.1109,-0.9199999999999999,0.3294999999999999,0.02149999999999999,-0.3767999999999998,14.69,-7.630000000000001,-0.0923,-0.7199999999999998,-0.1716000000000002,-0.8470999999999997,1.9,0.05479999999999974,0.022800000000000015,0.04150000000000009,0.3416
2013-09-20,-0.12870000000000026,0.09109999999999996,-0.9899999999999993,0.4494,0.0461,-0.27870000000000017,39.8,-5.9399999999999995,-0.0656,-0.43000000000000016,-0.08740000000000014,1.2294999999999998,3.75,0.0924999999999998,0.025999999999999995,0.8368,1.6372000000000002
2013-09-27,-0.8163999999999998,0.11020000000000008,-0.29000000000000004,0.4915999999999998,0.04239999999999999,-0.07509999999999994,18.96,-4.73,-0.0813,-0.7600000000000002,0.05269999999999975,-0.4485999999999999,2.3499999999999996,0.09889999999999999,0.032899999999999985,-1.3333,0.31569999999999987
2013-10-04,-0.5513000000000012,0.0794999999999999,-1.0699999999999994,0.5392999999999999,0.051799999999999985,-0.14219999999999988,27.25,-2.5299999999999994,-0.0862,-0.5299999999999998,-0.16239999999999988,0.013100000000000112,9.15,0.04360000000000008,0.001899999999999985,0.0248999999999997,0.5939
2013-10-11,0.2961999999999989,0.1169,-0.9199999999999999,0.48350000000000004,0.09659999999999999,-0.0040000000000000036,39.28,-0.8599999999999994,-0.084,-0.4900000000000002,-0.15680000000000005,-1.2033,0.92,0.00550000000000006,0.04409999999999997,-1.2006000000000001,2.4858
2013-10-18,-0.40610000000000035,0.13539999999999996,-0.10000000000000053,0.29200000000000004,0.0942,-0.18840000000000012,21.56,-1.1999999999999993,-0.06709999999999999,0.34999999999999987,-0.16420000000000012,2.1729,3.54,-0.0400999999999998,0.015399999999999997,1.1180999999999999,1.8063000000000002
2013-10-25,-0.5797999999999988,0.07360000000000011,-0.7999999999999998,0.25360000000000005,0.10339999999999999,-0.2488999999999999,26.17,-1.75,-0.082,-0.3900000000000001,0.007099999999999884,-1.3441,2.8299999999999996,-0.04389999999999983,0.010800000000000004,-1.5192,1.5059999999999998
2013-11-01,-0.8969999999999985,0.06929999999999992,-1.58,0.07440000000000002,0.03320000000000001,-0.19910000000000005,24.63,-5.08,-0.0892,-0.9899999999999998,0.055600000000000094,1.3639,-0.64,-0.0631999999999997,0.0025000000000000022,-0.2482000000000002,0.23570000000000002
2013-11-08,-0.6219999999999999,0.09030000000000005,-1.4400000000000004,0.20589999999999997,0.01680000000000001,-0.33030000000000026,14.68,-6.109999999999999,-0.1109,-1.02,-0.15390000000000015,1.4322,-0.24,-0.044099999999999806,0.013499999999999984,-1.1585999999999999,-0.3891
2013-11-15,-0.04380000000000095,0.09360000000000013,-1.1099999999999994,0.244,0.0126,-0.11100000000000021,21.75,-5.58,-0.0998,-0.7200000000000002,-0.13619999999999965,0.2217,2.1100000000000003,-0.10639999999999983,-0.01680000000000001,-1.0195999999999996,0.7241
2013-11-22,-0.4015000000000004,0.04259999999999997,-0.4900000000000002,0.33389999999999986,-0.005299999999999999,-0.1625000000000001,16.66,-1.8900000000000006,-0.0882,-0.5799999999999998,-0.1741999999999999,0.04220000000000024,2.36,-0.06389999999999985,-0.030800000000000022,-2.5033000000000003,0.9500000000000002
