date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD,BRL,MXN,CLP,HUF,EUR,JPY,CAD
2013-01-04,,,,,,,,,,,,,,,,
2013-01-11,,,,,,,,,,,,,,,,
2013-01-18,,,,,,,,,,,,,,,,
2013-01-25,,,,,,,,,,,,,,,,
2013-02-01,2.8811,-0.013599999999999834,-2.3736000000000006,2.3264,3.4328000000000003,-1.2135999999999998,-1.9086,0.04170000000000029,1.6194,-0.5914000000000006,2.0588,5.8164,2.7640999999999996,-0.6015999999999999,1.7086000000000001,1.9154
2013-02-08,1.4444000000000004,-1.0600999999999996,-0.37010000000000076,2.3199,3.0000999999999998,-1.2000999999999997,-1.9654,0.21160000000000023,1.8582,-0.057200000000000806,2.0091,5.969899999999999,2.9165999999999994,-0.6309999999999999,1.6752000000000002,1.9087
2013-02-15,1.1894,-1.0975999999999997,-1.0476,2.4924,3.1155999999999997,-1.8175999999999997,-1.9457,0.4742000000000002,2.2274000000000003,-0.9892000000000003,2.1151000000000004,6.0524000000000004,2.4234000000000004,-0.6278999999999999,1.6594000000000002,1.9163000000000001
2013-02-22,1.1461000000000001,0.48340000000000005,-1.1266000000000007,2.3234,3.0132000000000003,-1.2965999999999998,-1.9668,0.09060000000000024,1.1604,-1.0673000000000008,2.0282,5.743399999999999,2.6888,-0.6545999999999998,1.6618000000000002,1.8915000000000002
2013-03-01,0.6177999999999997,-1.6225999999999998,-1.1925999999999997,2.8074,2.6799,-0.6726,-2.8665000000000003,0.6140999999999999,-0.5671999999999999,0.29410000000000025,2.0958,6.2974,3.7125000000000004,-0.12949999999999992,2.4908,1.6119
2013-03-08,1.0609000000000002,-0.4775999999999998,0.6824000000000012,2.7723999999999998,2.7359999999999998,-0.007599999999999829,-2.8367000000000004,1.0252000000000003,-1.2608,0.1991000000000005,1.9030000000000005,6.452400000000001,3.9672,-0.0361999999999999,2.5601000000000003,1.7095
2013-03-15,0.7982999999999996,0.6072000000000006,0.47719999999999985,2.8072,3.5359000000000003,-1.7127999999999999,-2.8320000000000003,0.6647999999999998,-0.7597999999999999,-0.3167999999999993,1.8716000000000004,6.007199999999999,3.8830999999999998,-0.042099999999999915,2.5723000000000003,1.7166000000000001
2013-03-22,1.0820999999999996,2.0104000000000006,0.7004000000000001,2.8204,3.62,-1.6196,-2.7964,0.5576000000000001,-0.2702,0.46250000000000124,2.0061,6.170399999999999,3.8600000000000003,-0.0830999999999999,2.5477000000000003,1.6908
2013-03-29,0.6071999999999997,2.4244000000000003,1.1144000000000016,2.7344,0.19520000000000004,-1.5756,-2.8629000000000002,0.6381000000000001,-1.3898,-0.49019999999999975,1.9584000000000001,6.1044,3.6467,-0.03809999999999991,2.5615,1.685
2013-04-05,1.2998999999999998,1.6504000000000003,0.8704000000000001,1.7204,1.7809000000000001,-0.9896000000000001,-1.9308,1.3681999999999999,-0.35640000000000005,0.20480000000000054,0.6978,5.3204,3.5707000000000004,-0.32849999999999996,2.2814,1.4281
2013-04-12,0.8926999999999998,-2.0555999999999996,-0.8555999999999999,2.0944,2.1319999999999997,-2.5356,-1.9287,0.8794,-0.15060000000000007,-0.6825000000000001,0.5701999999999998,5.7344,3.8859999999999992,-0.3272999999999999,2.2963,1.4528
2013-04-19,0.7806,-1.5100999999999996,-3.2500999999999998,1.9899,1.5679,-0.9501000000000002,-1.9199,0.8198000000000003,-1.0771,0.20139999999999958,0.3397999999999999,6.1598999999999995,3.2076,-0.3243,2.3096,1.4281000000000001
2013-04-26,0.9688999999999999,-1.2615999999999996,-3.9415999999999998,1.4284000000000001,1.8564999999999998,-0.5216000000000002,-1.916,1.9383999999999997,-1.8881000000000001,-0.16139999999999954,0.3435999999999999,5.1784,3.5919999999999996,-0.3287,2.3230999999999997,1.4471
2013-05-03,0.0636000000000001,2.4314000000000004,-3.5586000000000007,1.5714,2.4545000000000003,-1.5686,-0.2944999999999999,1.5836999999999999,0.23990000000000003,0.6505999999999998,-0.32950000000000035,5.5214,3.3484999999999996,-0.20699999999999985,1.7185000000000001,1.6252000000000002
2013-05-10,1.2625000000000002,-2.2266000000000004,-1.0566000000000004,2.1734,0.6932,0.7833999999999997,-0.31769999999999987,1.1057000000000001,2.0493,0.7509999999999994,-0.4018999999999999,5.833400000000001,3.5730000000000004,-0.19009999999999988,1.7513,1.6166
2013-05-17,1.5006,5.570400000000001,-2.1496000000000004,1.7304,2.3792999999999997,1.1103999999999998,-0.2214999999999999,2.0509,3.1146000000000003,1.646799999999999,-0.3536000000000006,6.090400000000001,3.4101,-0.20139999999999986,1.7670000000000001,1.6581000000000001
2013-05-24,1.2043,6.782399999999999,0.04239999999999977,1.7524000000000002,1.7099,1.8423999999999996,-0.21519999999999995,2.346,0.8675999999999999,2.5436000000000005,-0.14400000000000057,5.952400000000001,3.625400000000001,-0.1607999999999999,1.7652,1.7062
2013-05-31,1.7557999999999998,21.2924,1.8124000000000002,2.3324,2.6564999999999994,2.8024,-0.07340000000000019,2.2733,2.6912,2.104400000000001,0.34799999999999986,6.5724,3.5496,-0.05610000000000001,1.6884,1.6929
2013-06-07,2.3125,25.3659,1.4859000000000009,2.5159,1.1855999999999998,1.7459000000000002,-0.14310000000000017,2.4432,0.15029999999999988,2.7458,0.5390999999999999,6.8959,3.5802999999999994,-0.05460000000000001,1.6631,1.7286
2013-06-14,2.8099999999999996,20.0409,-0.2090999999999994,2.1609,2.0622,-0.9390999999999999,-0.13550000000000018,2.8495,-0.007800000000000029,2.7063000000000006,0.27190000000000003,6.7009,3.7456999999999994,-0.0368,1.651,1.7079
2013-06-21,5.2286,37.3671,1.7871000000000006,2.3671,5.0671,6.9771,-0.12410000000000018,2.773,2.3072,2.2036000000000007,0.23660000000000014,7.1371,3.5244,-0.05170000000000001,1.6298,1.6021999999999998
2013-06-28,2.8139,15.0181,0.9681000000000006,2.3781,2.1135,-0.8418999999999999,-0.14940000000000017,2.461,-0.2854000000000001,3.4807000000000006,0.10260000000000025,7.0181,3.3903,-0.022199999999999998,1.6875,1.6860999999999997
2013-07-05,1.8196999999999999,21.3262,1.2762000000000002,2.3662,0.0766,0.2662000000000001,0.08789999999999998,2.4084000000000003,2.4079,3.4453999999999994,1.0023,6.7762,3.7095000000000002,0.18749999999999994,1.5602,1.6083
2013-07-12,1.5609,15.097700000000003,5.097700000000001,2.6477,2.0511999999999997,-1.2023,0.08229999999999998,3.0826000000000002,0.5018000000000002,3.4659999999999993,0.9407999999999999,6.5277,3.6466000000000003,0.17949999999999994,1.5454,1.6377
2013-07-19,1.8743999999999998,23.8294,1.5294000000000016,2.5694,2.6055,-1.1505999999999998,0.0905,1.3703,1.2096000000000002,3.3726000000000003,0.9628999999999999,5.9994000000000005,3.6553000000000004,0.19849999999999995,1.5509000000000002,1.6375
2013-07-26,1.4298999999999997,16.6594,0.5494000000000012,2.7594,2.4593,-1.9906,0.0814,3.0816999999999997,0.7371000000000002,3.4985999999999997,1.2069,6.0994,3.2424,0.20839999999999995,1.5457,1.6014
2013-08-02,1.6206999999999998,7.1944,3.6144,2.6544,3.3529999999999998,-0.38559999999999994,0.18830000000000008,3.5152,3.3484,3.6403,2.0799999999999996,5.9344,3.5506,0.40969999999999995,1.2607,1.6946
2013-08-09,1.5644999999999998,10.494399999999999,2.6944,2.5744,3.0374,-0.9056,0.1859000000000001,3.3098,1.0892,3.8146000000000004,1.8990999999999998,5.884399999999999,3.8327,0.4123999999999999,1.2558,1.683
2013-08-16,1.2226,15.104499999999998,6.7445,2.6145,2.6415,1.0145000000000002,0.20900000000000007,3.6059,0.6364000000000001,4.4183,1.9207999999999998,5.484499999999999,3.6121,0.4008999999999999,1.2505,1.7032
2013-08-23,1.2784999999999997,17.1134,6.923400000000001,2.6934,3.101,-0.4265999999999999,0.1876000000000001,5.481300000000001,0.30179999999999985,4.553500000000001,2.0168,6.093400000000001,3.9071,0.3921999999999999,1.2516,1.7309999999999999
2013-08-30,1.5255,13.1919,20.4919,2.9819,0.9579000000000001,0.07190000000000007,0.1920000000000001,5.6132,0.44830000000000014,4.680400000000001,1.9577,6.241899999999999,3.6007,0.4164999999999999,1.2705,1.7293
2013-09-06,0.7446999999999999,17.1704,4.7204,2.5504000000000002,3.6267,-1.1996,-0.3745,3.5317,0.35780000000000034,4.347100000000001,1.2658,5.1204,3.4633000000000003,0.20509999999999995,0.5584,1.4376
2013-09-13,0.367,-10.5816,7.798400000000001,2.6683999999999997,2.6794,-1.4816,-0.403,2.2803999999999993,0.8719000000000003,4.235199999999999,1.3493,4.978400000000001,3.3827,0.21709999999999996,0.5501,1.4148
2013-09-20,0.05989999999999984,-36.9306,5.6494,2.2994000000000003,0.4661000000000002,-4.1606,-0.4214,1.1079999999999999,-0.6875999999999998,4.261700000000001,1.1697000000000002,5.0694,3.1259000000000006,0.22889999999999996,0.5207999999999999,1.4062
2013-09-27,0.008599999999999941,-15.4466,4.9734,2.6934,2.4952,-2.6966,-0.427,3.5020999999999995,0.8018000000000003,4.8765,1.0028000000000001,4.3834,2.9018999999999995,0.22319999999999995,0.5307999999999999,1.3905999999999998
2013-10-04,-0.7806,-26.239099999999997,1.4208999999999996,2.6909,0.5253999999999996,-11.049100000000001,-0.30100000000000016,2.023,-1.3474,4.9597000000000016,0.8993999999999995,5.1509,2.3994999999999997,0.11509999999999987,0.017199999999999868,1.1221999999999999
2013-10-11,-0.8937999999999999,-41.9316,-0.4416000000000011,2.6384,1.9816,-2.0115999999999996,-0.33450000000000013,3.3567,-3.2443999999999997,4.0877,0.8407999999999998,4.9483999999999995,2.2314,0.08999999999999986,0.007199999999999873,1.0891
2013-10-18,-0.7834999999999999,-20.0201,0.22989999999999888,1.7699,-1.6932,-5.0401,-0.3290000000000001,0.9264000000000001,-2.8393,5.0771,0.7851999999999997,3.8299000000000007,2.2626999999999997,0.09839999999999988,0.02019999999999987,1.0787999999999998
2013-10-25,-0.5993999999999999,-28.0061,1.1439000000000004,2.5239000000000003,2.0118,-4.0261,-0.32890000000000014,3.3968,-2.542,5.1449,0.7956999999999996,4.273899999999999,2.4056999999999995,0.12909999999999988,0.04079999999999988,1.1173999999999997
2013-11-01,-0.9939,-25.6261,4.2339,3.0839,-1.2752999999999997,-0.9660999999999998,-0.9243,1.9762,-1.0857,5.2202,0.6065999999999998,5.2039,2.6312,0.33420000000000005,-0.16660000000000008,1.329
2013-11-08,-1.0401,-14.3656,5.814399999999999,3.0444,-1.1363999999999999,-1.5956,-0.9268,3.2334,-0.35930000000000006,5.196199999999999,0.9480000000000004,5.1244,2.9717000000000002,0.33930000000000005,-0.13950000000000007,1.3183
2013-11-15,-1.0018000000000002,-21.7566,5.263399999999999,2.6734000000000004,-0.04999999999999982,-3.9966,-0.9119999999999999,2.9291,-1.4889000000000001,4.361000000000001,0.8658000000000001,4.6434,2.6142000000000003,0.34220000000000006,-0.1448000000000001,1.3135
2013-11-22,-1.1722000000000001,-16.2866,1.8034,2.5434,0.16910000000000003,-4.2566,-0.9208,4.6263000000000005,-1.7974999999999999,4.681000000000001,0.9246000000000003,3.9534000000000002,2.5557000000000003,0.37110000000000004,-0.14820000000000008,1.3414
2013-11-29,-1.237,-9.1756,0.11439999999999984,3.0044,-0.23909999999999965,-4.2456,-0.9066,5.9032,-0.527,4.7135,0.31400000000000006,3.3744,2.1768,0.42460000000000003,-0.3055000000000001,1.3203
2013-12-06,-0.9122,2.4119,0.5818999999999992,2.6919,0.4870000000000003,-0.1281000000000001,-1.3146000000000002,5.588900000000001,-0.9445,5.4918000000000005,0.17359999999999998,3.5919000000000008,2.5127,0.47879999999999995,-0.5750000000000001,1.3266
2013-12-13,-1.0093,-2.6626000000000003,-1.1326,2.1874000000000002,-0.2683,0.45740000000000003,-1.3176,4.2716,-1.7302,5.736200000000001,-0.19869999999999965,3.8174,2.3651,0.5226999999999999,-0.5378000000000001,1.3064999999999998
2013-12-20,-0.8665999999999999,-5.0981000000000005,0.2518999999999991,2.2519,-0.13060000000000005,-0.8581,-1.3182,5.2719000000000005,-1.3128000000000002,5.6572000000000005,-0.1679999999999997,3.1019000000000005,2.2934,0.4749999999999999,-0.38950000000000007,1.3039999999999998
2013-12-27,-1.1689,2.6903999999999995,-2.0496,2.9404,0.01220000000000021,-1.3896,-1.3228000000000002,4.8691,-2.0807,6.0249000000000015,0.22680000000000033,3.2504,2.3630999999999998,0.5163,-0.3541,1.2589000000000001
2014-01-03,0.03190000000000004,-0.23960000000000026,1.9903999999999993,3.0404,0.43290000000000006,0.07040000000000024,0.07170000000000001,6.2233,1.6765999999999999,6.062899999999999,0.5162,2.9804,3.2432000000000003,0.8089,-0.14490000000000008,1.2925000000000002
2014-01-10,0.10850000000000004,-13.4346,-1.8946000000000005,2.8853999999999997,0.2596999999999996,-3.5446,0.0901,2.8745,0.3113999999999999,6.445300000000001,0.23069999999999968,3.0954,3.3717,0.8394999999999999,-0.14950000000000008,1.302
2014-01-17,1.2879,-20.6881,-1.4981000000000009,2.8819,-0.22550000000000026,2.0719000000000003,0.11259999999999999,3.2719,1.2524,6.090299999999999,0.5107999999999997,3.2319,3.3861,0.8841,-0.14960000000000007,1.2852000000000001
2014-01-24,0.9884000000000002,-4.7111,1.8388999999999989,2.9989,1.0031999999999996,4.9189,0.1276,3.2645,2.0898,6.699999999999999,0.5034999999999994,3.1088999999999998,3.2203,0.844,-0.1731000000000001,1.2864
