date,BRL,MXN,CLP,HUF,JPY,EUR,CAD,CNH,KRW,INR,IDR,PHP,THB,TWD,SGD,MYR
2013-02-01,4.550000000000001,1.65,-0.010000000000000009,2.1,-1.9000000000000001,0.3999999999999999,-1.1,0.3999999999999999,0.0,8.39,2.2399999999999998,1.1999999999999997,1.7799999999999998,-0.49,2.0,-0.30000000000000004
2013-02-08,4.550000000000001,1.65,-0.010000000000000009,2.1,-1.9000000000000001,0.3999999999999999,-1.1,0.3999999999999999,0.0,8.39,2.2399999999999998,1.1999999999999997,1.7799999999999998,-0.49,2.0,-0.30000000000000004
2013-02-15,4.550000000000001,1.65,-0.010000000000000009,2.1,-1.9000000000000001,0.3999999999999999,-1.1,0.3999999999999999,0.0,8.39,2.2399999999999998,1.1999999999999997,1.7799999999999998,-0.49,2.0,-0.30000000000000004
2013-02-22,4.550000000000001,1.65,-0.010000000000000009,2.1,-1.9000000000000001,0.3999999999999999,-1.1,0.3999999999999999,0.0,8.39,2.2399999999999998,1.1999999999999997,1.7799999999999998,-0.49,2.0,-0.30000000000000004
2013-03-01,4.31,1.5499999999999998,-0.69,0.7999999999999998,-2.7,-0.10000000000000009,-0.8,1.2000000000000002,-0.3999999999999999,8.26,2.5999999999999996,0.8999999999999999,1.23,0.96,2.9000000000000004,-0.5
2013-03-08,4.31,1.5499999999999998,-0.69,0.7999999999999998,-2.7,-0.10000000000000009,-0.8,1.2000000000000002,-0.3999999999999999,8.26,2.5999999999999996,0.8999999999999999,1.23,0.96,2.9000000000000004,-0.5
2013-03-15,4.31,1.5499999999999998,-0.69,0.7999999999999998,-2.7,-0.10000000000000009,-0.8,1.2000000000000002,-0.3999999999999999,8.26,2.5999999999999996,0.8999999999999999,1.23,0.96,2.9000000000000004,-0.5
2013-03-22,4.31,1.5499999999999998,-0.69,0.7999999999999998,-2.7,-0.10000000000000009,-0.8,1.2000000000000002,-0.3999999999999999,8.26,2.5999999999999996,0.8999999999999999,1.23,0.96,2.9000000000000004,-0.5
2013-03-29,4.31,1.5499999999999998,-0.69,0.7999999999999998,-2.7,-0.10000000000000009,-0.8,1.2000000000000002,-0.3999999999999999,8.26,2.5999999999999996,0.8999999999999999,1.23,0.96,2.9000000000000004,-0.5
2013-04-05,5.09,2.75,0.030000000000000027,0.7000000000000002,-2.4,0.19999999999999996,-0.5,0.6000000000000001,0.0,7.9399999999999995,3.5199999999999996,1.2000000000000002,1.19,-0.1499999999999999,2.0,0.10000000000000009
2013-04-12,5.09,2.75,0.030000000000000027,0.7000000000000002,-2.4,0.19999999999999996,-0.5,0.6000000000000001,0.0,7.9399999999999995,3.5199999999999996,1.2000000000000002,1.19,-0.1499999999999999,2.0,0.10000000000000009
2013-04-19,5.09,2.75,0.030000000000000027,0.7000000000000002,-2.4,0.19999999999999996,-0.5,0.6000000000000001,0.0,7.9399999999999995,3.5199999999999996,1.2000000000000002,1.19,-0.1499999999999999,2.0,0.10000000000000009
2013-04-26,5.09,2.75,0.030000000000000027,0.7000000000000002,-2.4,0.19999999999999996,-0.5,0.6000000000000001,0.0,7.9399999999999995,3.5199999999999996,1.2000000000000002,1.19,-0.1499999999999999,2.0,0.10000000000000009
2013-05-03,5.390000000000001,3.5500000000000003,-0.10000000000000009,0.5999999999999999,-1.8,0.09999999999999987,-0.7000000000000001,1.2999999999999998,0.19999999999999996,7.390000000000001,3.7600000000000002,1.1,1.3199999999999998,-0.050000000000000044,0.3999999999999999,0.5999999999999999
