date,US,KRW,THB,IDR,PHP,CNH,MYR,SGD,TWD,EUR,CAD,JPY,CLP,PLN,BRL,HUF,MXN
2013-01-04,0.817395,2.9588,3.2725,4.9019,3.9105,3.3901,3.2881,0.6007,0.9626,0.715,1.5361,0.235068,,3.4383,2.5737,5.8722,
2013-01-11,0.780566,2.9098,3.3068,4.9424,3.934,3.3448,3.2936,0.5626,0.974,0.7522,1.5326,0.197175,,3.5561,2.5199,5.8148,
2013-01-18,0.762902,2.8714,3.2651,4.9518,3.9431,3.3824,3.2756,0.551,0.9433,0.7743,1.5271,0.189254,,3.5142,2.7307,5.7647,
2013-01-25,0.845775,2.8477,3.2964,4.8878,3.8436,3.3799,3.2847,0.5888,0.936,0.8672,1.517,0.179733,,3.3874,2.9322,5.895,
2013-02-01,0.878204,2.9182,3.2828,4.9418,3.8739,3.437,3.3189,0.6519,0.962,0.8708,1.6025,0.191373,,3.3579,3.0152,5.6919,
2013-02-08,0.828361,2.8712,3.1645,4.8959,3.7228,3.4449,3.2996,0.6788,0.9677,0.8135,1.5074,0.190772,,3.5189,3.378,5.6469,
2013-02-15,0.865282,2.8778,3.2338,4.8674,3.62,3.4605,3.3002,0.7073,0.9723,0.8462,1.5505,0.197041,,3.5604,3.3875,5.5755,
2013-02-22,0.826373,2.8288,3.2446,4.83,3.5531,3.4281,3.2895,0.6445,0.9786,0.7765,1.4732,0.184583,,3.5422,3.5361,5.4709,
2013-03-01,0.746801,2.7691,3.2481,4.8764,3.5393,3.4412,3.2635,0.5822,0.9745,0.6614,1.329,0.158402,,3.6204,3.3654,5.3755,
2013-03-08,0.895755,2.7996,3.2542,4.8827,3.2255,3.4257,3.2545,0.6206,1.0012,0.7112,1.432,0.152602,,3.5775,3.4821,5.4088,
2013-03-15,0.833106,2.7423,3.2458,4.9075,3.0601,3.4432,3.2564,0.6143,1.0359,0.6565,1.4063,0.157822,,3.359,3.5139,5.5424,
2013-03-22,0.790438,2.6982,3.219,4.9966,2.9169,3.4322,3.2556,0.5961,1.0391,0.6278,1.3542,0.14122,,3.3709,3.6139,5.5789,
2013-03-29,0.775549,2.6211,3.2134,5.1374,3.0198,3.4293,3.2453,0.6135,1.0779,0.5986,1.3397,0.163536,,3.3957,3.6266,5.4142,
2013-04-05,0.673269,2.5523,3.2065,5.1172,2.9296,3.3909,3.2354,0.5657,1.0763,0.507,1.2568,0.217091,,3.147,3.5289,5.0587,
2013-04-12,0.692198,2.7734,3.1481,5.167,3.1124,3.3414,3.2035,0.5185,1.0601,0.5501,1.2401,0.276261,,3.1328,3.7258,5.0197,
2013-04-19,0.70485,2.6994,3.111,5.1128,2.9963,3.3659,3.1971,0.5497,1.029,0.5457,1.2267,0.246832,,2.9519,3.4937,4.8855,
2013-04-26,0.679122,2.6222,3.1572,5.0406,2.8941,3.3147,3.2055,0.5691,1.0074,0.5141,1.2233,0.253437,,2.8282,3.5193,4.9184,
2013-05-03,0.725732,2.5532,3.0371,5.0202,2.8698,3.2962,3.1956,0.5295,0.9421,0.5084,1.2789,0.228795,,2.7003,3.4382,4.6574,
2013-05-10,0.816455,2.6549,3.015,5.0396,2.7602,3.2966,3.0949,0.601,0.9753,0.6036,1.3813,0.280771,,2.6988,3.572,4.6029,
2013-05-17,0.828543,2.6786,2.9745,5.038,2.7358,3.3089,3.0501,0.5988,0.9906,0.5214,1.4054,0.377386,,2.725,3.6071,4.5015,
2013-05-24,0.88825,2.7366,3.0265,5.1707,2.6455,3.3224,3.1728,0.8105,1.0295,0.6046,1.4312,0.402936,,2.8538,3.7881,4.6719,
2013-05-31,1.04831,2.913,3.1023,5.3248,2.8978,3.3077,3.3111,1.0459,1.0539,0.6961,1.5321,0.402936,,3.0853,4.2603,4.9735,
2013-06-07,1.08413,2.9345,3.143,5.4516,2.8813,3.3297,3.2744,0.9472,1.0328,0.7717,1.6203,0.402936,,3.2421,4.4064,5.1539,
