date,KRW,THB,INR,IDR,PHP,CNH,MYR,SGD,TWD
2026-03-13,-0.0461,2.75,1.2463,1.1411,,-4.9001,-1.556,-0.935,-21.3092
2026-03-20,-0.0434,4.5,1.3311,2.7029,,-4.6501,-1.556,-0.9,1.4199
2026-03-27,-0.0426,-5.0,3.599,1.8934,,-5.2003,-1.556,-0.89,-7.2009
2026-04-03,-0.069,0.0,8.5458,2.3302,,-4.7997,-1.556,-0.92,-3.9332
2026-04-10,-0.0387,1.0,5.0258,1.5427,,-4.5999,-1.556,-0.975,-12.8945
2026-04-17,-0.0346,0.75,1.2019,-2.5852,,-4.88,-1.556,-0.915,8.8293
2026-04-24,-0.0211,0.5,1.0765,2.4842,,-4.5504,-1.556,-0.87,-23.206
2026-05-01,-0.0654,5.0,1.4071,-0.1029,,-5.0501,-1.556,-0.82,2.2037
2026-05-08,-0.0464,-0.4,1.3052,0.0097,,-4.3,-1.556,-0.81,4.2395
2026-05-15,-0.0134,-0.2,1.7276,-1.6816,,-4.7,-1.556,-0.9,-18.6932
2026-05-22,-0.0023,-0.1875,2.21,1.1344,,-4.7495,-1.556,-0.7809,6.3131
2026-05-29,-0.0345,-1.0,1.1856,1.3369,,-5.3501,-1.556,-1.075,2.3573
2026-06-05,-0.0296,0.85,2.0837,2.3807,,-4.6001,-1.556,-0.88,4.3899
2026-06-12,0.0088,-3.5003,-0.2967,0.3685,,-4.5,-1.556,-0.8814,4.5275
2026-06-19,0.0096,0.204,-0.2607,-0.585,,-4.3998,-1.556,-0.8859,-4.2511
2026-06-26,-0.2083,-0.25,0.9127,3.1747,,-4.7992,-1.556,-0.745,1.491
2026-07-03,-0.0121,0.0,0.7326,1.5055,,-4.25,-1.556,-0.81,1.1205
2026-07-10,-0.0094,0.5,0.1712,1.1317,,-4.25,-1.556,-0.865,54.2614
2026-07-17,-0.0172,1.0055,-0.5983,-0.7624,,-4.4996,-1.556,-0.875,0.6275
