date,KR_SEMI_EXPORT_PX
2020-03-20,100.3
2020-03-27,100.3
2020-04-03,101.4
2020-04-10,101.4
2020-04-17,101.4
2020-04-24,101.4
2020-05-01,106.1
2020-05-08,106.1
2020-05-15,106.1
2020-05-22,106.1
2020-05-29,106.1
2020-06-05,105.4
2020-06-12,105.4
2020-06-19,105.4
2020-06-26,105.4
2020-07-03,104.7
2020-07-10,104.7
2020-07-17,104.7
2020-07-24,104.7
2020-07-31,100.2
2020-08-07,100.2
2020-08-14,100.2
2020-08-21,100.2
2020-08-28,100.2
2020-09-04,99.4
2020-09-11,99.4
2020-09-18,99.4
2020-09-25,99.4
2020-10-02,99.3
2020-10-09,99.3
2020-10-16,99.3
2020-10-23,99.3
2020-10-30,99.3
2020-11-06,95.3
2020-11-13,95.3
2020-11-20,95.3
2020-11-27,95.3
2020-12-04,94.8
2020-12-11,94.8
2020-12-18,94.8
2020-12-25,94.8
2021-01-01,94.5
2021-01-08,94.5
2021-01-15,94.5
2021-01-22,94.5
2021-01-29,94.5
2021-02-05,96.8
2021-02-12,96.8
2021-02-19,96.8
2021-02-26,96.8
2021-03-05,97.0
2021-03-12,97.0
2021-03-19,97.0
2021-03-26,97.0
2021-04-02,97.3
2021-04-09,97.3
2021-04-16,97.3
2021-04-23,97.3
2021-04-30,110.6
2021-05-07,110.6
2021-05-14,110.6
2021-05-21,110.6
2021-05-28,110.6
2021-06-04,110.7
2021-06-11,110.7
2021-06-18,110.7
2021-06-25,110.7
2021-07-02,111.4
2021-07-09,111.4
2021-07-16,111.4
2021-07-23,111.4
2021-07-30,111.4
2021-08-06,116.6
2021-08-13,116.6
2021-08-20,116.6
2021-08-27,116.6
2021-09-03,116.1
2021-09-10,116.1
2021-09-17,116.1
2021-09-24,116.1
2021-10-01,116.3
2021-10-08,116.3
2021-10-15,116.3
2021-10-22,116.3
2021-10-29,116.3
2021-11-05,110.9
2021-11-12,110.9
2021-11-19,110.9
2021-11-26,110.9
2021-12-03,110.8
2021-12-10,110.8
2021-12-17,110.8
2021-12-24,110.8
2021-12-31,110.7
2022-01-07,110.7
2022-01-14,110.7
2022-01-21,110.7
2022-01-28,110.7
2022-02-04,103.3
2022-02-11,103.3
2022-02-18,103.3
2022-02-25,103.3
2022-03-04,104.0
2022-03-11,104.0
2022-03-18,104.0
2022-03-25,104.0
2022-04-01,104.0
2022-04-08,104.0
2022-04-15,104.0
2022-04-22,104.0
2022-04-29,104.0
2022-05-06,103.5
2022-05-13,103.5
2022-05-20,103.5
2022-05-27,103.5
2022-06-03,102.1
2022-06-10,102.1
2022-06-17,102.1
2022-06-24,102.1
2022-07-01,100.9
2022-07-08,100.9
2022-07-15,100.9
2022-07-22,100.9
2022-07-29,100.9
2022-08-05,93.5
2022-08-12,93.5
2022-08-19,93.5
2022-08-26,93.5
2022-09-02,92.4
2022-09-09,92.4
2022-09-16,92.4
2022-09-23,92.4
2022-09-30,89.2
2022-10-07,89.2
2022-10-14,89.2
2022-10-21,89.2
2022-10-28,89.2
2022-11-04,79.3
2022-11-11,79.3
2022-11-18,79.3
2022-11-25,79.3
2022-12-02,78.1
2022-12-09,78.1
2022-12-16,78.1
2022-12-23,78.1
2022-12-30,78.1
2023-01-06,76.9
2023-01-13,76.9
2023-01-20,76.9
2023-01-27,76.9
2023-02-03,71.0
2023-02-10,71.0
2023-02-17,71.0
2023-02-24,71.0
2023-03-03,68.5
2023-03-10,68.5
2023-03-17,68.5
2023-03-24,68.5
2023-03-31,67.3
2023-04-07,67.3
2023-04-14,67.3
2023-04-21,67.3
2023-04-28,67.3
2023-05-05,60.6
2023-05-12,60.6
2023-05-19,60.6
2023-05-26,60.6
2023-06-02,60.5
2023-06-09,60.5
2023-06-16,60.5
2023-06-23,60.5
2023-06-30,59.8
2023-07-07,59.8
2023-07-14,59.8
2023-07-21,59.8
2023-07-28,59.8
2023-08-04,59.2
2023-08-11,59.2
2023-08-18,59.2
2023-08-25,59.2
2023-09-01,59.2
2023-09-08,59.2
2023-09-15,59.2
2023-09-22,59.2
2023-09-29,59.2
2023-10-06,59.5
2023-10-13,59.5
2023-10-20,59.5
2023-10-27,59.5
2023-11-03,64.0
2023-11-10,64.0
2023-11-17,64.0
2023-11-24,64.0
2023-12-01,66.5
2023-12-08,66.5
2023-12-15,66.5
2023-12-22,66.5
2023-12-29,66.5
2024-01-05,68.9
2024-01-12,68.9
2024-01-19,68.9
2024-01-26,68.9
2024-02-02,76.7
2024-02-09,76.7
2024-02-16,76.7
2024-02-23,76.7
2024-03-01,78.1
2024-03-08,78.1
2024-03-15,78.1
2024-03-22,78.1
2024-03-29,78.1
2024-04-05,79.5
2024-04-12,79.5
2024-04-19,79.5
2024-04-26,79.5
2024-05-03,85.6
2024-05-10,85.6
2024-05-17,85.6
2024-05-24,85.6
2024-05-31,86.0
2024-06-07,86.0
2024-06-14,86.0
2024-06-21,86.0
2024-06-28,86.0
2024-07-05,86.1
2024-07-12,86.1
2024-07-19,86.1
2024-07-26,86.1
2024-08-02,88.9
2024-08-09,88.9
2024-08-16,88.9
2024-08-23,88.9
2024-08-30,88.9
2024-09-06,88.9
2024-09-13,88.9
2024-09-20,88.9
2024-09-27,88.9
2024-10-04,88.0
2024-10-11,88.0
2024-10-18,88.0
2024-10-25,88.0
2024-11-01,84.7
2024-11-08,84.7
2024-11-15,84.7
2024-11-22,84.7
2024-11-29,84.7
2024-12-06,83.2
2024-12-13,83.2
2024-12-20,83.2
2024-12-27,83.2
2025-01-03,81.5
2025-01-10,81.5
2025-01-17,81.5
