date,CNH
2018-06-01,-0.020999999999999908
2018-06-08,0.00790000000000024
2018-06-15,-0.027200000000000557
2018-06-22,-0.04870000000000019
2018-06-29,-0.1382999999999992
2018-07-06,-0.016600000000000392
2018-07-13,-0.03729999999999922
2018-07-20,-0.09269999999999978
2018-07-27,-0.03080000000000016
2018-08-03,-0.04300000000000015
2018-08-10,-0.008999999999999453
2018-08-17,-0.056199999999999584
2018-08-24,0.0127000000000006
2018-08-31,0.03950000000000031
2018-09-07,-0.0005999999999994898
2018-09-14,-0.016300000000000203
2018-09-21,-0.0018000000000002458
2018-09-28,-0.04349999999999987
2018-10-05,0.0
2018-10-12,-0.025900000000000034
2018-10-19,-0.02800000000000047
2018-10-26,-0.009100000000000108
2018-11-02,0.015099999999999447
2018-11-09,0.0042999999999997485
2018-11-16,-0.0022999999999999687
2018-11-23,0.006900000000000794
2018-11-30,-0.006800000000000139
2018-12-07,0.06569999999999965
2018-12-14,-0.007000000000000561
2018-12-21,-0.008899999999999686
2018-12-28,0.02120000000000033
2019-01-04,0.0038000000000000256
2019-01-11,0.06850000000000023
2019-01-18,0.0237999999999996
2019-01-25,-0.025500000000000078
2019-02-01,0.08619999999999983
2019-02-08,0.00019999999999953388
2019-02-15,-0.055299999999999905
2019-02-22,0.04699999999999971
2019-03-01,0.019999999999999574
2019-03-08,-0.026399999999999757
2019-03-15,0.006599999999999717
2019-03-22,0.02260000000000062
2019-03-29,-0.03819999999999979
2019-04-05,0.02660000000000018
2019-04-12,-0.015400000000000524
2019-04-19,0.017000000000000348
2019-04-26,-0.031299999999999883
2019-05-03,0.0009999999999994458
2019-05-10,-0.07129999999999992
2019-05-17,-0.09410000000000007
2019-05-24,-0.013199999999999434
2019-05-31,-0.0015000000000000568
2019-06-07,-0.0031999999999996476
2019-06-14,-0.009800000000000253
2019-06-21,0.045399999999999885
2019-06-28,-0.027099999999999902
2019-07-05,0.00509999999999966
2019-07-12,0.000700000000000145
2019-07-19,0.0023999999999997357
2019-07-26,-0.014599999999999724
2019-08-02,-0.01130000000000031
2019-08-09,-0.11619999999999919
2019-08-16,-0.016899999999999693
2019-08-23,-0.035199999999999676
2019-08-30,-0.04929999999999968
2019-09-06,-0.01330000000000009
2019-09-13,-0.0062000000000006494
2019-09-20,0.0033000000000003027
2019-09-27,-0.020499999999999297
2019-10-04,-0.010799999999999699
2019-10-11,-0.007400000000000517
2019-10-18,0.0032000000000005357
2019-10-25,-0.0049000000000001265
2019-11-01,0.03680000000000039
2019-11-08,0.050400000000000666
2019-11-15,-0.013700000000000045
2019-11-22,-0.019700000000000273
2019-11-29,0.0005999999999994898
2019-12-06,-0.009100000000000108
2019-12-13,0.023599999999999177
2019-12-20,0.012599999999999945
2019-12-27,0.011999999999999567
2020-01-03,0.021099999999999675
2020-01-10,0.031200000000000117
2020-01-17,0.04800000000000004
2020-01-24,-0.0021999999999993136
2020-01-31,-0.0023999999999997357
2020-02-07,-0.09210000000000029
2020-02-14,-0.006800000000000139
2020-02-21,-0.03420000000000023
2020-02-28,0.013399999999999856
2020-03-06,0.07629999999999981
2020-03-13,-0.06960000000000033
2020-03-20,-0.10409999999999986
2020-03-27,0.05750000000000011
2020-04-03,-0.06460000000000043
2020-04-10,0.07060000000000066
2020-04-17,-0.03610000000000024
2020-04-24,-0.009200000000000763
2020-05-01,0.019300000000000317
2020-05-08,-0.02039999999999953
2020-05-15,-0.015799999999999592
2020-05-22,-0.0015999999999998238
2020-05-29,-0.03849999999999998
2020-06-05,0.03799999999999937
2020-06-12,0.005599999999999383
2020-06-19,-0.004699999999999704
2020-06-26,0.03279999999999994
2020-07-03,-0.010399999999999743
2020-07-10,0.06639999999999979
2020-07-17,-0.007500000000000284
2020-07-24,0.009399999999999409
2020-07-31,0.010699999999999932
2020-08-07,0.044299999999999784
2020-08-14,-0.0019000000000000128
2020-08-21,0.028900000000000148
2020-08-28,0.0235000000000003
2020-09-04,0.053600000000000314
2020-09-11,-0.004100000000000215
2020-09-18,0.08150000000000013
2020-09-25,-0.05469999999999953
2020-10-02,0.0015000000000000568
2020-10-09,0.024700000000000166
2020-10-16,0.04660000000000064
2020-10-23,0.061499999999999666
2020-10-30,-0.04980000000000029
2020-11-06,0.10170000000000012
2020-11-13,0.0006999999999992568
2020-11-20,0.05290000000000017
2020-11-27,0.0032999999999994145
2020-12-04,0.026399999999999757
2020-12-11,0.01159999999999961
2020-12-18,0.009500000000000064
2020-12-25,-0.0011999999999998678
2021-01-01,0.009500000000000064
2021-01-08,0.05319999999999947
2021-01-15,0.007299999999999862
2021-01-22,0.002500000000000391
2021-01-29,-0.005399999999999849
2021-02-05,0.0007999999999999119
2021-02-12,0.033199999999999896
2021-02-19,-0.026500000000000412
2021-02-26,-0.008399999999999963
2021-03-05,-0.01949999999999985
2021-03-12,0.0051000000000005485
2021-03-19,-0.02519999999999989
2021-03-26,-0.02859999999999996
2021-04-02,-0.027599999999999625
2021-04-09,0.02259999999999973
2021-04-16,0.01100000000000012
2021-04-23,0.03560000000000052
2021-04-30,0.026900000000000368
2021-05-07,0.002100000000000435
2021-05-14,0.016000000000000014
2021-05-21,0.0237999999999996
2021-05-28,0.046299999999999564
2021-06-04,-0.021600000000000286
2021-06-11,0.022499999999999964
2021-06-18,-0.04999999999999982
2021-06-25,-0.03790000000000049
2021-07-02,0.004000000000000448
2021-07-09,-0.0048000000000003595
2021-07-16,0.006899999999999906
2021-07-23,0.005000000000000782
2021-07-30,0.007200000000000095
2021-08-06,-0.0021999999999993136
2021-08-13,-0.017599999999999838
2021-08-20,-0.01810000000000045
2021-08-27,0.012199999999999989
2021-09-03,0.028900000000000148
2021-09-10,0.0008999999999996788
2021-09-17,0.0045999999999999375
2021-09-24,-0.007200000000000095
2021-10-01,-0.024799999999999933
2021-10-08,0.026500000000000412
2021-10-15,0.022299999999999542
2021-10-22,0.035499999999999865
2021-10-29,0.014000000000000234
2021-11-05,-0.007699999999999818
2021-11-12,-0.008600000000000385
2021-11-19,0.02430000000000021
2021-11-26,-0.010899999999999466
2021-12-03,0.019600000000000506
2021-12-10,0.02150000000000052
2021-12-17,0.005999999999999339
2021-12-24,-0.0037000000000002586
2021-12-31,-0.006400000000000183
2022-01-07,0.000900000000000567
2022-01-14,0.008000000000000007
2022-01-21,0.01869999999999994
2022-01-28,-0.0246000000000004
2022-02-04,0.0007999999999999119
2022-02-11,0.007200000000000095
2022-02-18,0.03340000000000032
2022-02-25,0.0008999999999996788
2022-03-04,0.010799999999999699
2022-03-11,-0.0026999999999999247
2022-03-18,-0.009100000000000108
2022-03-25,-0.030100000000000016
2022-04-01,0.02430000000000021
2022-04-08,-0.014899999999999913
2022-04-15,-0.0226999999999995
2022-04-22,-0.07490000000000041
2022-04-29,-0.1618000000000004
2022-05-06,-0.020199999999999996
2022-05-13,-0.16349999999999998
2022-05-20,0.04049999999999976
2022-05-27,0.010500000000000398
2022-06-03,0.029899999999999594
2022-06-10,0.007800000000000473
2022-06-17,0.004999999999999893
2022-06-24,-0.00849999999999973
2022-07-01,0.010800000000000587
2022-07-08,-0.022999999999999687
2022-07-15,-0.03979999999999961
2022-07-22,-0.0004999999999997229
2022-07-29,0.009999999999999787
2022-08-05,0.0020999999999995467
2022-08-12,-0.001000000000000334
2022-08-19,-0.06430000000000025
2022-08-26,-0.047699999999999854
2022-09-02,-0.06759999999999966
2022-09-09,-0.056700000000000195
2022-09-16,-0.06630000000000003
2022-09-23,-0.14529999999999976
2022-09-30,-0.16359999999999975
2022-10-07,-0.05579999999999963
2022-10-14,-0.05849999999999955
2022-10-21,-0.09890000000000043
2022-10-28,-0.09039999999999981
2022-11-04,-0.14499999999999957
2022-11-11,0.07989999999999942
2022-11-18,0.062399999999999345
2022-11-25,-0.034900000000000375
2022-12-02,0.07709999999999972
2022-12-09,0.09309999999999974
2022-12-16,-0.02149999999999963
2022-12-23,-0.004699999999999704
2022-12-30,0.016899999999999693
2023-01-06,0.0732999999999997
2023-01-13,0.16270000000000007
2023-01-20,-0.04269999999999996
2023-01-27,-0.0016999999999995907
2023-02-03,0.030300000000000438
2023-02-10,-0.0506000000000002
2023-02-17,-0.07690000000000019
2023-02-24,-0.028699999999999726
2023-03-03,-0.017000000000000348
2023-03-10,-0.055000000000000604
2023-03-17,0.06079999999999952
2023-03-24,0.0674999999999999
2023-03-31,-0.03469999999999995
2023-04-07,-0.010100000000000442
2023-04-14,0.02200000000000024
2023-04-21,-0.01529999999999987
2023-04-28,-0.0484
2023-05-05,0.011900000000000688
2023-05-12,-0.03589999999999982
2023-05-19,-0.08950000000000014
2023-05-26,-0.040000000000000036
2023-06-02,-0.018800000000000594
2023-06-09,-0.018200000000000216
2023-06-16,-0.016499999999999737
2023-06-23,-0.048499999999999766
2023-06-30,-0.06899999999999995
2023-07-07,-0.019700000000000273
2023-07-14,0.06289999999999996
2023-07-21,-0.05900000000000016
2023-07-28,-0.014199999999999768
2023-08-04,-0.045900000000000496
2023-08-11,-0.06599999999999984
2023-08-18,-0.1460000000000008
2023-08-25,-0.08200000000000074
2023-09-01,-0.09970000000000034
2023-09-08,-0.14719999999999978
2023-09-15,-0.06850000000000023
2023-09-22,-0.12420000000000009
2023-09-29,-0.14949999999999974
2023-10-06,-0.14259999999999984
2023-10-13,-0.13739999999999952
2023-10-20,-0.12990000000000013
2023-10-27,-0.13180000000000014
2023-11-03,-0.13519999999999932
2023-11-10,-0.11509999999999998
2023-11-17,-0.07289999999999974
2023-11-24,0.02999999999999936
2023-12-01,-0.028500000000000192
2023-12-08,-0.03160000000000007
2023-12-15,-0.005499999999999616
2023-12-22,-0.034900000000000375
2023-12-29,-0.016000000000000014
2024-01-05,-0.07620000000000005
2024-01-12,-0.05550000000000033
2024-01-19,-0.09029999999999916
2024-01-26,-0.05350000000000055
2024-02-02,-0.05959999999999965
2024-02-09,-0.09670000000000023
2024-02-16,-0.09370000000000012
2024-02-23,-0.09039999999999981
2024-03-01,-0.09140000000000015
2024-03-08,-0.08220000000000027
2024-03-15,-0.10400000000000009
2024-03-22,-0.11270000000000024
2024-03-29,-0.12520000000000042
2024-04-05,-0.13490000000000002
2024-04-12,-0.14170000000000016
2024-04-19,-0.1490999999999998
2024-04-26,-0.14140000000000086
2024-05-03,-0.13759999999999994
2024-05-10,-0.1064999999999996
2024-05-17,-0.12040000000000006
2024-05-24,-0.1440999999999999
2024-05-31,-0.12959999999999994
2024-06-07,-0.13370000000000015
2024-06-14,-0.14650000000000052
2024-06-21,-0.1532
2024-06-28,-0.14890000000000025
2024-07-05,-0.14339999999999975
2024-07-12,-0.12300000000000022
2024-07-19,-0.13980000000000015
2024-07-26,-0.09470000000000045
2024-08-02,-0.11739999999999995
2024-08-09,-0.030300000000000438
2024-08-16,-0.029300000000000104
