date,KRW,THB,IDR,PHP,CNH,MYR,SGD,TWD,EUR,CAD,JPY,CLP,PLN,BRL,HUF,MXN
2013-01-04,2.5187720000000002,2.652972,4.084772,2.6695719999999996,2.826872,2.750572,-0.06042799999999998,0.499872,-0.09942799999999999,0.9590719999999999,-0.14981399999999997,,2.9939720000000003,2.302072,5.175772,
2013-01-11,2.517488,2.689388,4.128088,2.457188,2.785788,2.804488,-0.020811999999999997,0.524188,-0.04281200000000002,0.9674879999999999,-0.149426,,3.2125879999999998,2.274888,5.211888,
2013-01-18,2.4991849999999998,2.635085,4.138185,2.425585,2.775285,2.7737849999999997,-0.069415,0.498385,-0.014315000000000022,0.944985,-0.16014,,3.132685,2.476385,5.041485,
2013-01-25,2.453655,2.6221550000000002,4.077554999999999,2.3797550000000003,2.750355,2.768755,-0.07664500000000002,0.486355,0.03165499999999999,0.8848550000000001,-0.18319200000000002,,2.9805550000000003,2.656355,5.088855,
2013-02-01,2.52702,2.63412,4.16772,2.14262,2.78282,2.79302,-0.014279999999999987,0.52372,0.05012,0.9694200000000001,-0.162709,,2.99702,2.75732,4.87662,
2013-02-08,2.489902,2.542402,4.1066020000000005,2.205402,2.7358019999999996,2.790502,0.010402000000000022,0.522802,0.010201999999999989,0.8808020000000001,-0.202205,,3.166702,3.128002,4.853302,
2013-02-15,2.461705,2.553405,4.064105,2.085705,2.731205,2.758105,-0.017295000000000033,0.508205,0.00020499999999995522,0.8888050000000001,-0.21298500000000004,,3.120505,3.121405,4.788805,
2013-02-22,2.435005,2.590905,3.990005,2.006105,2.761805,2.746005,-0.071995,0.542405,-0.024294999999999983,0.8476049999999999,-0.194828,,3.164605,3.2861049999999996,4.747305,
2013-03-01,2.405319,2.619119,4.025019,1.963219,2.784219,2.755219,-0.05818100000000001,0.5478190000000001,-0.08618100000000001,0.743919,-0.189246,,3.236519,3.127219,4.628119,
2013-03-08,2.408125,2.619525,3.952125,1.588425,2.770725,2.716625,-0.073275,0.5348249999999999,-0.067075,0.7883249999999999,-0.212008,,3.099525,3.228125,4.569225,
2013-03-15,2.3753040000000003,2.582904,4.020504,1.5181040000000001,2.799804,2.717004,-0.08099599999999998,0.553804,-0.089196,0.7890039999999999,-0.207554,,2.9083040000000002,3.263904,4.612603999999999,
2013-03-22,2.353405,2.573905,4.118805,1.505405,2.785605,2.701605,-0.08119499999999999,0.546605,-0.099795,0.7712050000000001,-0.208371,,2.870805,3.363905,4.605505,
2013-03-29,2.2979,2.576,4.1833,1.4829,2.7886,2.7021,-0.03970000000000001,0.5582,-0.1192,0.7844,-0.194821,,2.8928,3.3766,4.4253,
2013-04-05,2.210905,2.5915049999999997,4.2673049999999995,1.494405,2.786305,2.734105,-0.046295,0.553805,-0.11739500000000001,0.7681049999999999,-0.140181,,2.745905,3.298705,4.080505,
2013-04-12,2.452299,2.610499,4.273899,1.5744989999999999,2.728299,2.735299,-0.067301,0.537499,-0.107701,0.752199,-0.089476,,2.7892989999999998,3.495799,4.102299,
2013-04-19,2.398097,2.587297,4.277496999999999,1.603597,2.767297,2.735497,-0.060203000000000007,0.531397,-0.10540300000000001,0.743797,-0.10015200000000002,,2.616797,3.263897,3.935697,
2013-04-26,2.3538140000000003,2.615514,4.204014,1.3344140000000002,2.813014,2.768114,-0.041686,0.508414,-0.110386,0.768714,-0.08641599999999999,,2.451814,3.304214,4.0929139999999995,
2013-05-03,2.284475,2.491675,4.142175,1.314575,2.755975,2.7552749999999997,-0.027524999999999994,0.47647500000000004,-0.12192499999999999,0.7996750000000001,-0.09903999999999999,,2.366875,3.222375,3.9710749999999995,
2013-05-10,2.3305350000000002,2.486335,4.128735,1.393135,2.778835,2.697635,-0.047564999999999996,0.46553500000000003,-0.097965,0.823535,-0.11454099999999999,,2.318235,3.335335,3.891835,
2013-05-17,2.335779,2.437879,4.162078999999999,1.2930789999999999,2.777879,2.701979,-0.051821000000000006,0.452779,-0.158721,0.8168789999999999,-0.082572,,2.311579,3.361279,3.840079,
2013-05-24,2.378915,2.446815,4.310415,1.528015,2.786815,2.761115,0.07341500000000001,0.465415,-0.11598499999999998,0.835815,-0.083647,,2.341015,3.540915,3.9180149999999996,
2013-05-31,2.452579,2.391179,4.4226790000000005,1.854579,2.7192790000000002,2.712979,0.09047900000000003,0.4131790000000001,-0.12652099999999997,0.8231790000000001,-0.141583,,2.446979,3.9551790000000002,4.085079,
2013-06-07,2.435503,2.3798030000000003,4.532102999999999,1.9568030000000003,2.809203,2.695403,-0.037497,0.42670300000000005,-0.054397,0.8747030000000001,-0.134159,,2.5599030000000003,4.108702999999999,4.118403,
2013-06-14,2.476142,2.5493419999999998,7.518942,2.050442,2.931142,2.8462419999999997,0.03344199999999997,0.44574199999999997,-0.04365800000000003,0.8721420000000001,,,2.5059419999999997,4.767242,4.269942,
2013-06-21,2.578723,2.601223,5.790323,2.275523,3.152823,2.8406230000000003,0.076623,0.36092300000000005,-0.02407699999999996,0.906023,,,2.745223,5.077323,4.752923,
2013-06-28,2.505501,2.551601,6.302201,3.005801,3.132301,2.921101,-0.08329900000000001,0.35470100000000004,-0.04769899999999999,0.9238010000000001,,,2.759501,4.642301,4.365301,
2013-07-05,2.4760619999999998,2.487462,6.418462,2.436662,2.909862,2.827462,-0.20783800000000002,0.36666199999999993,-0.16873800000000003,0.874962,,,2.633062,4.735362,3.998762,
2013-07-12,2.451635,2.536235,6.721335,2.149035,3.069135,2.865035,-0.21336500000000003,0.396535,-0.14146500000000004,0.8158350000000001,,,2.559235,4.765834999999999,3.9953350000000003,
2013-07-19,2.4839539999999998,2.6036539999999997,7.082453999999999,1.8171540000000002,3.1589539999999996,2.984954,-0.147346,0.44515399999999994,-0.10464600000000002,0.812854,,,2.5548539999999997,4.396254,4.125254,
2013-07-26,2.561255,2.580955,6.945755,1.937955,3.357655,2.9571549999999998,-0.137845,0.422255,-0.057145,0.874555,,,2.552655,4.336555000000001,4.041055,
2013-08-02,2.602031,2.6141310000000004,6.842931,1.7195310000000001,3.3074310000000002,2.9762310000000003,-0.09376899999999999,0.46033100000000005,-0.05076899999999998,0.9096310000000001,,,2.5623310000000004,4.770431,4.164331000000001,
2013-08-09,2.5454990000000004,2.567699,6.850899,1.6911990000000001,3.312799,2.909999,-0.09340099999999998,0.47999900000000006,-0.04300100000000001,0.871799,,,2.6204989999999997,4.590199,4.059599,
2013-08-16,2.544731,2.531631,7.049131,1.6536310000000003,3.410731,2.8657310000000003,-0.11246900000000001,0.45543100000000003,-0.031669,0.917831,,,2.7344310000000003,5.146431,4.263031,
2013-08-23,2.490557,2.503657,7.2852570000000005,1.7164569999999997,3.433757,2.887657,-0.11694300000000002,0.428057,-0.02074300000000001,0.853757,,,2.768757,5.092657,4.366357000000001,
2013-08-30,2.443619,2.681419,7.471219,1.9619190000000002,3.418419,2.928019,-0.10698100000000005,0.422219,-0.05108100000000004,0.850919,-0.256207,,2.7578189999999996,5.123219,4.335119,
2013-09-06,2.486087,2.646887,7.414886999999999,2.229687,3.385687,2.829987,-0.09201300000000001,0.367287,-0.10081299999999999,0.8716870000000001,-0.33199100000000004,,2.830387,5.035087,4.303887,
2013-09-13,2.453551,2.616751,7.156851,2.1724509999999997,3.384251,2.8181510000000003,-0.158949,0.379351,-0.08974900000000002,0.881251,-0.312557,,2.712251,5.015651,3.968451,
2013-09-20,2.488167,2.635267,6.826467,1.8354670000000002,3.468267,2.8713670000000002,-0.05983299999999997,0.467367,-0.006032999999999955,0.889667,-0.21139199999999997,,2.778567,4.814166999999999,3.877567,
2013-09-27,2.479254,2.640054,6.908353999999999,1.820354,3.407554,2.904254,0.036053999999999975,0.48355400000000004,-0.04504600000000003,0.8741539999999999,-0.22489900000000002,,2.794154,4.981054,3.8177540000000003,
2013-10-04,2.469396,2.6198960000000002,6.971696000000001,1.757896,3.400996,2.816196,-0.024204000000000003,0.462296,-0.03700399999999998,0.863496,-0.22709000000000001,,2.780596,5.028696,3.7944960000000005,
2013-10-11,2.521294,2.603294,6.791094,1.592094,3.413494,2.7814940000000004,-6.0000000000060005e-06,0.468094,-0.04180600000000001,0.8678939999999999,-0.23703500000000002,,2.6896940000000003,4.986394,3.699294,
2013-10-18,2.473042,2.587542,6.588742,1.5699420000000002,3.4744420000000003,2.769642,-0.002958000000000016,0.48024199999999995,-0.025558000000000025,0.858642,-0.207737,,2.641042,5.139241999999999,3.614742,
2013-10-25,2.4661,2.5602,6.122,1.2669000000000001,3.5886,2.7362,-0.0408,0.4922,-0.016699999999999993,0.7708000000000002,-0.200795,,2.6017,5.1147,3.5471,
2013-11-01,2.493109,2.600009,6.380409,1.263709,3.694609,2.742509,-0.03629100000000002,0.477409,-0.084791,0.801509,-0.210138,,2.594509,5.310809,3.583609,
2013-11-08,2.514784,2.605984,6.763384,1.2336840000000002,3.721884,2.761984,-0.08381599999999997,0.482484,-0.07311599999999999,0.8184840000000001,-0.20611599999999997,,2.6231839999999997,5.786484,3.552984,
2013-11-15,2.565181,2.634481,7.250581,1.358981,3.9365810000000003,2.805381,-0.05481900000000001,0.488181,-0.07361900000000002,0.8034809999999999,-0.192693,,2.587681,5.387481,3.377881,
2013-11-22,2.597388,2.691288,7.400588,1.516388,4.182988,2.800088,-0.03181199999999998,0.49718799999999996,-0.037711999999999996,0.8097880000000001,-0.18023899999999998,,2.607688,5.6545879999999995,3.4038880000000002,
2013-11-29,2.63802,2.45312,7.496919999999999,1.3042200000000002,4.024819999999999,2.87312,-0.011180000000000023,0.5086200000000001,-0.04988000000000001,0.8068200000000001,-0.186844,,2.64872,5.76892,3.36752,
2013-12-06,2.6207070000000003,2.495007,7.693707,1.498607,4.042407,2.8936070000000003,0.03400700000000001,0.46120700000000003,-0.003693000000000002,0.776707,-0.207261,,2.654307,5.8158069999999995,3.314007,
2013-12-13,2.558927,2.468227,7.4969269999999995,1.478427,4.058927,2.9026270000000003,0.038827,0.437827,0.017627000000000004,0.7610269999999999,-0.22416799999999998,,2.574727,5.590726999999999,3.260727,
2013-12-20,2.463113,2.376113,7.338312999999999,1.5638130000000001,4.087612999999999,2.901513,-0.06478699999999998,0.376613,-0.04318700000000003,0.706813,-0.276491,,2.506913,5.778213,3.1451130000000003,
2013-12-27,2.418886,2.2661860000000003,7.172186,1.619386,4.0488859999999995,2.912586,0.016786000000000023,0.364886,-0.044213999999999976,0.738586,-0.290949,,2.5018860000000003,5.742585999999999,3.098586,
2014-01-03,2.477245,2.162245,7.358045000000001,1.668545,4.044544999999999,2.912245,-0.0016550000000000176,0.37014499999999995,-0.071355,0.7211449999999999,-0.290659,,2.541845,5.788544999999999,3.186445,
2014-01-10,2.457427,2.241727,7.563227,2.0797269999999997,3.957227,2.8156269999999997,0.033326999999999996,0.382227,-0.06927300000000003,0.624827,-0.27595200000000003,,2.466927,5.812927,3.0185269999999997,
2014-01-17,2.444576,2.190476,7.2159759999999995,2.010176,3.918276,2.829476,0.032575999999999994,0.39857600000000004,-0.08322400000000002,0.639176,-0.283494,,2.497676,5.849776,2.860076,
2014-01-24,2.457114,2.239614,7.3551139999999995,2.2218139999999997,3.6372139999999997,2.8828139999999998,0.027314000000000005,0.37661400000000006,-0.08918599999999999,0.639114,-0.255202,,2.628414,6.244114,2.996114,
2014-01-31,2.50029,2.28179,7.51019,2.22939,3.65539,2.93959,0.053790000000000004,0.36918999999999996,-0.13941,0.63489,-0.24251,,2.88869,6.53299,3.7777900000000004,
2014-02-07,2.504396,2.307996,7.472996,2.263796,3.675996,2.950696,0.006996000000000002,0.41459599999999996,-0.09240400000000001,0.6935959999999999,-0.21622200000000003,,2.778596,6.142996,3.530996,
