date,CNH,IDR,INR,MYR,PHP,SGD,THB,TWD,KRW
2011-10-14,,3.50993,5.77176,,2.66013,-0.066129,2.80972,-0.907471,2.46669
2011-10-21,,4.48654,6.51852,,2.65611,0.02815,2.9345,-0.887911,2.53921
2011-10-28,,4.08096,6.25412,,2.26069,0.0,3.10774,-0.760948,2.74885
2011-11-04,,4.795,6.85115,,3.02039,-0.009463,3.07834,-0.578057,2.90093
2011-11-11,,3.95023,6.75271,,2.99141,0.018625,2.76208,-0.693541,2.85946
2011-11-18,,3.92705,6.59616,,3.28266,0.02776,2.68539,-0.711694,2.39664
2011-11-25,,3.70589,6.27495,,3.72241,0.027384,2.61371,-0.68793,2.39562
2011-12-02,,4.06725,7.24698,,2.42573,-0.018695,2.65962,-0.83264,2.79264
2011-12-09,,3.84515,7.39382,,3.16602,0.046155,2.69199,-0.830815,2.54044
2011-12-16,,4.12698,7.80806,,2.4221,0.147373,2.31121,-0.768021,2.62017
2011-12-23,,4.18647,9.26857,,2.37102,0.083601,2.71696,-0.710909,2.47949
2011-12-30,,3.90612,8.53017,,1.65418,0.120052,2.98546,-0.809426,2.79561
2012-01-06,,3.62114,7.94985,,3.10133,0.102073,2.64117,-0.672676,2.45221
2012-01-13,,3.69552,9.17345,,3.05886,-0.009322,2.57671,-0.638519,2.6443
2012-01-20,,3.82164,9.87865,,3.2072,0.0,2.59778,-0.639082,2.78566
2012-01-27,,3.25745,9.21243,,3.26734,-0.009545,2.62089,-0.639082,2.704
2012-02-03,,3.39623,8.419,,2.89589,-0.009632,2.6319,-0.506777,2.82603
2012-02-10,,3.25285,8.59351,,3.15086,0.009558,2.56039,-0.446134,2.53829
2012-02-17,,3.0416,8.80529,,2.85152,-0.009513,2.50392,-0.425449,2.47988
2012-02-24,,3.43604,9.03012,,2.93695,-0.009563,2.46014,-0.384891,2.53453
2012-03-02,,3.69552,10.7636,,3.49871,0.009594,2.98833,-0.244341,2.88802
2012-03-09,,3.80982,10.2665,,3.21698,0.0,2.84165,-0.203273,2.82705
2012-03-16,,3.87891,9.97656,,3.36519,0.066571,2.53072,-0.182597,2.80658
2012-03-23,,3.79924,10.8841,,3.11553,0.047565,2.44693,-0.162176,2.83714
2012-03-30,,3.62083,8.4753,,2.68773,-0.00955,2.40347,-0.162511,2.84297
2012-04-06,,3.68314,8.63534,,3.09888,-0.038096,2.40562,-0.182897,2.80312
2012-04-13,,4.07642,8.48514,,3.15184,-0.028855,2.36132,-0.1625,2.62152
2012-04-20,,3.65298,8.46496,,3.17045,-0.038389,2.37304,-0.162599,2.44919
2012-04-27,,3.75076,9.1393,,3.01359,-0.0483,2.69729,-0.184132,2.72924
2012-05-04,,3.77617,8.20409,,3.04633,0.0,2.64313,-0.163876,2.41259
2012-05-11,,3.85528,7.88016,,3.13073,-0.019177,2.52721,-0.36671,2.54089
2012-05-18,,4.16757,7.82708,,3.10825,-0.018832,2.62779,-0.26316,2.43118
2012-05-25,,4.93121,7.96641,,3.10008,-0.028149,2.61139,-0.323553,2.50867
2012-06-01,,4.11182,7.67053,,2.8702,-0.204761,2.2286,-0.220343,2.62945
2012-06-08,,4.61471,7.39995,,3.02129,0.0,2.41807,-0.259985,2.58262
2012-06-15,,4.47725,7.08418,,2.91949,0.0,2.32703,-0.300378,2.44636
2012-06-22,,4.3909,7.50332,,3.15462,0.014088,2.5763,-0.240064,2.67713
2012-06-29,,4.85111,8.23576,,2.92932,0.028333,2.52,-0.240658,2.59732
2012-07-06,,5.02549,8.01927,,2.68774,0.0,2.49368,-0.280495,2.50671
2012-07-13,,6.11563,7.95972,,1.52502,-0.009453,2.53481,-0.279557,2.21286
2012-07-20,1.73703,4.8541,7.89305,,1.58756,-0.009566,2.72279,-0.279869,2.33804
2012-07-27,1.58114,4.9176,7.72345,,1.2237,0.009581,2.82939,-0.239,2.50576
2012-08-03,1.94426,5.25132,8.10649,,1.15259,-0.009622,2.7488,-0.239928,2.56768
2012-08-10,2.47862,5.18386,7.96529,,0.646453,0.009628,2.69994,-0.160045,2.52342
2012-08-17,3.39905,5.50844,8.5949,,0.638126,0.0,2.6774,-0.139878,2.46065
