date,US,KRW,THB,IDR_GT,PHP,CNH,IDR_BV,MYR,SGD,TWD
1990-01-05,7.98401,,,,,,,,,
1990-01-12,8.10128,,,,,,,,,
1990-01-19,8.23916,,,,,,,,,
1990-01-26,8.46673,,,,,,,,,
1990-02-02,8.49688,,,,,,,,,
1990-02-09,8.29958,,,,,,,,,
1990-02-16,8.42461,,,,,,,,,
1990-02-23,8.54167,,,,,,,,,
1990-03-02,8.54129,,,,,,,,,
1990-03-09,8.6361,,,,,,,,,
1990-03-16,8.57393,,,,,,,,,
1990-03-23,8.52139,,,,,,,,,
1990-03-30,8.63565,,,,,,,,,
1990-04-06,8.55902,,,,,,,,,
1990-04-13,8.64032,,,,,,,,,
1990-04-20,8.9526,,,,,,,,,
1990-04-27,9.0426,,,,,,,,,
1990-05-04,8.84018,,,,,,,,,
1990-05-11,8.65253,,,,,,,,,
1990-05-18,8.74607,,,,,,,,,
1990-05-25,8.69332,,,,,,,,,
1990-06-01,8.45924,,,,,,,,,
1990-06-08,8.47229,,,,,,,,,
1990-06-15,8.44816,,,,,,,,,
1990-06-22,8.50311,,,,,,,,,
1990-06-29,8.4142,,,,,,,,,
1990-07-06,8.51112,,,,,,,,,
1990-07-13,8.44046,,,,,,,,,
1990-07-20,8.47709,,,,,,,,,
1990-07-27,8.42049,,,,,,,,,
1990-08-03,8.44792,,,,,,,,,
1990-08-10,8.66001,,,,,,,,,
1990-08-17,8.8021,,,,,,,,,
1990-08-24,9.0433,,,,,,,,,
1990-08-31,8.85408,,,,,,,,,
1990-09-07,8.79127,,,,,,,,,
1990-09-14,8.87273,,,,,,,,,
1990-09-21,8.97949,,,,,,,,,
1990-09-28,8.80012,,,,,,,,,
1990-10-05,8.64676,,,,,,,,,
1990-10-12,8.8143,,,,,,,,,
1990-10-19,8.61756,,,,,,,,,
1990-10-26,8.6316,,,,,,,,,
1990-11-02,8.56469,,,,,,,,,
1990-11-09,8.47175,,,,,,,,,
1990-11-16,8.3039,,,,,,,,,
1990-11-23,8.28455,,,,,,,,,
1990-11-30,8.25163,,,,,,,,,
1990-12-07,8.03131,,,,,,,,,
1990-12-14,8.0349,,,,,,,,,
1990-12-21,8.09776,,,,,,,,,
1990-12-28,8.13366,,,,,,,,,
1991-01-04,8.0232,,,,,,,,,
1991-01-11,8.17393,,,,,,,,,
1991-01-18,8.02623,,,,,,,,,
1991-01-25,8.04392,,,,,,,,,
1991-02-01,7.91097,,,,,,,,,
