date,KRW,THB,IDR,PHP,CNH,MYR,SGD,TWD,EUR,CAD,JPY,CLP,PLN,BRL,HUF,MXN
2013-01-04,-1.2018820000000001,-0.817782,-0.6349820000000002,-0.14308200000000038,-1.1069820000000001,-1.0471820000000005,-0.2763820000000001,-1.158982,-0.11618200000000001,-0.841682,-0.9888560000000001,,-1.0260820000000004,-0.9588820000000002,-0.8329820000000006,
2013-01-11,-1.240978,-0.7760779999999998,-0.5436780000000001,0.23142200000000046,-1.026978,-1.0375780000000001,-0.28577799999999987,-1.139678,-0.0979779999999999,-0.7973779999999999,-0.965973,,-1.1287779999999998,-0.8791779999999998,-0.8632780000000004,
2013-01-18,-1.244065,-0.7291650000000001,-0.4397650000000004,0.33493499999999976,-0.998265,-1.0158649999999998,-0.2669650000000001,-1.0865650000000002,-0.14676500000000003,-0.7707649999999999,-0.9836779999999999,,-1.054465,-0.967565,-0.6419649999999999,
2013-01-25,-1.308385,-0.7700850000000004,-0.5539849999999995,0.19711499999999926,-1.030685,-1.1027850000000003,-0.30108500000000027,-1.1865850000000002,-0.20948500000000037,-0.789385,-1.0882490000000002,,-1.0663850000000004,-1.2262850000000003,-0.6167850000000006,
2013-02-01,-1.3676299999999997,-0.88503,-0.6326300000000002,0.049670000000000325,-1.10893,-1.1545299999999998,-0.3295299999999999,-1.2494299999999998,-0.26793,-0.8281299999999998,-1.132063,,-1.17023,-1.21503,-0.5758300000000003,
2013-02-08,-1.3136919999999999,-0.8493920000000001,-0.5609919999999999,-0.1368919999999998,-1.0358919999999998,-1.1175920000000004,-0.23289199999999988,-1.2072920000000003,-0.19979199999999997,-0.7564920000000002,-1.023698,,-1.1581919999999999,-1.1345920000000003,-0.4268919999999998,
2013-02-15,-1.3155949999999996,-0.852395,-0.5855949999999996,-0.1553949999999995,-1.049795,-1.1319949999999999,-0.20289499999999983,-1.2268949999999998,-0.18569499999999972,-0.760195,-1.069086,,-1.1108949999999997,-1.278095,-0.5145949999999999,
2013-02-22,-1.2977450000000001,-0.8516449999999998,-0.5020450000000001,-0.13014499999999996,-1.034245,-1.096745,-0.15924499999999986,-1.2220449999999998,-0.182245,-0.7502449999999998,-1.0776569999999999,,-1.1664450000000002,-1.352345,-0.5158449999999999,
2013-03-01,-1.236439,-0.7628390000000003,-0.40223900000000046,0.11786099999999977,-0.9347390000000002,-0.9987389999999998,-0.10903900000000011,-1.127639,-0.09233899999999995,-0.680239,-1.047773,,-1.1397389999999998,-1.2066390000000002,-0.31013900000000016,
2013-03-08,-1.4015650000000002,-0.935565,-0.5419649999999998,-0.13416499999999987,-1.136565,-1.1782650000000001,-0.25636499999999995,-1.2833649999999999,-0.26856499999999994,-0.7806649999999999,-1.2289329999999998,,-1.1810649999999998,-1.4865649999999997,-0.3282649999999996,
2013-03-15,-1.354364,-0.8654639999999998,-0.5339640000000001,-0.1657639999999998,-1.090264,-1.134464,-0.1567639999999999,-1.2046639999999997,-0.23556399999999988,-0.7620639999999999,-1.2031939999999999,,-1.109664,-1.4159639999999998,-0.12126399999999915,
2013-03-22,-1.3170750000000004,-0.8343750000000001,-0.5122750000000003,-0.32537499999999997,-0.9693750000000003,-1.037575,-0.10727500000000023,-1.119375,-0.2022750000000002,-0.7529750000000002,-1.172803,,-0.919575,-1.3338750000000004,-0.017475000000000573,
2013-03-29,-1.2643399999999998,-0.7819400000000001,-0.36404000000000014,-0.18884000000000012,-0.9454400000000001,-0.9939400000000003,-0.11553999999999998,-1.01104,-0.16334000000000004,-0.7518400000000001,-1.1324649999999998,,-0.8504399999999999,-1.1944400000000002,0.011859999999999538,
2013-04-05,-1.0693050000000002,-0.6543050000000001,-0.30810499999999963,-0.21550499999999984,-0.8392050000000004,-0.8744050000000001,-0.05980500000000011,-0.8370050000000002,-0.16860500000000012,-0.707805,-1.0589680000000001,,-0.8592050000000004,-1.021905,0.19729500000000022,
2013-04-12,-1.1668690000000002,-0.798969,-0.32036899999999946,-0.0031689999999997553,-0.8183689999999997,-0.9406689999999998,-0.1087689999999999,-0.8649689999999998,-0.148069,-0.7276689999999999,-1.0024639999999998,,-0.977169,-1.1687689999999997,-0.14276900000000037,
2013-04-19,-1.179397,-0.8034969999999999,-0.35589700000000035,-0.051597000000000115,-0.8292970000000002,-0.9429970000000003,-0.05139700000000014,-0.8706970000000002,-0.14219700000000013,-0.731997,-1.030334,,-0.9525970000000001,-1.0390970000000002,-0.07719699999999974,
2013-04-26,-1.171974,-0.7222740000000001,-0.259474,0.11602599999999974,-0.9870739999999998,-0.9294740000000004,-0.05797400000000019,-0.821374,-0.14367400000000008,-0.716774,-1.0099390000000001,,-0.7978740000000002,-0.9684740000000001,-0.22197400000000034,
2013-05-03,-1.2415850000000002,-0.799585,-0.24998499999999968,0.051815000000000166,-0.9332850000000001,-0.996985,-0.186685,-0.919585,-0.19238500000000003,-0.7600850000000001,-1.0971190000000002,,-1.0084849999999999,-1.0509850000000003,-0.6128849999999995,
