date,US,KRW,THB,IDR_GT,PHP,CNH,IDR_BV,MYR,SGD,TWD
1993-09-03,1.5861900000000002,,,,,,,,,
1993-09-10,1.5007499999999996,,,,,,,,,
1993-09-17,1.5051899999999998,,,,,,,,,
1993-09-24,1.54428,,,,,,,,,
1993-10-01,1.4993000000000003,,,,,,,,,
1993-10-08,1.4732000000000003,,,,,,,,,
1993-10-15,1.37684,,,,,,,,,
1993-10-22,1.49307,,,,,,,,,
1993-10-29,1.4345799999999995,,,,,,,,,
1993-11-05,1.55811,,,,,,,,,
1993-11-12,1.5468200000000003,,,,,,,,,
1993-11-19,1.6336700000000004,,,,,,,,,
1993-11-26,1.5975899999999994,,,,,,,,,
1993-12-03,1.5573799999999993,,,,,,,,,
1993-12-10,1.5243100000000007,,,,,,,,,
1993-12-17,1.6099599999999992,,,,,,,,,
1993-12-24,1.5050300000000005,,,,,,,,,
1993-12-31,1.5548000000000002,,,,,,,,,
1994-01-07,1.5891200000000003,,,,,,,,,
1994-01-14,1.5969700000000007,,,,,,,,,
1994-01-21,1.6274899999999999,,,,,,,,,
1994-01-28,1.53951,,,,,,,,,
1994-02-04,1.4806999999999997,,,,,,,,,
1994-02-11,1.4598899999999997,,,,,,,,,
1994-02-18,1.54718,,,,,,,,,
1994-02-25,1.47302,,,,,,,,,
1994-03-04,1.4753800000000004,,,,,,,,,
1994-03-11,1.5285400000000005,,,,,,,,,
1994-03-18,1.4895399999999999,,,,,,,,,
1994-03-25,1.4910199999999998,,,,,,,,,
1994-04-01,1.59152,,,,,,,,,
1994-04-08,1.5045200000000003,,,,,,,,,
1994-04-15,1.47023,,,,,,,,,
1994-04-22,1.3367400000000007,,,,,,,,,
1994-04-29,1.3011500000000007,,,,,,,,,
1994-05-06,1.2332,,,,,,,,,
1994-05-13,1.25216,,,,,,,,,
1994-05-20,1.2630700000000008,,,,,,,,,
1994-05-27,1.1488899999999997,,,,,,,,,
1994-06-03,1.1209300000000004,,,,,,,,,
