date,BRL,CAD,EUR,JPY,MXN
2006-06-13,,22.92397480475225,20.91069893376286,-9.834793214325313,-20.56327646904792
2006-06-20,,16.478460217423002,18.716629965913548,-20.300080600161202,-37.28232393280937
2006-06-27,,25.104965976545532,26.848939702765815,-24.59182149299691,-36.80757769745862
2006-07-03,,29.399729329397598,32.62966984158318,-19.541401878023333,-25.39406406112254
2006-07-11,,13.619350814171094,34.76905318648888,-17.80077246786188,-19.89937790193872
2006-07-18,,15.129173410058144,25.7613141791289,-34.94033905298993,-1.3320111164163024
2006-07-25,,1.7713645705338017,22.098406325535663,-37.70934448558329,-2.115274547292278
2006-08-01,,-3.6677203421346225,32.321229474964525,-20.201302485354706,3.6402718069615863
2006-08-08,,12.661495576293783,37.94377907663574,-22.610162663040743,12.31709156735556
2006-08-15,,15.394805045211081,37.24246340085365,-26.479038486410584,24.521268502619165
2006-08-22,,19.719154926327207,34.876636183309365,-31.03897532956271,19.234996437068975
2006-08-29,,30.575078668199204,32.63950919091721,-36.31264804185877,16.808785682942162
2006-09-05,,24.417886397206928,29.29671511933858,-32.463110598272664,21.503041870452105
2006-09-12,,12.485797613275341,29.991749909486416,-31.146470236043324,-0.40950343097469194
2006-09-19,,4.330946858929112,25.421239288269227,-45.14700263885064,-1.2010701478094226
2006-09-26,,11.587412884582696,22.956445547807675,-49.65241366841439,-9.858896829759942
2006-10-03,,15.2684714552481,26.392033867315508,-51.093639133947725,-13.51263719339202
2006-10-10,,6.532299628260941,8.68264862893332,-53.25332427194617,-4.738406405096773
2006-10-17,,-16.60842493169833,4.41950714701507,-52.15521360986333,49.58683581628164
2006-10-24,,-7.534704549763979,2.435551843274232,-53.147372066233686,60.82240894114348
2006-10-31,,-11.60804983229516,25.35597608333847,-36.040810742827894,65.45194649348817
2006-11-07,,-9.51114806721714,30.790464381694036,-34.32592780152185,62.78544375290704
2006-11-14,,-23.954545805445548,27.765240989631263,-32.82528374426839,51.780729552963386
2006-11-21,,-32.33801307624916,27.6610032905782,-34.212451660105216,17.4933702595723
2006-11-28,,-23.50244474239882,29.15986183174112,-21.164822872827806,14.070406442135045
2006-12-05,,-29.287212058591138,30.04384690680409,-16.340215413073963,19.23681287421094
2006-12-12,,-27.297907263028314,32.52622206779735,-19.567815859511263,26.64584290307763
2006-12-19,,-26.881286409355706,36.067786829074755,-51.6574493185298,70.43086593906996
2006-12-26,,-44.70988515146426,32.10623544215684,-51.46709594921679,55.34280420012353
2007-01-03,,-47.00492451763946,27.856359302153873,-51.987766494024044,61.108091084017154
2007-01-09,,-51.89646105103834,25.966076173121724,-55.25713630950108,28.488750093260716
2007-01-16,,-50.47232317401173,14.868099687716441,-56.58547645267863,27.73853731639321
2007-01-23,,-49.28967485809902,17.920810769357825,-53.84610925280726,19.71134704711347
2007-01-30,,-46.09157238891621,18.91480788437475,-50.99049611997559,14.92411026731153
2007-02-06,,-46.90829349703411,9.80806499293793,-43.391019941572466,16.435871012065782
2007-02-13,,-35.50759653785478,26.55142554760912,-46.5356030391726,20.131271846681496
2007-02-20,,-38.94434201510303,31.37866284528339,-36.13582729308643,2.030441522881475
2007-02-27,,-35.94530252003252,31.487643980475998,-34.74161957995096,-16.34302840981046
2007-03-06,,-45.18872194350772,27.73657727288532,-18.402749101407228,-30.695911130267824
2007-03-13,,-42.98360470871262,29.374385668600226,-12.618873445501098,-27.659367911956014
2007-03-20,,-30.184910327767472,35.9475549178218,-26.744265080713678,-37.93679189028026
2007-03-27,,-28.5961357045526,35.66593060263946,-30.191157085944734,-12.118845027200447
2007-04-03,,-27.465162339958972,38.25566623648976,-30.388098201562133,-9.943640392875707
2007-04-10,,-15.888850597645693,39.90154983568064,-32.933975778096105,7.836715130212494
2007-04-17,,-14.50309746095454,37.26379301622924,-35.80043953048604,5.50082525273365
2007-04-24,,1.991197674609561,36.776834601742486,-37.96994875409182,0.44677111952674436
2007-05-01,,8.452571561048766,36.44861402173867,-47.68819586376435,20.24803376531618
2007-05-08,,16.348736595334596,35.78956322415429,-45.671746611419344,33.608310900952816
2007-05-15,,29.034034389654682,39.489722223395404,-49.127876661407576,42.300777232883036
2007-05-22,,26.804896763392858,31.4248253744912,-51.33029644856034,51.71932220222208
2007-05-29,,33.888368357649576,32.41907504991327,-50.23350718387202,57.59511306398028
2007-06-05,,25.810677666980652,28.70973444740123,-45.01843951581815,58.63665931330958
2007-06-12,,24.940324873971303,9.036736699840276,-36.96062354808531,33.636870739428716
2007-06-19,,23.6974575818468,10.988981091008027,-44.50614835382785,55.12161568297763
2007-06-26,,42.320863031620185,19.838166760018055,-48.58202833388684,40.06639319998308
2007-07-03,,40.04261710972159,25.833333333333332,-42.17055117483805,47.434691137447274
2007-07-10,,43.8431613146116,33.69412627305811,-34.00773570003715,51.09983787458815
2007-07-17,,46.59651080905117,36.51333185678707,-46.42368945470116,55.56932397081096
2007-07-24,,51.50615295568362,37.59439456818776,-37.93704267061043,45.82723705246839
