,IDR,PHP,THB,SGD,BRL,MXN,CNH,CLP,PLN,HUF
2022-03-03,,7388.08984375,1696.0799560546875,3253.64990234375,115166.0,53528.01171875,3481.110107421875,26.469999313354492,17.170000076293945,11000.0
2022-03-04,6928.328125,7342.009765625,1671.719970703125,3226.780029296875,114474.0,53322.05078125,3447.64990234375,26.959999084472656,16.149999618530273,10415.0
2022-03-07,6869.06591796875,7288.06982421875,1626.699951171875,3187.820068359375,111593.0,52312.609375,3372.860107421875,26.06999969482422,15.369999885559082,10015.0
2022-03-08,6814.18310546875,6977.72998046875,1619.0999755859375,3148.860107421875,111203.0,53288.23046875,3293.530029296875,26.219999313354492,16.219999313354492,11000.0
2022-03-09,6864.44091796875,6989.8798828125,1643.6400146484375,3195.3798828125,113900.0,53911.76171875,3256.389892578125,26.860000610351562,17.34000015258789,11980.0
2022-03-10,6924.0078125,7124.7998046875,1647.0799560546875,3240.72998046875,113663.0,53387.62109375,3296.090087890625,26.760000228881836,16.989999771118164,11540.0
2022-03-11,6922.60205078125,7112.18994140625,1658.010009765625,3249.659912109375,111713.0,53300.69921875,3309.75,26.290000915527344,17.1200008392334,12045.0
2022-03-14,6952.2041015625,6816.9501953125,1660.1500244140625,3232.030029296875,109928.0,52807.62109375,3223.530029296875,25.959999084472656,17.030000686645508,
2022-03-15,6918.18505859375,7019.919921875,1644.3599853515625,3236.0400390625,108959.0,53010.01171875,3063.969970703125,26.440000534057617,17.649999618530273,
2022-03-16,6992.39501953125,7026.4501953125,1667.9200439453125,3290.89990234375,111112.0,53411.87890625,3170.7099609375,27.489999771118164,18.420000076293945,12660.0
2022-03-17,6964.384765625,7122.4501953125,1681.760009765625,3322.7099609375,113076.0,54364.51171875,3215.0400390625,27.920000076293945,18.969999313354492,12805.0
2022-03-18,6954.96484375,7007.6298828125,1678.510009765625,3330.6298828125,115311.0,55467.05859375,3251.070068359375,28.149999618530273,18.6200008392334,12660.0
