date,BRL,CAD,EUR,JPY,MXN
2005-01-04,,13.597917106466822,7.84115134817375,14.57624943863476,43.95870064647112
2005-01-11,,14.163206871868288,11.25360781722711,14.66936021943806,46.46818109518921
2005-01-18,,7.107320540156361,7.529184800358497,4.6046672004394855,59.07371095583971
2005-01-25,,3.3646163601775525,0.5853524690746401,0.5697303029929338,50.48633626679018
2005-02-01,,1.6479235384255773,1.489822769135516,0.2387434554973822,59.51264993448241
2005-02-08,,-8.908914963106326,-0.41410449083523104,-9.186638551738325,62.75504656978219
2005-02-15,,-6.365751847231552,-0.1653941443722111,-15.588833255475798,63.03832987260789
2005-02-22,,-3.5581988105352593,2.4393644558410776,-16.831728148282753,64.53786676225101
2005-03-01,,-7.1400192380076115,19.664356074425392,-4.6364340530231525,60.86085988318715
2005-03-08,,3.142938066465257,13.35414191214287,-5.719161470173983,51.82837368034957
2005-03-15,,20.888083009162,24.44369989621724,-4.97607833646704,61.96934535803121
2005-03-22,,35.11308490272027,23.636711247838292,-10.933725256051073,50.1808950504682
2005-03-29,,32.87229194635005,15.188043255081787,-26.419470017852767,39.37481412946502
2005-04-05,,31.973051729720307,5.471172836078966,-28.603048522047626,36.10472520384367
2005-04-12,,-10.72851122784737,4.396107613050945,-33.17320683339838,61.52818800565044
2005-04-19,,-21.30752497687929,4.234236513438072,-38.202098087695035,65.90380601131312
2005-04-26,,-28.797604762515,3.1714650830639703,-23.41845116292475,67.19606194735083
2005-05-03,,-35.72224961941723,3.53214798069817,-8.82167493835253,69.95664488217123
2005-05-10,,-31.997559459397234,-1.0381157929416194,-5.945808152403691,70.4508946916209
2005-05-17,,-33.79991724611208,-8.598750478133367,-25.330631850691947,71.94298717497072
2005-05-24,,-33.95949727882024,-9.448950013876468,-21.101281368532025,72.21446550774797
2005-05-31,,-32.98838437170011,-9.611851291904207,-26.381724793428944,73.23735897505941
2005-06-07,,-28.200581827447817,-9.174165105029761,-19.953437856205777,63.91297154202515
2005-06-14,,-27.83642204883916,-14.023090142833713,-36.12059868932578,76.10325704912911
2005-06-21,,0.42297782345143947,-14.92782290307647,-27.17747591715214,75.79227798487796
2005-06-28,,3.193423002712452,-10.232661742304487,-35.06072819735988,72.84195956300361
2005-07-05,,5.83383280532009,-16.697099892588614,-33.34206507919268,74.70724875969066
2005-07-12,,25.379827833258588,-5.594285958684402,-38.706668548530615,74.04129793510324
2005-07-19,,28.299819187989698,-8.297681961804098,-35.007142984166876,74.20039940406377
2005-07-26,,19.304045045342853,-5.729875332389405,-29.666985479523518,75.82147050946622
2005-08-02,,13.837508247446136,-0.1330139142303996,-26.107659077570926,76.39142645354603
