date,stack,A_total,B_total,D_total,A_spot,A_carry,B_spot,B_carry,D_spot,D_carry
2014-01-03,-0.0003193658899502078,-0.0006387317799004156,0.0,0.0,-0.0009509330493503573,0.0006315671594001494,0.0,0.0,0.0,0.0
2014-01-10,0.008923383628861855,0.008541043439280489,0.01861144763688644,0.0,0.0038554972549023803,0.0004150244647378644,0.004523635124607152,0.00012922678461445774,0.0,0.0
2014-01-17,-0.00033843770378968964,0.0003778693238528997,-0.002109489462864558,0.0,-0.00010986133032413725,0.00029879599225058706,-0.0005808830491734592,5.3510683457319644e-05,0.0,0.0
2014-01-24,-0.0016809968952539577,0.0005227707699469596,-0.00776952912090975,0.0,0.00010369513586850543,0.00015769024910497438,-0.0020113410454658887,6.895876523845122e-05,0.0,0.0
2014-01-31,0.002861088580858746,0.004618869330428316,0.0022066156625783514,0.0,0.0021432051451011768,0.00016622952011298133,0.00043075894766096906,0.00012089496798361881,0.0,0.0
2014-02-07,-0.004011265149906845,-0.0073908783933423405,-0.0012633038129426966,0.0,-0.0037772240746629703,8.17848779918e-05,-0.00040366004608502736,8.783409284935325e-05,0.0,0.0
2014-02-14,0.0011493874790681872,0.0006322328889921599,0.003333084138288429,0.0,0.00014319374663008576,0.00017292269786599418,0.0007971011475207762,3.6169887051330974e-05,0.0,0.0
2014-02-21,0.0012499977829090229,0.0013028915153709911,0.002394208100894109,0.0,0.00036114519963780303,0.0002903005580476925,0.0005794572076974689,1.9094817526058372e-05,0.0,0.0
2014-02-28,-0.0015502015703720382,-0.0014316354662462574,-0.003337535348995638,0.0,-0.0011038037158851886,0.00038798598276205986,-0.0009249495800779667,9.056574282905712e-05,0.0,0.0
2014-03-07,0.002405841707335561,0.0027904891868967214,0.004042388455548801,0.0,0.0011598271653678943,0.00023541742808046626,0.0008883197896097062,0.000122277324277494,0.0,0.0
