date,CNH,IDR,INR,KRW,PHP,SGD,THB,TWD,BRL,MXN,CLP,PLN,HUF,EUR,JPY,CAD
2014-01-03,0.0,0.0004861184100675754,0.0,0.0,0.0,-6.032415148387139e-05,-0.0006310395390373767,-7.123772530605738e-05,-0.0008596707777503244,0.0,0.0008167878935598469,0.0,0.0,0.0,0.0,0.0
2014-01-10,0.00015988647690903872,0.0029455832010264393,0.00022194658907593936,-6.830600569233841e-05,7.10031774122583e-05,6.112183398763992e-05,1.40777181402702e-05,0.00012499385062748398,0.0007157907004200165,0.001142504750235154,-0.00014037087628253082,6.634749969904945e-05,4.956829252022988e-05,-0.00020684078702161443,-0.00014439105866822027,0.0039104682664730375
2014-01-17,0.00012315789073648274,-0.000535247723904795,-1.755623190913256e-05,-5.886899442763875e-05,-0.00022928729903641607,0.0011859842815232096,9.686178213119124e-05,0.0009919673451819551,0.001105241684567828,-0.0049812575920121505,-0.0002304561779273211,-7.879852320599429e-05,0.0015607309516326678,0.0003720579774565322,4.918564754748789e-05,0.0003078472778564037
2014-01-24,-0.0006005703254932297,0.00025841983656304005,-0.00022279288914287045,-0.0004849001734072219,-8.062845991775364e-05,0.00013698380329347652,2.4870832214527542e-06,0.0001264330984170495,-0.0005670463744158447,-0.00047873449446532174,-0.00018139868633483875,1.1562478155766871e-07,0.0001700236683391907,-0.00042224703978633086,-0.0008238578618641659,0.0014867162949578525
2014-01-31,0.00034364430536032653,0.00023983808390958973,-2.347039206126041e-06,1.311265047158552e-05,5.83246692774207e-05,-0.00025115780626982527,-0.0005251525444196118,-0.00016453483916331716,-4.938044391547018e-05,8.673476319502224e-05,-8.297674518244478e-05,0.002155959247752111,-0.0003494858619597486,0.0006517806849336097,-0.00016391546201957905,0.0009006449180952029
2014-02-07,0.0005900693895620192,-0.0013570973360667157,0.00011497160142183679,0.00012118610268794936,0.0008731620307956367,-0.0017265206595639226,0.0006885078175889191,5.679277137389158e-05,0.0005473117549134639,2.5388145921939037e-05,5.1328310283704756e-05,-0.00207830833727082,0.00013483957810509351,-0.0004367529055969941,9.799697006659571e-05,-0.0017141403841294401
2014-02-14,-5.321343568740174e-05,-0.000442342122874519,7.14709389303392e-05,0.00015032927492659415,0.000774509975421493,-0.0002966731948739863,0.0015807232731186818,-2.043037628841581e-05,0.00018222357021631985,8.358116023816426e-05,0.00015624112295093323,-0.00029225068998729384,2.9622491980256697e-05,-0.00022353993666361999,-0.0001514480451412847,-0.0003994165271980736
2014-02-21,-0.0007459694014828286,0.0002913038975341374,-1.0386253529139043e-05,-0.00012360716894215505,-5.351932751039197e-05,-0.0001593249587615224,-0.0006508619356385562,0.00013618723286610752,0.0008570012468335647,-1.944660915449779e-06,-0.00011867148913374897,-9.206336723942582e-05,-1.5953391418015727e-05,-0.00019109984613789675,0.0003532702129971518,0.0017756369933871912
2014-02-28,-8.430195010850715e-05,-0.0005907338881905446,0.0005966911257871578,6.020268633779262e-05,-4.7104000563487965e-05,1.7518017384787258e-05,-0.00022498715850147595,-8.140738112270826e-05,0.00096936258943596,8.411377457939131e-05,-0.0005844800633548257,-0.00010972301281961632,-0.00032609530781806573,-0.0002169978657310681,-0.00027454747503208874,-0.0007377116606547389
2014-03-07,2.841242829957286e-05,7.554475438479124e-05,0.0010357565920928215,3.584814516649012e-05,0.0005927485523880465,-1.9711498189456988e-05,9.727016866529235e-05,-8.340375383459203e-05,-1.5940465145833854e-05,0.00013985036696249456,-0.000129203864367648,0.00012765741091997425,0.00010411402651540279,-0.00017065289458581743,0.0005581449001712273,2.9406837892795585e-05
2014-03-14,-0.00011434459829271796,8.640712226354929e-05,8.986730771308579e-05,0.00025558590961117036,-9.895744268278013e-05,6.186709859291597e-05,4.614156970975967e-05,0.0002570044228488919,-0.00039645494813472137,-8.357440279837371e-05,-0.0009074796623833434,-6.858171070667877e-05,-9.639895411395471e-05,-0.0002004676736884503,-0.0008223858383160192,0.0001529386115458398
2014-03-21,-9.539151136673771e-05,-0.0003546836270401208,0.0007875647255326202,0.00018375449470328564,0.0005986381047161589,-0.000303576376205645,-4.626868258931695e-05,0.0005539187943076418,0.0012383055514375667,2.6440615377275322e-05,0.0016208901789978188,-3.188762308701465e-05,-0.0001389505418540034,0.00047452270444259747,0.00041304975021864396,0.0012977047909096472
2014-03-28,6.082949144892917e-05,5.807068080892421e-05,0.001389127445572956,-0.00012830118028964965,-0.00034598971976815247,0.00024337536784209423,-3.199716319452133e-05,-0.00014609267079378492,0.0014329959523092025,0.00036228455829784864,0.0011767848632344906,0.0006185152327851209,0.00014132455103275896,9.30067479465565e-05,0.00024556956915784407,-0.0015948438315361501
2014-04-04,0.00012647352689421635,0.00010171577893014785,0.0002885781387604523,-0.0007821388872983842,5.553865882816759e-05,-5.709440506530718e-06,-2.8156541320476795e-06,-0.0007262014484140866,0.0016336354026951266,0.00013970418540572134,-5.198996446549709e-05,-0.000232644778306327,7.395255870985143e-05,0.00019263643361772987,0.00028754166761571563,-0.0011851172472560343
2014-04-11,-2.826197795336738e-05,-0.0002752740894926673,-0.0006451646266653268,-0.00022448222927532374,-0.00020542059783001414,0.00016151347024367683,0.0003049049993165427,-0.00018123397431119706,0.0011713653000651814,-7.318587481304065e-05,7.904894205444894e-05,0.0011704868433213042,0.00016569076168224654,-0.0006484372164915929,-0.0008726095517183928,-0.00027836151601378446
2014-04-18,0.00026903431289377526,9.238667356791689e-05,0.0003796550794363879,1.5378903077093257e-05,-0.00021336934248641692,-6.150256574870335e-05,0.0005866107343437358,0.00042568316515770945,-0.001247270390412807,2.9080783392259858e-05,-0.00014711353172838307,-0.0006665744327107388,-0.0001585151366667811,0.0002291686694590652,0.0003595548816844897,0.0008598897522059765
2014-04-25,-0.0004593707516085636,-0.00014576496949419095,-0.0002920480025686344,-2.8320835684798085e-05,0.0005109002805184142,0.0003137429464669712,-0.0002748962622632216,0.0005270037896529431,0.0003154188155985074,-0.00011488462062320172,-5.0557166700410167e-05,-0.0006075429292568249,-2.5855503998232657e-05,-6.422391642283445e-05,-0.00017797482888507263,4.359755504581808e-05
2014-05-02,4.338470538005323e-05,5.691828624486439e-05,0.0009125268595987367,0.00015826925408852398,-3.438538555074498e-05,-9.467558868733687e-05,-0.0001027160809136023,-0.00023922040996780697,0.0006300252812574292,0.0012527449009666907,4.31282358311461e-06,7.683956618575686e-05,0.00012290585932361653,-9.899973892953265e-05,0.0001047539070469449,-0.0008092365503952257
2014-05-09,0.00018639145200502369,6.113951805659179e-05,0.00024471069044993527,9.842171992331046e-05,-0.0006941042721137871,-0.0001636234552584344,-0.0002538850963169811,-6.96198028467144e-05,7.59510492211201e-05,9.34113459817787e-06,0.00014207642727271183,-3.656043312955926e-05,3.783822637147345e-05,0.00036815410596517645,-0.0002504188542900436,-0.0008520597775885719
2014-05-16,1.2863994407463237e-06,0.0017227244104408746,0.0030602967094880158,2.9027329039789832e-05,0.0003712219895673159,0.00014937836876060282,0.00014667280754395942,6.35210361778437e-05,0.0010776138223397428,9.640073156542616e-05,0.00016328791752634548,-0.00011543811472557812,-8.980451190173341e-05,0.0001765282136208361,-0.00011724835705651117,-0.00032457418500361486
2014-05-23,1.8844358291268397e-05,-0.0036992550520388353,0.0010709054157418516,5.0181320016909474e-06,-0.00021963237585835606,9.588364558995051e-05,-2.3276904845059593e-05,-7.85484950929462e-05,-0.0001334073093003144,8.276230216079663e-05,-9.663138333357281e-05,5.4183015038282244e-05,3.494621791784706e-05,0.00025143709870762587,0.00016797638176154346,-4.7113099216969304e-05
2014-05-30,-6.651387679090086e-05,-4.104407644552937e-05,-0.00011856490339734902,0.00012432092835888448,0.0023058111519342903,-3.974606045234205e-05,-0.00010938012181401761,0.00020589206853718957,-0.0035209031393518345,8.556708424707964e-06,5.9111548597585854e-05,0.00014124718158373549,-8.756998892056081e-06,-5.270911691117339e-05,-3.873276268901715e-05,-0.0003121173079852621
2014-06-06,0.00025982838570084055,0.00017280564625246715,2.016955464040551e-05,0.0006321707772534431,-0.0009264778564629862,8.949949373651987e-05,0.0001454964979325577,-3.6583044756835484e-05,0.00019448983745357177,-3.9355543370706386e-05,3.0149602935198112e-05,0.00014233800820903186,1.0095796563011563e-05,2.3289006226220084e-05,0.0004244300827682891,0.0010306323791276829
2014-06-13,0.0013746219644794504,0.00016818747799199652,-5.982633966860646e-05,-0.0003381248208722739,0.0009288084739665943,7.213718804231943e-05,3.458464897132775e-05,0.0001632569912655336,0.0003773304307076089,-0.0008785016294506962,-0.00010269145826561317,-0.00018253764136932075,-0.0005167306090962574,0.00043848047665656273,-0.00025075861729234724,-0.0009477888069156184
2014-06-20,-0.0007611234116605336,-0.000167830410195671,-9.666276488579915e-05,-3.138478758323463e-05,-1.6126115097359447e-05,4.568779079145778e-05,-2.8196022882817124e-05,-6.697176025954392e-05,0.00028272281652230914,9.56333611641281e-06,-3.418574098379307e-05,-8.578669661049251e-05,4.852114487191737e-05,-0.00018680595466995478,4.105834752292144e-05,-0.0014842164749914925
2014-06-27,0.0012574694021877206,-8.238409785785402e-05,5.8548770266575765e-05,0.0002484956693823633,-0.00048361207260662,8.190943068953829e-05,2.0743111206154413e-06,-0.001281115038673742,0.003069265530167858,4.613743341402547e-05,0.00018392377524793194,7.845273223293199e-05,-4.348884141175763e-05,-0.0002554381342019845,-0.0004029900758977967,-0.0014114044413637526
2014-07-04,0.0003721300071763763,0.001026701919471023,7.109057293123114e-05,0.00014031366455934913,-0.00016971427352926037,3.034098965464183e-05,5.194235629617285e-05,2.0879971893172042e-05,-0.00022218910223815053,5.88700127201484e-05,5.661713153636774e-05,-5.507899747039512e-06,-6.219821532347439e-05,0.00022504758584058408,0.000396707039043084,-0.0008201975091579378
2014-07-11,0.00015217696305531075,0.0005241163942278167,-4.890773366990881e-05,-0.00021633634427534364,-1.3393872675869568e-05,-0.00011789321834568644,0.0003078467734216541,7.85309201974074e-05,-0.00012816370910663402,-2.0798426051109722e-05,-0.00012867236333133993,1.887542916399966e-05,2.4269273110111174e-05,-4.238006846571248e-05,-0.00044031189430250757,0.0013941574625307084
2014-07-18,3.539962461873882e-05,7.513295348946027e-06,-0.00036429130736044177,-8.622184259141564e-05,5.454056086660596e-05,2.4707091236467995e-05,7.380654597713526e-06,0.0002354482193413183,-0.00027367239476235055,0.0003988062846804725,-0.00015592475015852318,-0.0001030049490975046,0.00013781009606508708,0.00039665043276977186,5.50287311945159e-05,0.00033648034529311973
2014-07-25,0.0009055682730103255,4.4288905181296177e-05,0.000671204044973742,-0.0003447654465067279,-0.00043884736545908224,-5.433169785044322e-05,0.00019752535662111953,7.552967141899324e-05,0.0006827435973957394,7.076402260874263e-05,3.2374275168115465e-05,-0.00010577906815200932,-1.602601815728405e-05,0.00034528023928995824,0.0002629147123529028,0.0007062073053809903
2014-08-01,0.0005042542679431223,-0.00020311657109869545,-0.000749287788106719,0.00027882324612829926,-0.00028451621477260564,0.0003636473862500286,-0.00018624236077164182,-9.288380766305816e-05,-0.0004351151905425938,-0.0017447737406320646,-8.95465077726004e-05,-0.00020399807149825856,0.00040508724885524164,1.8951474218423673e-05,0.00040154995905566416,0.0019561849433609112
2014-08-08,0.0018411209808218698,5.647326266086403e-05,-0.0005826698427535665,-0.0002224895231108566,-0.00010539270262059845,0.0007974629470575004,5.178917926340957e-06,4.5577037659303214e-05,-0.0017053660059968608,-6.242534113748818e-05,0.0006087152863491298,-0.0003866062724691139,-0.00014002129780453808,7.96457709764921e-05,-0.00038542733081242604,0.0012993862970344025
