date,LIVE signal blend,PB all 7 equal,"PB 6 (drop CDS, 7ccy only)",PB carry+ESI,PB carry+ESI+real_carry,PB carry+ESI+CA,PB carry+ESI+real_carry+CA,PB carry 50% + rest 50%
2014-01-03,0.0105799402774661,0.004987372028702334,0.0043315810851057976,0.01028884114881803,0.006880578843598737,0.0068592274325453536,0.0051604341326990525,0.008730320568635635
2014-01-10,0.0001473626313788,0.0010768807077640296,0.001256360825724701,0.003260850453418,0.003759877252612183,0.0021739003022786664,0.002819907939459137,0.0038841501541126084
2014-01-17,0.0012230928203244,-0.002069264632556119,-0.0035947175671485043,-0.01100376514004496,-0.0026021720251121604,-0.007335843426696641,-0.0019516290188341203,-0.004589864996544169
2014-01-24,0.0022198693138633,-0.001251696355544487,-0.0014603124148019014,0.002998293107316102,-0.0022760340020992025,0.001998862071544068,-0.0017070255015744018,-6.267939186404767e-05
2014-01-31,-0.0019110644784578,0.00018206782343860363,0.0002124124606783709,-0.004519065715303701,-0.0017197780732735918,-0.003012710476869134,-0.0012898335549551938,-0.0008855496126666505
2014-02-07,0.0007568865263569,-0.0012976969962535591,-0.0015139798289624856,-0.005858092265313458,-0.004323253051233344,-0.0039053948435423054,-0.0032424397884250077,-0.0041970706861006535
2014-02-14,0.0020440509725244,0.0009526893976211509,0.0011114709638913426,-0.00010258211609388205,0.002328959933745361,-6.838807739592137e-05,0.001746719950309021,-0.000808196017148993
2014-02-21,-0.0008588513780329,0.0016250774592220137,0.0018959237024256826,0.0031517847561095217,0.004047880591394076,0.0021011898374063477,0.0030359104435455572,0.0022728290451721122
2014-02-28,0.0067004315995597,0.0005913768446445223,0.0006899396520852761,0.0010875106500938612,0.00022325861235012105,0.0007250071000625742,0.00016744395926259078,-0.0007129165536973276
2014-03-07,-0.0030145686632951,-0.0008724246087747951,-0.0005819647919675926,0.0007093617993157162,-0.0007608708010348638,0.0004729078662104775,-0.0005706531007761479,-0.000791235509284686
2014-03-14,0.0219823408870485,0.00730251423674754,0.00851959994287213,0.015768845812803006,0.01440380950532516,0.010512563875202004,0.01080285712899387,0.015320448132580775
2014-03-21,0.01145638776523,0.004423766423476382,0.005161060827389113,0.00856383954669917,0.008605528563091018,0.005709226364466114,0.006454146422318263,0.006067356881456328
2014-03-28,-0.0003238229380221,0.001706903744708241,0.0019913877021596146,0.001932549196170104,0.003497931453240824,0.0012883661307800693,0.002623448589930618,0.0019714939992982634
2014-04-04,0.0005633958653572,-0.0004007636646790285,-0.00046755760879219993,0.0018613688176430164,0.0022923783465757627,0.0012409125450953443,0.0017192837599318222,-0.0007729674951219401
2014-04-11,-0.0002935334797498,-0.0036544913226930612,-0.0023752388660566903,-0.002659681468470787,-0.0038549332665855293,-0.0017731209789805247,-0.002891199949939147,-0.0018791067302808358
2014-04-18,0.0009881179827395,0.0023087684086219285,0.0018833564440812604,0.0035988908611824383,0.0038679304776980325,0.0023992605741216255,0.0029009478582735244,0.0033226922668281094
2014-04-25,0.0069237717965045,0.0026567743397295017,0.002374678932332508,0.003401858164727092,0.004201832811885145,0.0022679054431513947,0.0031513746089138588,0.002490555684621571
2014-05-02,-0.0028625680055661,-0.0025460780908504177,-0.002617387419874297,-0.003115195831958922,-0.006095979246839858,-0.002076797221305948,-0.004571984435129893,-0.00411555586498975
2014-05-09,0.0063560649846448,0.0024812285939198953,0.0028947666929065446,0.005746628558910769,0.0035402774242486684,0.0038310857059405128,0.002655208068186501,0.006124856458241886
2014-05-16,-0.0026310026448709,0.0006024743347323698,0.0010867503416364642,0.005152272990306823,0.004280065933102996,0.0034348486602045485,0.003210049449827247,0.0023482472033625116
2014-05-23,-0.0011077171681505,-0.0012171014866958019,-0.0018344559421565453,-0.0030926212672113653,-0.001254374957310788,-0.0020617475114742437,-0.0009407812179830911,-0.007677743983445671
2014-05-30,-0.000288779132357,-0.0012132420434430604,-0.0014154490506835705,-0.003195023918866369,-0.002957548475030355,-0.0021300159459109124,-0.0022181613562727662,-0.0011090170700746938
2014-06-06,0.006296022600727,0.000604129668609044,0.0007048179467105514,0.0018813548981979386,0.0009008480204677243,0.0012542365987986256,0.0006756360153507932,0.0033240302691979135
2014-06-13,-0.0010610594952404,0.0005065472169202236,0.0005909717530735943,-0.0004014708163124453,0.001974848224830546,-0.0002676472108749635,0.0014811361686229096,-0.00035315239022683313
2014-06-20,0.0026759420595418,0.0014197501213536617,0.0016563751415792718,0.0017711245602984853,0.0018868560399006341,0.001180749706865657,0.0014151420299254756,0.0025785109742127678
2014-06-27,0.0011984301905336,-0.0012748330841970232,-0.0008400752768344247,0.0019572383070474695,-0.001182964761744452,0.0013048255380316463,-0.0008872235713083389,4.871949474745147e-05
2014-07-04,0.0005139404220115,0.0005477491417205546,0.0006390406653406471,0.0012745863407881673,0.0013450991843146382,0.0008497242271921115,0.0010088243882359787,0.0009974511763054359
2014-07-11,0.0008074745272498,0.0003247254234617574,0.00037884632737205027,0.002750910779951383,0.0017751183368731754,0.0018339405199675888,0.0013313387526548816,0.0008411415977538681
2014-07-18,0.0006943372715718,0.0006884003205790823,0.0008031337073422627,0.00014453796596680083,0.00015756089653122472,9.635864397786722e-05,0.00011817067239841855,0.0011331480306312916
2014-07-25,0.0011173364350393,0.0015721442188126942,0.0018341682552814765,0.004369589136081962,0.004552200311049939,0.002913059424054641,0.003414150233287454,0.0013383343027341676
2014-08-01,0.0017041964525999,0.0013662934043473206,0.0015940089717385406,0.002666651470676963,0.0031587930000162912,0.0017777676471179753,0.0023690947500122185,0.0009028051042883237
2014-08-08,0.0005533373185428,-0.0001788550677869648,0.0003329087040543298,0.0020283098446059484,0.001562102092929847,0.0013522065630706323,0.0011715765696973853,-0.0008635078057556198
2014-08-15,0.0063595030384623,0.0013230567178051662,0.0013603569320680198,0.0020659101634614603,0.0009187136931789854,0.0013772734423076402,0.000689035269884239,0.00019582577969839206
2014-08-22,0.0028553368241277,0.0018910848276809235,0.0016774404324350733,0.003457092722046867,0.0020482076092984787,0.002304728481364578,0.001536155706973859,0.00135569400862388
2014-08-29,0.0028259820464836,-0.0036811714238229273,-0.0010350513017094185,-0.0013611128227251903,-0.002822905448216668,-0.0009074085484834602,-0.002117179086162501,-0.001201042315909174
2014-09-05,0.008082273145287,-0.00204238366855323,-0.0023827809466454354,-0.00128461096319367,-0.002727734835138034,-0.0008564073087957801,-0.0020458011263535256,0.0015894418356067138
