date,f1,f2,f3
2010-01-01,-1.3522783210255989,0.9157006002503202,-1.3069677502964474
2010-01-08,-1.4349977676615968,0.8219668423002237,-0.9785153226574754
2010-01-15,-1.4692725795202026,0.667935832684211,-0.9549566360434052
2010-01-22,-1.316501694272597,0.8496204284453402,-0.9992401733429381
2010-01-29,-1.2537964335673337,0.9586516347705281,-1.0016134876598775
2010-02-05,-1.1408445798439333,1.187248622118346,-0.9467898520954324
2010-02-12,-1.1934645698131248,1.2092200906415775,-0.9276669114193008
2010-02-19,-1.1824842131617295,1.2737068331766868,-0.9723582555377315
2010-02-26,-1.2379096247858579,1.1723368938359202,-0.982174383516234
2010-03-05,-1.292396276722306,1.138746819516036,-0.9289114741976789
2010-03-12,-1.355835199778045,0.9459918089637442,-0.8588880160668799
2010-03-19,-1.3205957712672385,1.0137132420264794,-0.7862111779554164
2010-03-26,-1.2518740052734287,1.0971802066890706,-0.8012792927040612
2010-04-02,-1.3307926215374817,0.9788669862421772,-0.7929795934405498
2010-04-09,-1.3698681465334108,0.9679315675929303,-0.7308715288084305
2010-04-16,-1.4034837712018453,0.8673676915852758,-0.6990537636702344
2010-04-23,-1.374799640989417,0.9899411574211454,-0.694004493311895
2010-04-30,-1.3640004841298603,1.0437060428696483,-0.6376513232484854
2010-05-07,-1.0215156541199446,1.5364741373317554,-0.5296458547592601
2010-05-14,-1.070438789652732,1.5898289107995929,-0.49993303788365184
2010-05-21,-0.8918377342435532,1.6523185135134488,-0.5463391085605069
2010-05-28,-0.9196159357670148,1.8141032384664917,-0.6050661917541617
2010-06-04,-0.8119023865509811,1.9469936800025005,-0.6096963762178251
2010-06-11,-0.855777735064287,1.7930562413931432,-0.7403794309783779
2010-06-18,-1.0082496482819723,1.5242400013491575,-0.7848192437023819
2010-06-25,-0.957325801530515,1.5757764425212653,-0.8295201078175786
2010-07-02,-0.9661334636310375,1.4229507059358377,-1.2033588251798857
2010-07-09,-1.0689151147887352,1.3258036695078212,-1.1442456819640519
2010-07-16,-1.1305817829864857,1.1821335335107641,-1.1276291958029774
2010-07-23,-1.153457856314934,1.2236503538399635,-1.1460835903122484
2010-07-30,-1.2504047864994587,0.9906098942678088,-1.1544410085528873
2010-08-06,-1.369958368746202,0.8152240766825963,-1.023103102459514
2010-08-13,-1.1944258991379249,1.124685135392785,-1.0073396208672856
2010-08-20,-1.1818129214564457,1.0461921419593525,-1.020985382630341
2010-08-27,-1.1824145806586799,0.9910555234204927,-1.0505259194375407
2010-09-03,-1.2711315886982262,0.8318626521336784,-1.0012719150824463
