date,LIVE  2*carry + 1*esi,+ 1*reer_lvl,+ 0.5*reer_lvl,+ 1*reer_mis,+ 0.5*reer_mis,+ 1*cds,+ 0.5*cds,+ 1*reer_lvl + 1*cds,+ 0.5 reer_lvl + 0.5 cds
2015-03-13,-0.004243276391723494,-0.009378399180849427,-0.003983063161911149,0.008132564338701171,-0.0009981749810818504,-0.00364637392875492,-0.003912591375211528,-0.00757846796736174,-0.004026011912927098
2015-03-20,-0.008758056427300273,-0.005781385189143643,-0.007735181737388204,-0.0028351753550014316,-0.017530640332059262,-0.00025097932882681183,-0.005840894145213055,-0.006537836060871169,-0.00788017366922379
2015-03-27,-0.0065074562989955,-0.005477605681009942,-0.00600720201287073,-0.002000412037174639,-0.004869620333476228,-0.009458330633993112,-0.005167123205429288,-0.0039735043278412725,-0.006171750090272988
2015-04-03,0.017032766216017996,0.012627688475256263,0.017696060605333228,0.009990531400807369,0.010711095821042262,0.0180942063276106,0.015187520099136301,0.01521226132436161,0.0184270781661558
2015-04-10,-0.009916021519085823,-0.0037315848832808265,-0.004259261132223206,-0.008818784541048253,-0.009667023468830308,-0.008373403761825512,-0.008885074787158767,-0.007908915062933626,-0.0054521260188551595
2015-04-17,-0.03142272746167828,-0.013235561462840481,-0.016518509920676806,0.006802995179752461,0.003982820316296983,-0.0062174550415663886,-0.02010735528260981,0.0028158070616930084,-0.016820790392126993
2015-04-24,-0.017484477042590277,-0.004601332274664824,-0.02025348683995407,-0.012624924818062768,-0.021963001356037265,-0.009095546561771346,-0.01912814943088661,-0.005982317241084595,-0.020618126299801504
2015-05-01,0.00475069398629971,0.00840169139016651,0.01066628551491572,0.027467246526065754,0.013378495758228009,0.012879932734549413,0.010246273934901068,0.00875007493508911,0.010848114682845859
2015-05-08,0.001159319929162168,-0.0029125740426361986,-0.0007562442761014093,-0.0012814990006130354,-0.0009400680425264754,0.0010040615383816042,-0.0007220571027523633,-0.0028222643855565785,-0.0017315043616901976
2015-05-15,0.0016863930043626676,0.004615781694930333,0.0068622657591589035,-0.007547625523121518,0.001497559041745793,-0.0035987300607348695,0.0018741777757731379,0.005505304517597505,0.008246225980271221
2015-05-22,0.005990619593872917,0.0014541745398232823,0.007268425609902217,-0.003273265705298393,0.007387345800645259,0.005774364442800479,0.006200407589236139,0.003933212891776168,0.005145334828208444
2015-05-29,0.0022685986605493883,0.003494655523875471,0.003509297606686146,-0.0020274047178802605,0.004849351714327058,0.0004670774978765812,-5.2194408475051494e-05,0.004519495685318578,0.001456191949105879
2015-06-05,-0.004679916272514453,-0.004011443978611529,-0.00604721178378558,-0.00048687990626942865,-0.004972731135486612,-0.0064296148407817465,-0.00447022448175804,-0.0055102790246413375,-0.006100898808995106
2015-06-12,-0.000757443213410054,-0.0005185539945018116,-0.0011578589586646755,0.0008027155679725715,-0.002680192341341833,-0.0008227077124869049,-0.000718225060697687,-0.0011543161291907205,-0.001169099393519422
2015-06-19,0.004650110495688961,0.0071424160702848105,0.005792197882038355,0.0027077610072840236,0.0056759604253454245,0.008943741387848241,0.005546184878421548,0.00856012968056709,0.009805439940871685
2015-06-26,0.00578709355632407,0.005936491801600684,0.007121620936143931,0.0024229409153806738,0.0029758969609420456,0.004297175204104321,0.002214582570276832,0.013108011025440694,0.013234496042675516
2015-07-03,-0.0042971516521677555,-0.006154565305026818,-0.0073753132868882585,-0.001076738803871328,-0.005485848847680137,0.00016851135674101844,-0.004085622100148748,-0.0072325301100585665,-0.0072910152345603595
2015-07-10,0.013016230635595209,0.007229111993224935,0.012654100132951937,0.007794136199526298,0.01258232577543263,0.013692474985193227,0.011923822564795402,0.008363079255854574,0.012031688110792225
2015-07-17,0.0016829502451594573,0.0016691267576849785,0.0023834391191723614,0.008041608277109947,0.0021470514190352684,0.001842214956178473,0.001608490320679821,0.004857864617627785,0.0034992750615327195
2015-07-24,0.0016241503843910236,-0.0030348460056477513,-0.004954221524603366,0.0030344150101506346,-0.0014427242449565364,0.001021020491054689,0.0015522298692395502,-0.0019435438416509332,-0.004909514073767243
2015-07-31,0.006358349246130092,0.004643400782732043,0.005557764282763726,0.0009008586308940113,0.006270687848486848,0.005395498535365827,0.004711198089781686,0.00859657224206951,0.005686415869233168
2015-08-07,-0.03301620514137388,-0.03142798611053717,-0.027684397534317205,-0.02967197288146256,-0.04320314792120444,-0.0362444187440921,-0.03161242864902426,-0.030026377795014915,-0.03462776139544575
2015-08-14,0.0037421088741198248,-0.006549589705368731,-0.0005827411326029229,-0.010926920994975688,-0.023721358128732037,0.003956201035680015,0.0036443979819394817,-0.004065046878310686,-0.005348841448334738
2015-08-21,0.00047203125125690464,0.0016094312351628676,0.0010113991180499486,0.0038095373099369108,0.01096663892567846,-0.00396208424148703,-0.0036552390796338098,0.004825670026412447,0.0007027694610932494
2015-08-28,0.006258954095262675,-0.0008050516193292762,-0.0009791804877214217,-0.0016120498899539375,0.0030782222418230783,0.002656922880854103,0.00607486966977235,0.002376764706222257,0.00583482021760484
2015-09-04,-0.013095698934156805,-0.012503555163815626,-0.015174352043333703,-0.013934433102070105,-0.01569960607792002,-0.0062711230344705245,-0.012702598764264933,-0.01077430494643312,-0.012216745715156532
2015-09-11,-0.0019498089132064138,-0.00283615387315836,-0.0027676589757339065,-0.002769736172826487,-0.001953713509889145,-0.0020125051762202163,-0.0018986523769318865,-0.0024483774674408766,-0.002580968489627563
2015-09-18,0.016464563036100565,0.013744365046150689,0.01641930125731541,0.010676105694506825,0.016515371960221865,0.015299892363087137,0.013674291983973939,0.015342035461915909,0.015312407407926082
2015-09-25,-0.009469836546400701,-0.009668990953768455,-0.008805556844883326,-0.012761281493628556,-0.009474549458727619,-0.008451234780915988,-0.009372641052383097,-0.005972921292225679,-0.008265466377729788
2015-10-02,0.019744828427214985,0.055077959411507345,0.017847551923415174,0.026087774670486414,0.01977480214024614,0.021809940557343203,0.016871974299942454,0.06582533042717623,0.016790092595398667
2015-10-09,-0.005207276007780035,-0.002389569278874399,-0.003952723367118229,-0.00448699657842372,-0.005200124095741085,-0.005685632300108881,-0.00524802164385989,-0.0025878186757284224,-0.0037395412134491237
2015-10-16,0.018250434714245003,0.014058158052121966,0.020510269521766225,0.01375916122039818,0.018242090753606756,0.019879696379571033,0.01840058439887398,0.013448955740746579,0.019416333721623744
2015-10-23,0.004782348309761023,0.002822268626688475,0.004486031361111713,0.0059496001683003695,0.005231026381055362,0.0062635833444107045,0.005594857963279712,0.0021679063586539098,0.004274635799237141
2015-10-30,0.007607509183787199,0.008052712934858488,0.008957884073909728,0.007840925042266992,0.006222112325886584,0.007075054164945928,0.006603949509248125,0.008762275433420737,0.00851897536834422
2015-11-06,0.0016525110144136855,0.0009450777556592486,0.003915408925674208,0.003780633670936797,0.0015504428058572702,0.0029395811636810415,0.0022628383098797743,0.0010275797099267537,0.003022972544960907
2015-11-13,0.0024783669772492334,0.0017257043897522528,0.004116547585894676,-0.00017216451433367844,0.004362668089276197,0.00016829659784168974,0.002491811864254415,0.005228525711218644,0.0019981370011053767
2015-11-20,-0.0022898092779223807,-0.002326477148992895,-0.003689219588441922,-0.0015580695410873336,-0.002305034368654251,-0.0013797619203180283,-0.002302655151306652,-0.001491906071384071,-0.0033324302790513245
2015-11-27,0.0031816470006957396,0.0037863036254273887,0.004380011756904169,0.00040006536770980305,0.0008674504854133984,0.0008272359727640584,0.0007730568049370553,0.004964858191160623,0.005361270866498047
2015-12-04,-0.00510414894223499,0.0005626324549433812,-0.00029036182196433047,-0.00528931856924953,-0.0046303606938726425,-0.006554060512073354,-0.006130156831594338,-0.00017739924827610534,-0.0002489021294024572
2015-12-11,0.0014166516938106965,-0.00017457902620504273,0.0003485387910884353,-0.0025609790597054876,-0.0015520983370349657,0.0031225331025262534,0.002931989041201996,0.0008060727189835829,0.0012094963053612842
2015-12-18,0.009710354878063831,0.004469370025413626,0.007116319616222925,0.008551529959149718,0.007476675292552927,0.009268050486483971,0.011106227849925238,0.004469160710751117,0.006957779664792416
2015-12-25,0.002125075381455861,-9.704465733449342e-05,0.0008751090179253306,0.002989237430057111,0.0026178500291796545,0.0032746122281269853,0.00213400677940435,-0.00010282724353078215,0.0008205946102166058
2016-01-01,0.0073080196811468505,0.0035510639714628153,0.005635818281273327,0.005000434150410644,0.004380841257720225,0.005931368834929677,0.0052533638952751,0.0036073239569012886,0.005068717476348746
2016-01-08,0.0011035419755042195,0.00022142641035819406,-0.00026522121823971726,0.0006286893416447158,0.0016205027596631395,-0.00027833184028023487,-0.0002586844312164834,0.00023479003342411538,-0.0002489816918710968
2016-01-15,-0.002475713365087638,-0.0009699501688983683,-0.0024806531512727176,-0.004537450812361583,-0.00249872032071206,-0.002664124146563975,-0.00250717684755299,-0.0010281151464731242,-0.0023256462742777496
2016-01-22,-0.007200978941771862,-0.0027074701563922217,-0.0042842941592299314,-0.001936114013048603,-0.008343938479889316,-0.004531408456697159,-0.004267180770503903,-0.0017656136905158458,-0.004013045822383151
2016-01-29,0.007730103303371225,0.0018123345721801469,0.00285882204905044,0.004257520046783346,-0.0009035584174408144,0.0030283897564809944,0.002852553800014426,0.0019198995922415898,0.0026847579420711263
2016-02-05,0.0026938088839031254,0.010064480230044677,0.009631410106974634,0.007697791243235104,0.0007228783899886839,0.0105019957992403,0.009655882174608305,0.007227108310985773,0.009118392995347203
2016-02-12,0.007508293962670719,-0.0007220586673166236,-0.0011346068839853986,0.008993242266558428,0.006778189171037807,0.008439630403364012,0.007765340883382946,-0.006221304959053888,-0.001073909478857159
2016-02-19,0.0021542997607252317,0.003141674881178925,0.0030273694039257494,0.005992030068942695,0.004430778329539231,0.0028186615500344365,0.001892760177787064,0.00435426707842135,0.002862830500037033
2016-02-26,-0.005770227166814664,0.0018253140192258583,0.001590643388730619,-0.0009899952432303421,-0.004318787667707101,-0.0009313860838431604,-0.005968777038065113,0.002920414046530882,0.0015038709312383263
2016-03-04,-0.002105815009502781,0.00046592800293735365,8.860619307683029e-05,0.0008668163025591857,-0.0022035824602330157,9.46895468567055e-05,-0.0021773699553929533,0.000547817900491039,8.373433164951157e-05
2016-03-11,-0.0037841193229639727,-0.0026389811913181743,-0.004051063900192397,-0.0034585347213776183,-0.002091472526652081,-0.005343874034082224,-0.0028627796083266583,-0.0024859992826858092,-0.0038205084104248996
2016-03-18,-0.0012462344272854006,-0.00010891655621606402,-0.00017197837902802553,-0.0011011441844977292,9.269065977733188e-05,-0.0009357773202731354,-0.001302650595995568,-0.0008945298515205542,-0.0012579738246383475
2016-03-25,-0.0031052018712131456,-0.002132826528465247,-0.003377112200106543,-0.001831739242148805,-0.0005741706289045771,-0.000529128638534209,-0.0032408876191098884,-0.0020014813697341103,-0.003135663250969998
2016-04-01,-0.0012607694511295078,-7.873193650569254e-06,-0.0013512241091363933,-0.004507102526040057,-0.001646539500701424,-0.0012161048807308528,-0.0013152240815754682,-0.0017486752172823136,-0.00127310133200567
2016-04-08,0.0013966222236062623,0.002200506860758698,0.0035128126530155927,0.0072100794740045295,0.0046819675301848045,0.0037347757469546124,0.0034100604494539674,0.002323652112240052,0.0033058879750479213
2016-04-15,0.005323731151463367,0.0014208779770276082,0.0043682276942398745,0.003716362749513496,0.005006215832140518,0.003141423695332483,0.005553934278651043,0.0015058525364826797,0.004113865923487811
2016-04-22,-0.010496785288296904,-0.0006615776052494833,-0.0006656022977767418,-0.0052829038977427025,-0.006585756298661104,-0.003609538849744929,-0.007064040909941969,-0.0006928294660688574,-0.0006254463271227233
2016-04-29,0.011463323437873131,0.0048086075262289175,0.01776655582655884,0.003944596660525798,0.01001550598475948,0.005470190288871464,0.012507015218676707,0.007133951777209733,0.008179290529473077
2016-05-06,0.0016997477764798962,0.0035270399028633228,0.00178469121938318,0.005005613812006945,0.005417087557937591,0.006295265671308222,0.0017666158475997576,0.003983223737844578,0.001738923015705301
2016-05-13,0.0,-0.0014373526165650788,0.0029308185558841737,0.0035210618102527987,0.005184309616327786,0.004514706400659756,0.0034928612956324247,-0.0010037924298828768,-0.001820882505870247
2016-05-20,0.0,0.0009855108040817124,0.0077583401017821295,0.001666145596931014,0.007063044950365698,0.0017712582763171716,0.007658301803375853,0.0007374592287473029,0.0016218999011673309
2016-05-27,-0.01246831665901549,-0.009682850258121177,-0.0065757793198551046,-0.013426414011564353,-0.018069093875970922,-0.011130777559987447,-0.00826193754897238,-0.0042956456105802225,-0.0064449050199644345
2016-06-03,0.0012223605294585924,0.0007240235803755794,-0.0012085788004527914,0.0005396150460541235,-0.00033072618150136693,0.0007820975062460691,0.00140379056043831,0.000879354749921823,0.0006814478359865104
2016-06-10,0.0035721353558562374,0.0051145216811390925,0.005439406224391791,0.0040802656965213,0.003290862822453196,0.004591194227622199,0.004798074194714044,0.004010463224265473,0.006325401257501173
2016-06-17,0.002805959398302083,0.0015627546783966515,0.0022204468046226914,0.004095247838312655,0.002584969089615064,0.0036487355224041635,0.0029477371142833417,0.0021157934188280932,0.002941634801154507
2016-06-24,0.011413972709674923,0.006284621982293162,0.010180536761558202,0.0036497237221823978,0.007919866621582906,0.016441290662379756,0.01359927712489184,0.007722569498328968,0.010012313916052042
2016-07-01,0.0006732185683870703,0.001194598248046444,0.0010514527495835123,0.00010755980680918441,0.0006594353832131746,0.0012701351631209318,0.0011954696085114077,0.0006498878643528505,0.0010168412522062712
2016-07-08,-0.0028802231925774482,-0.00176533474949246,-0.0029595385061710012,-0.004163186480430215,-0.002675763148789445,-0.0021820371533444066,-0.002060499866337157,-0.002125237037572496,-0.0029318987408509423
2016-07-15,0.008461705521473505,0.0042563415714834294,0.006918275694174298,0.010592157237683687,0.008206928573089741,0.0021029002410528764,0.0019853992600940267,0.006187988984467112,0.0068577677367294455
2016-07-22,0.005411029718301951,0.00470395207478009,0.007616963349917342,0.001739082686668248,0.0013521026732135183,0.004167743513118298,0.006145581129932589,0.00274685323422394,0.005564175916612742
2016-07-29,-0.0014904077141636547,0.0006387710869775403,-0.0016315126470044352,-0.007214498813684669,-0.006017398337695639,0.003921846362007405,0.0011273035016943263,-0.0004028636991207638,0.001026827539167449
2016-08-05,-0.0017326568820165008,-0.0009387306588035917,0.00040366179636528533,-0.0010483355364384896,-1.242491840637245e-05,-0.0015826313736490264,-0.001787537509086823,-0.001293763499535037,-8.259878979588035e-05
