date,CNH,IDR,INR,KRW,MYR,PHP,SGD,THB,TWD
2014-01-03,0.9680761167248656,-1.0483678557115732,1.8941956141501746,0.8639267833495365,-0.8283131937108396,-0.260279973784869,-0.5936548554022938,-0.6151371071280191,-0.3804455284869818
2014-01-10,0.99816643265375,-1.1070240148237205,1.9033685325161396,0.8001183680754577,-0.7988513971675706,-0.31720702866210815,-0.5718310366827102,-0.5553270860561634,-0.3514127698530741
2014-01-17,1.085614563180204,-1.0832850888663392,1.8909711260186441,0.7250755353384122,-0.7835353054479661,-0.32222487450460546,-0.5763467861498708,-0.5593460809883527,-0.3769230885801262
2014-01-24,1.2256457362798754,-1.262417007467437,1.739854516164349,0.6891936581336786,-0.7038401033126149,-0.3444921916103237,-0.47571252235650263,-0.42952767287657306,-0.4387044129544518
2014-01-31,1.3535789769425266,-1.389186865468364,1.6346010410872653,0.5754169762604567,-0.6671335520523035,-0.35121107813370694,-0.3435576789518484,-0.30413339412464707,-0.5083744255593788
2014-02-07,1.3653557424547211,-1.4640376099529695,1.628431337555018,0.49271954373275156,-0.6591028371641188,-0.43136023485643266,-0.21838433407323735,-0.17168961454430234,-0.5419319931514298
2014-02-14,1.2579374684400844,-1.207885935706387,1.8029866160646657,0.4766362052942113,-0.7338707231287086,-0.5094318350059689,-0.2540029503668824,-0.24012650776884645,-0.5922423378221678
2014-02-21,1.0552208859420176,-0.7941696300611513,1.973417892924963,0.5690366220209495,-0.8218420962937544,-0.5454748405057922,-0.4587627442962798,-0.31417923947173176,-0.6632468502592208
2014-02-28,0.33435023109147516,-0.22441195231579378,2.091789814295617,0.6222257350202587,-0.7566172011729994,-0.5059672831384127,-0.4111848946953547,-0.2599328812474608,-0.8902515678373296
2014-03-07,-0.38262546130771186,0.33523394360020714,2.126382665807385,0.46829123356299424,-0.5888265135874714,-0.34288006298482004,-0.47832101388001297,-0.10878930600548907,-1.0284654852050814
2014-03-14,-1.0871527490173987,1.0120339658233852,1.912655720247711,0.27410693376538425,-0.47290616334517943,-0.17112690961230678,-0.39999725143212955,-0.050554909354915446,-1.0170586370745502
2014-03-21,-1.2282760743578989,1.1699517234697592,1.867420730065618,0.17910328322033778,-0.42847653122421087,-0.19125535227951565,-0.5243997649781764,0.010469783973403765,-0.8545377978893168
2014-03-28,-1.278344024369268,1.2578583052780736,1.7875948823792858,0.16003414754187809,-0.4706621870202303,-0.41009245737384975,-0.4859481720233239,0.17573236257760097,-0.7361728569901667
2014-04-04,-1.2814474459808183,1.0206989319511828,1.9523168152077794,0.1531547062475869,-0.4436674065744299,-0.6671310579988239,-0.5103247638249883,0.355190700722039,-0.5787904797495278
2014-04-11,-1.3720988807431531,1.021132160051889,1.8939448584291323,0.06310091634559915,-0.621409280968801,-0.5873423987658015,-0.3557586760720908,0.3951679156736465,-0.4367366139504205
2014-04-18,-1.5089524426531087,0.8740673861211451,1.9291413147059473,0.03318875063127602,-0.7384855235910227,-0.3156805493725668,-0.17345934175770086,0.28888275142711967,-0.3887023455110891
2014-04-25,-1.6302458989076225,0.7070545405053336,1.9649282883332297,0.07078435693205083,-0.7881478562053577,-0.04286933590536568,0.01179555088572491,0.15437498354065396,-0.44767462917864714
2014-05-02,-1.6537899417964042,0.5972053512006659,2.000711625574214,0.21902969631601846,-0.676230881855982,0.027011649442046638,-0.05059806433155476,0.1049346676632592,-0.5682741022122637
2014-05-09,-1.6885272555625974,0.5329193563351661,2.013901633074573,0.3299620278601317,-0.32797928056474596,-0.10861556165992703,-0.1417816713446656,-0.0743782561116309,-0.5355009920263036
2014-05-16,-1.6319868522881738,0.6929468909832193,1.923867126625175,0.4110099268404941,-0.008584694044740493,-0.2140016920496001,-0.23378244937503598,-0.3237017369472035,-0.6157665197441347
2014-05-23,-1.4104743190509132,0.5358379844164514,1.9763773787465482,0.6096001675909598,0.14705923325140427,-0.3119637221535756,-0.26836097622615135,-0.5653931166296178,-0.7126826299451059
2014-05-30,-0.9965923516533799,0.14235495043085078,1.9352426883112992,0.96913707455827,0.05281623323914514,-0.28983884707169055,-0.2568522814027659,-0.718055460726847,-0.838212005684882
2014-06-06,-0.5863355601737438,-0.5138765287558965,1.9454124433191033,1.3028497983999598,0.024858212573102056,-0.31934681416872585,-0.2287115333687987,-0.7581618084509091,-0.8666882093740916
2014-06-13,-0.3978002846885475,-0.7909362473091052,1.9241244874992276,1.3524533836111992,0.1460583222249907,-0.28352357041665277,-0.2888874556972461,-0.7892880497327264,-0.8722005854911395
2014-06-20,-0.4347389267007966,-0.823809823730539,1.9405954616813041,1.2805754124174193,0.2989833299907099,-0.2594362527004828,-0.36966856487618377,-0.7878804343195117,-0.8446202017619197
2014-06-27,-0.5288518305918735,-0.931391093347869,1.8733177665737746,1.2851554539092553,0.4201841615401123,-0.207279810400554,-0.43224304288100407,-0.6677458206749955,-0.8111457841268462
2014-07-04,-0.33377637419803147,-1.363285939420983,1.70774796602859,1.1263982818549625,0.4323874376254326,-0.02591330330114912,-0.44014811040019625,-0.3660811056462112,-0.7373288525424139
2014-07-11,0.03271760355197062,-1.6736121612081798,1.647613596779987,0.9228355380626888,0.37766276465995813,0.1696200225686463,-0.5475245858601093,-0.2747960006740355,-0.6545167778809263
2014-07-18,0.3091445255431931,-1.7904593303350254,1.2430644330636944,0.6553123527154221,0.4395098724507216,0.7292862270544896,-0.4200887063718149,-0.3810901350112907,-0.7846792391093902
2014-07-25,0.38917363352806716,-1.3979121284107185,1.0475122178919882,0.3094155593710503,0.7103357000853627,1.0567301886689362,-0.4687293831945583,-0.5629367476717722,-1.0835890402683555
2014-08-01,0.5990570889540312,-1.1364406616927643,0.5412703454473045,-0.28770287635189645,0.8502286233053988,1.3890583843927347,-0.38152433003458364,-0.24114840438878812,-1.3327981696314368
2014-08-08,1.1355943942860847,-0.918413780611318,0.6230345354680925,-0.7709836481425224,0.5645516845301274,0.6199966751121567,-0.4081139537559853,0.39904172756646733,-1.2447076344531027
2014-08-15,1.689046558486842,-0.9478387522198282,0.3412825217772583,-0.8669473220889238,0.3959472791812737,-0.07467202310418546,-0.345930352246492,0.7588299020983106,-0.9497178118842551
2014-08-22,1.788496517727855,-0.625949602874332,0.7406145734189892,-0.6798593531987206,0.2558090831517496,-0.8429630648709446,-0.4405557897689123,0.7849717230581295,-0.9805640866438136
2014-08-29,1.4950419276327969,0.06766971984125396,0.8500670403455889,-0.609698040115984,0.35496632989136917,-0.9742857766973275,-0.7591286306550673,0.6760090014976439,-1.100641571740274
2014-09-05,1.157793122036944,0.6926088814830035,1.3450109819441325,-0.6385675561310079,0.1121617760866145,-0.9736913559357566,-0.9593491548994063,0.42558643974510374,-1.1615531343296273
2014-09-12,1.3216699451783205,0.7654441463265558,1.1596940760360557,-0.7148659837913729,0.08483239317893147,-0.9375969197087404,-0.9916115848804253,0.39752815228657995,-1.085094224625905
2014-09-19,1.6691995361035137,0.4058921394189378,1.1869985485157508,-0.840324111578334,0.02836970548371623,-0.7615705504761211,-0.8604945805468892,0.1800710022598767,-1.0081416891804516
2014-09-26,2.0375364537300213,0.08498896890675511,0.9336972584700677,-0.9292988018721667,-0.006398019350765033,-0.7279835097594676,-0.6278006362278006,0.21206019615769744,-0.9768019100543414
2014-10-03,1.9984306928958804,0.3167028346688609,0.8349607332232319,-1.222694758138805,-0.20207955798291422,-0.612959013535667,-0.3613621089195203,0.07060741959719771,-0.8216062418082645
2014-10-10,1.8936816124843574,0.2857135702966784,0.8997784203365743,-1.4774115709674691,-0.3233645540143629,-0.441358276083726,-0.23666960358520953,0.058622577146948324,-0.6589921756137903
