date,1W weekly roll,1M point-to-point,hybrid core->1M / new->1W
2019-07-01,0.0,0.0,0.0
2019-07-02,0.0,0.0,0.0
2019-07-03,0.0,0.0,0.0
2019-07-04,0.0,0.0,0.0
2019-07-05,0.0,0.0,0.0
2019-07-08,0.0016511551094810697,0.0014511495191781654,0.001653478058230697
2019-07-09,0.0002939861802350124,0.00026643664234828117,0.00029030956944171805
2019-07-10,-0.0007029391825161938,-0.0006038089763351448,-0.0007110228445945461
2019-07-11,0.0012524196463400904,0.001103081546612459,0.0012529799278922615
2019-07-12,0.003195264335719264,0.0027990481072872058,0.003204413240356887
2019-07-15,0.002344396629663145,0.0016472178254855468,0.0021403921473906605
2019-07-16,-0.00029114096692166823,-0.00014755427679469954,-0.00021490037905970885
2019-07-17,-0.00017208583314488326,0.0006259621327900288,-4.490464286804279e-06
2019-07-18,-0.0006796975918010166,-0.0003200265697025305,-0.0006262811472090064
2019-07-19,-0.0013859030070582853,-0.0020151858557855996,-0.001451540860396385
2019-07-22,-1.2927174138878442e-05,0.0007207643212909412,7.192729589473447e-05
2019-07-23,0.0025800968312246503,0.002850415248502948,0.0027266804776467472
2019-07-24,0.00047091173065826736,0.0002562024417882561,0.0005325566947123254
2019-07-25,0.00036783267449534425,0.0008753320744328974,0.00046661341814735886
2019-07-26,0.0033509335194334957,0.00319614437543239,0.003446747080970583
2019-07-29,0.0009635269526505361,0.00032992382638806543,0.0009478282533764157
2019-07-30,-7.238064930029221e-05,-0.0005204981104642927,-0.00018570694062132535
2019-07-31,-0.00019563635439284722,-0.001151985223186922,-6.430474447027909e-06
2019-08-01,0.0005409333653825979,-6.705568382476048e-05,0.00023009402850545952
2019-08-02,-0.005555792390739683,-0.0067090172673735255,-0.005138816437893996
2019-08-05,-0.013212688457216425,-0.011131249380556369,-0.012288488078844894
2019-08-06,-0.0005718300713913525,-0.0004591565589160645,-0.001682863672141359
2019-08-07,0.00041722063390429526,0.00030581129127518894,0.0004715654279906978
2019-08-08,0.0037199907709502566,0.0031233310564628917,0.0026819034312656987
2019-08-09,-0.0006640381533618648,-0.0007453502803015107,-0.00025817500914343403
2019-08-12,-0.00644926888437743,-0.004799564814208147,-0.0060796359453356335
2019-08-13,0.00784727108154786,0.004706698304356881,0.007384406667716394
2019-08-14,-0.00045520151641128555,0.00045970388156243926,-0.0027447862108326984
2019-08-15,0.0034770628406292957,0.001689485698939117,0.0025998544894794326
2019-08-16,0.0015051223408960163,0.0022043736186678994,0.002386764650270068
2019-08-19,-0.0035905803399977673,-0.002931325646512065,-0.004497227458877258
2019-08-20,0.0019337673123578179,0.0019462120534731303,0.0016232789580716972
2019-08-21,0.0003329929807886868,0.0006553040162505875,0.0005213068702269048
2019-08-22,-5.571691551822673e-05,-0.0005231567817552271,-0.0002922864163360283
2019-08-23,0.0024653912215710093,0.0015714671393499743,0.0027671187693704387
2019-08-26,-0.0039034084078707633,-0.0024047956172485495,-0.003960021081430423
2019-08-27,0.0045009694178745115,0.0033125166978215433,0.004449224915950462
2019-08-28,0.001637693869255543,0.0011406466214639876,0.0011656520331627574
2019-08-29,0.0035877538565668413,0.0021073794156044345,0.0032765891242958734
2019-08-30,0.0014145825144655528,0.001624628672037882,0.0011361368031728393
2019-09-02,-0.0013901857952963211,-0.0009702338276220907,-0.0013646937704132967
2019-09-03,0.00029684106692608685,0.00036812507985958446,0.00032717678190443436
2019-09-04,0.0002720250653151417,-0.00021744437522368894,-0.0009352090667043271
2019-09-05,0.00026684918142214976,0.0005753729906331682,-0.00034226187015928936
2019-09-06,0.003683832431602963,0.0034473053602789884,0.0034366142302318576
2019-09-09,7.221995334930424e-05,9.720910746712133e-05,0.00015793872694316315
2019-09-10,0.001889484495619985,0.001586524202982881,0.0013109019471867795
2019-09-11,0.0035867252391604547,0.0035839299650158064,0.0031458390080510005
2019-09-12,0.002465789717147038,0.002551571883556792,0.0029233028201107007
2019-09-13,-0.004084683653319169,-0.0031368005154383104,-0.003531448896318698
2019-09-16,-5.198065346644633e-05,-0.0015579374303284611,-0.001595556811597894
2019-09-17,-7.551111069051738e-05,-0.00013716265947638463,0.00012780542078738696
2019-09-18,0.0012355450071589848,0.001371737706190662,0.0017131210858683655
2019-09-19,-0.0023853426991794144,-0.0023041522334358903,-0.002648956352922951
2019-09-20,0.005811927882636832,0.0031058432397404858,0.005745703234145271
2019-09-23,0.004573100829784637,0.006060152124767651,0.005023241242471773
2019-09-24,-0.0018517816238257717,-0.002680247017898153,-0.002227915589093533
2019-09-25,-0.00016939088984080272,0.0010201151609311432,-0.0003244505259128939
2019-09-26,0.0006077886797088708,0.001538806130479609,0.0006556059550152008
2019-09-27,0.0015346498578563184,0.0016544715119749178,0.00219957278675119
2019-09-30,-0.0014333316994013599,0.00010930466048276991,-0.0023561788261326337
2019-10-01,-0.0028098897506415002,-0.003308835004269183,-0.004503851768940037
2019-10-02,0.00017247826021843005,-0.0030604965267621437,0.00035417534055556403
