col,PC1,PC2,PC3
CNH,0.27505728123144135,-0.011484598300132532,-0.11161043217977164
IDR,0.2686761139975264,0.12046242686091543,-0.19540792499893508
INR,0.23739008814974355,-0.9275190796412873,-0.24171195066030107
KRW,0.3116394892315037,0.1545725542203896,-0.22556910227937846
PHP,0.27599907678237695,-0.005180163410998859,-0.0028895108526848625
SGD,0.35306658357326004,0.12777884284389812,-0.12004228969141321
THB,0.29458015055516196,0.1524255894619561,-0.07723945162143186
TWD,0.26987305465805145,0.22156517220553612,-0.4315100893299261
BRL,0.1668406396763921,-0.023731297193029622,0.4622000526286599
MXN,0.17098046862424507,-0.0966183618466192,0.42414521339978395
CLP,0.24877821651400622,0.004924113371785095,0.3385801810313724
PLN,0.31165923924332717,0.05037559102338125,0.15404961593150257
HUF,0.34950075384745516,-0.00577997363327168,0.31870284397496845
