date,Fundamental,Momentum,Technical
2014-01-03,0.5416895037209668,0.2866995522766519,0.17161094400238125
2014-01-10,0.563786941494971,0.2667125730896835,0.16950048541534563
2014-01-17,0.5735519938215468,0.25437535817657286,0.1720726480018804
2014-01-24,0.569062206996936,0.2564746821099003,0.1744631108931637
2014-01-31,0.5602391755605045,0.2653038369055444,0.17445698753395122
2014-02-07,0.572303123078786,0.25162513924782276,0.17607173767339118
2014-02-14,0.5909529160636157,0.22729317266848215,0.1817539112679022
2014-02-21,0.5839846995160121,0.23195573239514694,0.18405956808884102
2014-02-28,0.5670368307669305,0.23778450403489182,0.19517866519817778
2014-03-07,0.5619830623882808,0.24337116323141972,0.19464577438029945
2014-03-14,0.5768510068553849,0.25507555403113424,0.16807343911348083
2014-03-21,0.572283517627277,0.24889413992216636,0.1788223424505565
2014-03-28,0.5662048973862391,0.25314389237808826,0.18065121023567268
2014-04-04,0.5526492882579106,0.24650200598489835,0.20084870575719121
2014-04-11,0.5597368651851757,0.23941873890855436,0.20084439590626987
2014-04-18,0.5492922638074298,0.25662054483783875,0.19408719135473151
2014-04-25,0.5474426299763194,0.25909070010937535,0.19346666991430522
2014-05-02,0.5378066089488177,0.27260368515344446,0.189589705897738
2014-05-09,0.5331686677981353,0.2774378336848393,0.18939349851702542
2014-05-16,0.5957981686091862,0.3142021367545671,0.08999969463624673
2014-05-23,0.5777820059720861,0.32138675899208563,0.10083123503582841
2014-05-30,0.5604953490376432,0.3142813146832454,0.12522333627911145
2014-06-06,0.5783859029006215,0.3346493033795795,0.086964793719799
2014-06-13,0.5945646145313367,0.32210205213533,0.08333333333333333
2014-06-20,0.5698346313823014,0.3394309863322706,0.09073438228542803
2014-06-27,0.53096482913944,0.3427517582459007,0.1262834126146593
2014-07-04,0.5649955872693206,0.33858666888923805,0.09641774384144121
2014-07-11,0.5820936639118457,0.3345730027548209,0.08333333333333333
2014-07-18,0.3708755918176527,0.37319448099897784,0.2559299271833694
2014-07-25,0.5160280475617657,0.2732382356891451,0.21073371674908936
2014-08-01,0.4273008150208998,0.38314282750695533,0.18955635747214483
2014-08-08,0.515083706527688,0.32402175976926645,0.16089453370304566
2014-08-15,0.5772640266245824,0.2631624692403414,0.1595735041350762
2014-08-22,0.7152867133837951,0.1459838839417842,0.13872940267442074
2014-08-29,0.6621715076071925,0.25449515905947434,0.08333333333333333
2014-09-05,0.8300582241630278,0.08660844250363896,0.08333333333333333
2014-09-12,0.6680790960451978,0.24858757062146886,0.08333333333333333
2014-09-19,0.7071865443425077,0.20948012232415897,0.08333333333333333
2014-09-26,0.6608956602031394,0.2557710064635272,0.08333333333333333
2014-10-03,0.6390436397400187,0.2776230269266481,0.08333333333333333
2014-10-10,0.5718229459105372,0.34484372075612946,0.08333333333333333
2014-10-17,0.5830426356589149,0.3336240310077519,0.08333333333333333
2014-10-24,0.5945402298850576,0.32212643678160924,0.08333333333333333
2014-10-31,0.666874480465503,0.24979218620116372,0.08333333333333333
2014-11-07,0.6430817610062893,0.27358490566037735,0.08333333333333333
2014-11-14,0.6332472748135399,0.28341939185312676,0.08333333333333333
