date,chase best,chase top2,equal all,static LIVE
2015-02-13,0.0030333140873024943,-0.0021903111273175978,-0.0024586809418407837,-0.007413936341937689
2015-02-20,0.003963800381943063,0.008455615848712452,0.00791614640805295,0.012947431315481843
2015-02-27,0.0044797842527067215,0.0018745668520369445,0.00315133427211495,-0.0007306505486328325
2015-03-13,0.02374673573417357,0.015945533551591992,0.008045636256709812,0.008144331369010417
2015-03-20,-0.012459791243713244,-0.00845462730230718,-0.003060361368698128,-0.004449463360901117
2015-03-27,-0.008098914228722404,-0.007295240766951972,-0.00820204744851522,-0.00649156730518154
2015-04-10,0.008662142082049686,0.010722276964063235,0.008880456756463049,0.012782411846076784
2015-04-17,-0.0019219802420727293,-0.0047332942496280846,-0.0047146578299603675,-0.007544608257183439
2015-04-24,-0.007703488888742025,-0.014939744705172328,-0.007798458362846644,-0.02217600052160263
2015-05-08,-0.005469714571584311,-0.006409765035059767,-0.0016538353093860092,0.002692865174880861
2015-05-15,-0.004571773738788912,-0.0039040101027001005,-0.0017575885546155794,0.0027944465038079003
2015-05-22,0.007421083763806406,0.013659124574440497,0.006815719800095846,0.00501147079353522
2015-05-29,0.0001512736955918534,0.0029017721401198883,0.005062210718911415,0.01150783363610575
2015-06-12,-0.007065370201618289,-0.008018886069599905,-0.0024601808453938155,-0.008972401937581522
2015-06-19,-0.002164576700444414,-0.0017789316475994902,-0.00011040907403713136,-0.0013932865947545664
2015-06-26,0.005775760976458645,0.007162988304652933,0.0005946456166679624,0.008550215632847222
2015-07-10,-0.0009298358153807785,-0.002431233925167727,-0.0003792172336348298,-0.003932632034954676
2015-07-17,0.004141155579178552,0.007793159106357342,0.0033802352645603503,0.011445162633536133
2015-07-24,0.006097566442793799,0.0045973263905999,0.006525434905700139,0.003097086338406001
2015-07-31,-0.003425196283131978,-0.0009654560160969791,0.0006595008573669715,0.00149428425093802
2015-08-07,0.01169883688194202,0.009271621896469419,0.00817828811705506,0.01169883688194202
2015-08-14,-0.032732560312400925,-0.01937902831385496,-0.01700146461413402,-0.032732560312400925
2015-08-21,0.0010655142163609878,0.00331671333232433,-0.0015261089954650326,0.0010655142163609878
2015-08-28,0.003151838492205055,0.0018013372663426466,0.0007416282960818242,0.003151838492205055
2015-09-11,0.0021981978777008584,-0.004778836825564281,-0.004287002499280084,-0.01175587152882942
2015-09-18,-0.001766221980974318,-0.002616092790608395,-0.000501542519444394,-0.0034659636002424728
2015-09-25,0.004032039449123659,0.008508895323707103,0.005319803620092614,0.012985751198290547
2015-10-09,-0.01137175179493654,0.002182723611449392,0.009532380161563452,0.015737199017835324
2015-10-16,0.005333931168602665,-0.002258417742053172,-0.0014146467405529346,-0.009850766652709009
2015-10-23,-0.009916538826148097,0.0043802177098757975,0.0032281450469573794,0.018676974245899692
2015-10-30,0.0007721106825341723,0.0016394246091467667,-0.00018453318771350508,0.002506738535759361
2015-11-13,0.0009208593959585732,0.0005072028616734968,0.00020298414475927192,9.354632738842034e-05
2015-11-20,-0.005070553369575417,-0.0005239301765080518,-0.00041638645541438495,0.004022693016559314
2015-11-27,-0.00186577850124488,-0.0025118190872018167,-0.0009828665438642989,-0.0031578596731587534
2015-12-11,0.0023406591437753295,-0.0016242840927543577,-0.0020235682723030203,-0.005589227329284045
2015-12-18,-0.004916901350440015,-0.0015944051162024443,0.0010377927545114124,0.0017280911180351266
2015-12-25,0.0026563607128187883,0.004870482636832462,0.003931814416730298,0.0070846045608461364
2016-01-08,0.00914357859474707,0.0040965704489913145,0.002053107453955308,0.00914357859474707
2016-01-15,-3.831504546037581e-05,0.0013644224219973183,0.0020711082747399668,-3.831504546037581e-05
2016-01-22,-0.0016457506710175918,0.0004989018670855101,0.0003899254353565146,-0.0016457506710175918
2016-01-29,0.001419973900079279,-0.0025043305752881708,0.0007530633385527142,0.001419973900079279
2016-02-12,0.006490366685539032,0.009766791777368878,0.005281751247127296,0.006490366685539032
2016-02-19,0.004316573621820995,0.004182504077398475,0.00017046329254083434,0.004316573621820995
2016-02-26,0.0033668280732922595,0.004671180423188108,0.001192842573657347,0.0033668280732922595
2016-03-11,-0.001905730631205544,0.00021542752425416918,-0.0013823028949184798,-0.001905730631205544
2016-03-18,-0.005240392701087969,-0.0038277962592922323,-0.0034437070966122207,-0.005240392701087969
2016-03-25,5.12850307047241e-05,0.002798101623161034,0.0006432991543552969,5.12850307047241e-05
