,0
2014-01-03,0.004932026815384402
2014-01-10,0.004669537549394051
2014-01-17,-0.00016066316785052527
2014-01-24,-0.0012190618468720963
2014-01-31,0.002378069781423326
2014-02-07,-6.984697986098644e-05
2014-02-14,0.0016653834585013338
2014-02-21,0.0004976616366520966
2014-02-28,0.0005908598835907091
2014-03-07,-1.5256307981409206e-05
2014-03-14,0.00669592930277269
2014-03-21,0.005730996965569025
2014-03-28,0.0009256590268516835
2014-04-04,0.0001964877935308771
2014-04-11,-0.0006077821320655733
2014-04-18,0.0011568370038554927
2014-04-25,0.0010953937782444047
2014-05-02,-0.0007519763687806309
2014-05-09,0.002752499982439593
2014-05-16,-0.0005242649708076135
2014-05-23,-0.00045988060614834795
2014-05-30,-0.0005540738363248671
2014-06-06,0.004380402973333513
2014-06-13,-0.0017494858480704163
2014-06-20,-0.0007593795192333646
2014-06-27,-0.000307217232519123
2014-07-04,0.0009748936763549919
2014-07-11,0.0011711669241041428
2014-07-18,0.0005325965700982197
2014-07-25,0.0022386755982489103
2014-08-01,0.00015619051685070336
2014-08-08,0.00048633127349324845
2014-08-15,0.0028213083448692753
2014-08-22,0.0022750272145660435
2014-08-29,-4.5421372899040555e-05
2014-09-05,0.004210571110265963
2014-09-12,0.0034609557095010342
2014-09-19,9.1486488789441e-05
2014-09-26,-0.00020653195751566726
2014-10-03,0.0016012783919715982
2014-10-10,-0.00035740650198057256
2014-10-17,0.0015601467636925173
2014-10-24,0.004424114773122391
2014-10-31,0.003997833395051277
2014-11-07,0.0009765478985276786
2014-11-14,0.002470852244194426
2014-11-21,-0.0009727178667552702
2014-11-28,0.006955924940637082
2014-12-05,-0.0009403263629079606
2014-12-12,0.004592980475752013
2014-12-19,0.004336978468140342
2014-12-26,0.0011863274003139621
2015-01-02,0.010395416917581328
2015-01-09,0.004394917076732215
2015-01-16,0.001533803221052953
2015-01-23,0.009363696421511645
2015-01-30,0.0013075909755118405
2015-02-06,-0.0015459945521275004
2015-02-13,0.004374286779933799
2015-02-20,-0.0004727373730790147
2015-02-27,0.008207211669485173
2015-03-06,0.0031962884431273363
2015-03-13,-0.0009137604843918535
2015-03-20,-0.004392236692676114
2015-03-27,0.000285975574782279
2015-04-03,0.00747925593366178
2015-04-10,-0.0015416678949452646
2015-04-17,-0.015176129243362039
2015-04-24,-0.007769867120219834
2015-05-01,-0.00021063839486797228
2015-05-08,0.001339499972648473
2015-05-15,-0.0002552259406697193
2015-05-22,0.004407851984044234
2015-05-29,0.0026021798473811007
2015-06-05,-0.0036584360576356156
2015-06-12,-0.0022485151575267477
2015-06-19,0.0036079785953275073
2015-06-26,0.002451986317434461
2015-07-03,0.0002021190937070037
2015-07-10,0.005757270206985949
2015-07-17,0.004175752388474589
2015-07-24,-0.0017664280489684374
2015-07-31,0.0018498665750875177
2015-08-07,-0.012193185857914485
2015-08-14,0.001262253699539707
2015-08-21,-0.0033792784480965975
2015-08-28,0.003656630298223717
2015-09-04,-0.007181034353750704
2015-09-11,0.0009100954900871931
2015-09-18,0.006955359969952774
2015-09-25,-0.004458709844439578
2015-10-02,0.005985160373540706
2015-10-09,0.006685348937496816
2015-10-16,0.0060930412751549305
2015-10-23,0.002502087564239502
2015-10-30,0.0018628366513407442
2015-11-06,0.0027284805798750266
2015-11-13,0.0005801719234473792
2015-11-20,0.0016688729480477263
2015-11-27,0.00019308828699599306
2015-12-04,-0.0012469443015049987
2015-12-11,-0.0007702687322398343
2015-12-18,0.008129206132842574
2015-12-25,0.00025599561716078576
2016-01-01,0.0038807116734121275
2016-01-08,-0.0006808343825224186
2016-01-15,0.0011625239085659165
2016-01-22,-0.003630194633130649
2016-01-29,0.005351709685651375
2016-02-05,-0.0018471322747021215
2016-02-12,0.0023188687045960898
2016-02-19,-0.000295181887475641
2016-02-26,-0.003271024755560738
2016-03-04,0.002373502376807674
2016-03-11,-0.002092418009226354
2016-03-18,-0.0023350224105352906
2016-03-25,0.0002260817162097347
2016-04-01,3.084619880901071e-05
2016-04-08,-0.003056516539901601
2016-04-15,0.0018340611402852195
2016-04-22,-0.004857288249739202
2016-04-29,0.0014257880162430285
2016-05-06,0.0017758782195930805
2016-05-13,1.1636933542458096e-05
2016-05-20,0.0011606373271504076
2016-05-27,-0.005035673497462036
2016-06-03,-0.0002131111299774967
2016-06-10,2.5376851008045848e-05
2016-06-17,0.00043857503171797484
2016-06-24,0.00391401308592953
2016-07-01,0.0026573525754470142
2016-07-08,-0.0005125420560968655
2016-07-15,0.005083405393223728
2016-07-22,0.00459889395519967
2016-07-29,-0.0014937796877404707
2016-08-05,0.0007935070291562921
2016-08-12,-0.0007588807725940133
2016-08-19,-0.0028920119615986825
2016-08-26,0.001381269861501798
2016-09-02,-0.0001990687142200433
2016-09-09,0.0022759876044237707
2016-09-16,-0.0006191114559021894
2016-09-23,0.0022845291402265825
2016-09-30,0.0021777526099197066
2016-10-07,0.006585803048108826
2016-10-14,2.8190826981640922e-05
2016-10-21,0.00237070746890391
2016-10-28,-0.0017949998807738534
2016-11-04,-0.0027184103346925923
2016-11-11,0.00047871060892392694
2016-11-18,-0.0023327381282766298
2016-11-25,0.0017210258416917805
2016-12-02,0.003379460671095959
2016-12-09,0.004248622632937545
2016-12-16,0.004452301639462623
2016-12-23,-0.00038094756727826036
2016-12-30,0.014898334509694643
2017-01-06,-0.004296720632315989
2017-01-13,-0.0010279098359202577
2017-01-20,0.0026181675703430677
2017-01-27,-0.006362230361546381
2017-02-03,0.00249345212416558
2017-02-10,-4.577458145325463e-06
