date,F0 static 50 CAD + 50 G3  [LIVE],F1 lowest-carry 3,F2 highest-beta 3,F4 lowest-corr 3,F3 regime: calm F1 / stress F2,F5 bottom-3 composite (RV),(no funding: long EM vs USD)
2014-01-10,0.019567284757205743,0.0014786816112890271,,,,,0.004677269112853261
2014-01-17,-0.002217827533758739,0.0017518998884522962,,,,,-0.005746893376882542
2014-01-24,-0.008168552586792588,-0.004729767465233034,,,,0.0034701350752435207,-0.009780409135489502
2014-01-31,0.002319941890699917,6.887179604227462e-05,,,,0.0078178723908657,-0.0037699366373325025
2014-02-07,-0.0013281839180377087,0.004104272196125866,,,,-0.015673057824690164,0.007941703175625635
2014-02-14,0.003504262952891187,-0.00741966257362285,,,,-0.0008884968958830343,0.0072296271214568894
2014-02-21,0.002517168604625597,0.00046815491220306594,,,,-0.006864775582940734,-0.0059241672450545705
2014-02-28,-0.0035089427665801406,-0.001484022405932451,,,,-0.0016749651491699228,0.0017197192346328151
2014-03-07,0.004249995355127418,0.005847816149728117,,,,0.005588020882240274,0.0025808967527255425
2014-03-14,-0.00602789950422506,-0.0052685910926763176,,,,-0.0012411374241830205,-0.002435451229061735
2014-03-21,0.006242141182136862,0.006244138427652405,,,,0.007700008583398703,-0.002988452567632809
2014-03-28,0.004176065523421104,0.006544843831485842,,,,0.0017448954959714278,0.009658387057410477
2014-04-04,0.00025886169501689786,0.0024320421094718866,,,,-0.0027795676076202494,0.003234345187899892
2014-04-11,-0.002727007160068206,-0.006996527639024056,,,,-0.00033236106873867815,0.00480199440513435
2014-04-18,0.003142246939397963,0.002713205803077844,,,,-0.0017582994551005391,-0.0029279205746397053
2014-04-25,-0.006061563936450594,-0.0024116814381624978,,,,-0.00030690036202070457,-0.005092615035291075
2014-05-02,0.001486303237304478,0.0035708645227928476,,,,0.002246429818198625,0.004701149693717527
2014-05-09,0.0010884409823467755,8.853450832417998e-05,,,,-0.0072096909415572405,0.004025529438105063
2014-05-16,0.002176035590152785,0.003671251289254339,,,,0.006299328645576976,0.0031734035568106987
2014-05-23,-0.0005319305451936095,-0.0005250189291916141,,,,-0.0031984886109881054,-0.0020034543886468534
2014-05-30,-0.001944796308652986,0.0003785408187746355,,,,0.004867109978753175,-0.00023554388195594803
