date,ccf_bp,trend_4w,vol_z,signal,tot_next
2018-06-01,-32.88083047583245,0.008157878171429545,-0.155378574565609,-1.0,0.002166429867060028
2018-06-08,12.328724367177877,0.011454105052498553,-0.25817209381664513,0.0,-0.0050838137400394025
2018-06-15,-42.498007905880286,0.011367798371965776,-0.44719658668021756,-1.0,-0.01190196178844435
2018-06-22,-75.73165801013931,0.020160738648690835,0.3857432901157301,-1.0,-0.01671772881760863
2018-06-29,-213.41275229923954,0.0330913533251862,1.4785418920259206,-1.0,-0.004285611778456368
2018-07-06,-25.08841398905842,0.03945472189377952,1.3559519131753182,-1.0,-0.007403003772018712
2018-07-13,-56.22889532078995,0.04153459461806652,2.083777176750587,-0.0,-0.011015007981474222
2018-07-20,-138.92427353245282,0.04036577542648101,2.489115478752416,-0.0,-0.004998565163746769
2018-07-27,-45.51432666873574,0.028481784849542224,2.2718132416450474,-0.0,-0.003336409874531342
2018-08-03,-63.289276147302324,0.02733139063792489,2.4429243894430663,-0.0,-0.001473521384494329
2018-08-10,-13.172916483708692,0.021418831327323584,1.6159411035741853,-0.0,8.84038461538462e-05
2018-08-17,-82.16974925067561,0.010265073345849363,1.9582633784831325,-0.0,0.008121483587524478
2018-08-24,18.43411617847795,-0.0028193023284988072,1.7124042616164061,0.0,-0.0045368835076300094
2018-08-31,57.487993014117755,-0.001535559464630909,1.7095141333580945,0.0,-0.00195553305103279
2018-09-07,-0.8791724057080119,-0.0010217785673232171,1.5554651673377178,-0.0,-0.001818964089680693
2018-09-14,-23.89608866475137,0.0013850316762036297,0.8219290806853624,-1.0,0.003437757382315732
2018-09-21,-2.6330417483400805,0.00617885403525853,0.458037145535372,-1.0,-0.004248926702933092
2018-09-28,-63.63649662799694,0.006179051076715458,-0.03596354595003174,-1.0,-0.00280084186845399
2018-10-05,0.0,0.007326359894136658,1.1787103987545515,0.0,-0.0022890241809318985
2018-10-12,-37.649726712408466,0.007793208446926325,0.9227920595906316,-1.0,-0.0020512015547337063
2018-10-19,-40.50925925925994,0.01326157123012961,0.5829826776340247,-1.0,-0.003224237100129634
2018-10-26,-13.114848602764361,0.012036362396556921,0.8295862480717766,-1.0,0.009026167660906187
2018-11-02,21.723493022585885,6.523748258135953e-05,1.4693906101211074,0.0,-0.007208181466294434
2018-11-09,6.198555592394154,0.0046080870756362025,0.6136928000918115,0.0,0.004162785772578376
2018-11-16,-3.3175150369974595,-0.0016815156362912642,0.9881463332125056,-0.0,-0.002620312033102512
2018-11-23,9.945659224239725,-0.002244459934087617,1.2634368561292482,1.0,-0.0015695904047842084
2018-11-30,-9.811560326667445,0.008322644285448932,1.681747887862848,-0.0,0.01079662503360919
2018-12-07,94.7272805917206,-0.009586123752916231,0.7894164294932982,1.0,-0.00283126930851935
2018-12-14,-10.194570662939183,-0.0027050109795108135,0.5157283075698472,-0.0,-0.0012509272106929418
2018-12-21,-12.945454545454089,-0.004236453494228076,-0.04279432509588371,-0.0,0.004406554340096154
2018-12-28,30.802760624773452,-0.010376040546800747,0.4333343183399049,1.0,0.0021425212006694347
2019-01-04,5.5367758480009694,-0.0018904559446302205,-0.096262308418749,1.0,0.016278597777107513
