col,PC1,PC2,PC3
CNH,0.25652186797714105,-0.4604336852435005,0.033526582420344606
IDR,0.3092439708180111,0.07152233539327305,-0.3939108714073578
INR,0.21796301176004532,0.004083350532289721,-0.3084924108577057
KRW,0.3152808507667678,-0.2641701804272769,-0.03880340953278701
PHP,0.22716090827819113,-0.03246269740347632,-0.2477428474651465
SGD,0.34519303566040327,-0.126189447552053,0.16833729796207125
THB,0.2872796698982165,-0.13321677828674142,-0.06679385405974281
TWD,0.2904864714802913,-0.3954992125573386,-0.019912594200967578
BRL,0.22258959895846445,0.4459198527241997,-0.20479784430757966
MXN,0.2625916391990293,0.4503795584155203,-0.14196094507531823
CLP,0.2641692351775373,0.23022709466248067,-0.04916405404510568
PLN,0.29443757410306554,0.15579885767062673,0.5256242229123422
HUF,0.2810749562637661,0.20730368459659426,0.5582759460381574
