,PC1,PC2,PC3
EM basket,0.9703634045081391,0.16103964746627228,0.005130341163163396
DXY,0.7042416673859525,0.0016498533669892306,0.4502216567683075
EM vol chg,0.46586144436544064,0.2863825831893621,-0.09598286547974984
carry L/S,0.1635099659828446,0.5842738191306635,-0.4220947268448048
LATAM-APAC,0.43535423889262437,0.699927251723748,-0.11915598084612686
