,fwd,atm,d25
2014-01-03,-0.001438983167665715,-0.0007342122068833509,-3.503006872892958e-05
2014-01-10,-0.00010492832873516822,-0.002354966653449236,-0.0010109342309171595
2014-01-17,-0.002642259081250396,0.0007440921636827012,0.00019844528205958557
2014-01-24,0.000995939563417408,-0.003805620093265421,-0.0018214341599233237
2014-01-31,0.0012125265577691217,0.0009800489016493403,0.00023648688355261182
2014-02-07,-0.009957177018170284,-0.00197786230147776,-0.00140175747166847
2014-02-14,-0.00028781815543110366,-0.0008933898159028425,-0.0011261457244348255
2014-02-21,-0.0012368797327636924,-0.001981340948509118,-0.0013185202004720841
2014-02-28,0.004346058199378228,0.0016054320033098452,0.0006938166395614134
2014-03-14,0.0073601905575471265,0.003625624886440895,-0.0004186149432580576
2014-03-21,0.005805005918325122,0.0026831154241466685,0.0012159242988027175
2014-03-28,0.0018239088697487734,-0.001336897054885378,-0.0011822084037160035
2014-04-04,-0.004581132813140411,-0.0015508885668187478,-0.0002821062961094166
2014-04-11,0.004339813517491197,0.0002613727276026849,-0.0014946750566076786
2014-04-18,0.0007637909035577994,-9.999353751241223e-05,0.00014075672701980278
2014-04-25,0.005161231539645084,0.0024698426476432167,0.0008945756251182596
2014-05-02,0.0019285323069661183,-0.000991687292313073,-0.0015711699297352175
2014-05-09,0.011169650341074417,0.007211885179662933,0.00427983692442533
2014-05-16,0.0034965558252502155,0.0008201432176002867,-0.001062267671729346
2014-05-23,-0.0018815169019596567,-0.00044335674879807915,-0.00047482317706287747
2014-05-30,0.0020344088559847875,-7.047166500366326e-06,-0.000870817979416459
2014-06-06,-0.0038285160525414128,-0.0028435132030632,-0.0011231740677312653
2014-06-13,-0.0033281628141726177,-0.0026359521518697798,-0.000957764520821917
2014-06-20,0.0032184278968249483,0.0008975311996809354,-0.00031020525402802087
2014-06-27,-0.0014408738565846624,-0.0007558260382287029,-0.000943514180763432
2014-07-04,-0.010621876772539613,-0.00574737291291293,-0.002142440494082355
2014-07-11,-0.002992845453753271,-0.003053698914369104,-0.0013225303210209058
2014-07-18,0.0012636210272113637,-6.437909241984184e-05,-0.00030042053146404923
2014-07-25,0.001786855851072305,0.0032443992938761845,0.0020386374806464886
2014-08-01,-0.0019360675641365511,-0.0019557821226733173,-0.0005576852437851351
2014-08-08,-0.00034931927664316845,-0.0010829076157475737,-0.0011614636153752939
2014-08-15,-0.0008821476952552405,-0.002309788348094371,-0.0009089308644307044
2014-08-22,-0.0013985826824354226,-0.0022344881549847193,-0.0010305752868764808
2014-08-29,0.0019242231606675642,0.0006581021796746961,-0.0002019694833469658
2014-09-05,0.0030259216341530656,0.003094640863734219,0.002352624006336406
2014-09-12,0.0022685404919766733,0.00044237063883352,1.4177621782630234e-05
2014-09-19,0.0019046618713015287,0.0006787313248283044,-0.0006157150726440999
2014-09-26,0.004590510254117318,0.003443590134218938,0.002995358667330973
2014-10-03,0.002198601659430661,0.0006120600742016008,0.00040932621814646357
2014-10-10,-0.003615717191919765,-0.0023805502151233162,-0.0011314719332789383
2014-10-17,-0.001767650294805241,-0.0014727614827171934,-0.0008875977935459581
2014-10-31,0.005895801385982243,0.0035794957329503183,0.0011966878398808306
2014-11-07,0.003948391353372124,0.0016732331377668154,-0.00038678776423085924
2014-11-14,0.00220912988546143,-0.0007742669522352111,-0.001202386761942756
2014-11-21,-0.0015259266183625842,-0.0012025032641588935,-0.0009344028655135509
2014-11-28,0.005182109975068813,0.0022052575730250657,0.000284850588551833
2014-12-05,-0.006671834526408782,-0.00229691794188471,-0.0010642344715243322
2014-12-12,-0.0028532710966954664,-0.002450613408737563,-0.0010192105893511408
2014-12-19,8.30719618479643e-05,-0.0018294990146007883,-0.0009842990757086528
2014-12-26,0.0014837944549988093,-0.00024346751271814467,-0.0006234407397844939
2015-01-02,0.00142559020186751,0.0013570976541763433,0.0012371205922952406
2015-01-09,-0.0014267084312006124,-0.0008548562922161045,-0.0006061903130472785
2015-01-16,-0.0020149771209111026,-0.000717258457596413,0.0005807660612107271
2015-01-23,0.0010797561634294528,0.0012679953418095378,0.0010111342091499308
2015-01-30,0.001227398362393654,-0.0008175690028242073,-0.001006390974939844
2015-02-06,-0.0006757625870902927,-0.0018722043643790635,-0.0011102256139572078
2015-02-13,0.003496879648358132,0.0007405111417434383,6.224981069641022e-06
2015-02-20,0.002813089754524973,0.0005388737083488984,-0.0005324754529970339
2015-02-27,0.0004581197571071477,0.0010948406834311718,0.0008517737548321816
2015-03-06,0.0011744781287685,-5.8664791280376664e-05,-0.000259896149989845
2015-03-13,-0.00332605304679378,0.00022085732766270554,0.0012421388071854052
2015-03-20,-0.001674039867573784,-0.0014048372153875202,-0.001412188613130614
2015-03-27,-0.003034651175058284,-0.0007467521508096666,1.866827691404801e-06
2015-04-03,-0.002620733412893714,-0.0015494129910145792,-0.00047608910197753385
2015-04-10,-0.0006762722113826276,0.000538399977663246,0.0005388268762630301
2015-04-17,-0.0025995990192688887,-0.00032727404138257934,0.0006705501710042724
2015-04-24,-0.0010479610457253478,-0.003000113648302393,-0.0011134480799206248
2015-05-01,0.00011442761028907411,-0.0010039318807127042,-0.0006317045828941821
2015-05-08,-0.002292243960706528,-0.0010213356376918168,-0.0006666037926607775
2015-05-15,0.00036582222688563313,-0.0017887155121146393,-0.0008715669192744977
2015-06-05,-0.003775901623377918,-0.0023668552059577363,-0.0009176783196927527
2015-06-12,-0.005758388175910367,-0.0028165696560848983,-0.001179253310900039
2015-06-19,0.0014660234337215143,0.0010265770440123086,0.0010608847663158632
2015-06-26,0.0007407449390320438,-0.0022303935744581796,-0.0011070639412963394
2015-07-03,0.0017394798344640475,-0.0006934737338625801,-0.0010988622922897039
2015-07-10,0.006512068783133901,0.0037863585810586305,0.0021837191279180305
2015-07-17,0.002358679884632444,0.0026266399013643036,0.0014562882468419757
2015-07-24,0.0024496302992350334,-0.0006569794685053999,-0.0009205886414608143
2015-07-31,0.0005672786503532461,0.00022481205353908933,-0.0010025349195923062
2015-08-07,-0.010536391954525205,0.0007393843215016824,0.0007828430748906777
2015-08-14,-0.0021227458169214035,-0.0002793966886743898,7.835029950955962e-05
2015-08-21,-0.0014347894623091743,-0.0035143737740476917,-0.0018441433729575
2015-08-28,0.001270853217798588,0.0005467769640906362,-0.00016196796958717273
2015-09-04,0.001377942884457057,-0.0008141398616253823,-0.0011693843422564687
2015-09-11,-0.0005477559414276264,-0.0002808837237038603,-0.0007542764286127463
2015-09-18,-0.001062252635120417,-0.0026002329656095078,-0.0008750069844012207
2015-09-25,0.006264986463996197,0.002788443351509297,0.0005780966738075028
2015-10-02,0.004157902407221335,0.007268060450810496,0.005281629301287091
2015-10-23,0.0026201929649002044,-0.00047550432514475234,-9.04955094561627e-05
2015-11-13,0.003727510073319335,0.0010467524521072674,-0.0013858018876308676
2015-12-11,0.00303469215722348,0.0037720045938110674,0.0009864827460413948
2015-12-25,-0.008287555816664365,-0.003339880388806117,-0.0015748267443717527
2016-01-01,0.0010677142111778083,0.003149088598515766,0.001842845080647847
2016-01-08,0.00931975055331369,0.0048083114573428815,0.00019290069633538494
2016-01-22,0.004226796794101712,-0.0005476227272751342,-0.0018253673565603247
2016-01-29,0.005347088387421028,9.75709127498418e-05,-0.001898733332760953
2016-02-05,0.0008904132488679631,-0.0014760875023472223,-0.0009530049672493983
2016-02-12,0.002131076803183124,-0.004023098630150043,-0.002232899726556284
2016-02-19,0.005338805444051894,0.00010942016727515305,-0.0019049807546562714
2016-02-26,-0.003842881692691773,0.006973354193684398,0.005983776275245077
2016-03-04,0.00037522479861733124,-0.0008528741860488279,-0.0005976531249786747
2016-03-11,-0.005134061710533594,-0.0038527817597997067,-0.0019169638678763314
