date,combo_adaptive,combo_equal,blend_l3_l4
2014-01-03,0.0,0.0,-0.0007110486330473
2014-01-10,0.0,0.0,0.00104122096195995
2014-01-17,0.0,0.0,-0.0012492621255365
2014-01-24,0.0,0.0,0.00079668967005115
2014-01-31,0.0,0.0,0.0004820079179952
2014-02-07,0.0,0.0,-0.00647456193899525
2014-02-14,0.0,0.0,-0.0022710883139076
2014-02-21,0.0,0.0,-0.00099400269643995
2014-02-28,0.0,0.0,0.00317904529522925
2014-03-07,0.0,0.0,0.0
2014-03-14,0.0,0.0,0.00736019055754725
2014-03-21,0.0,0.0,0.0061759769324918
2014-03-28,0.0,0.0,0.0018239088697486
2014-04-04,0.0,0.0,-0.0020918039732242
2014-04-11,0.0,0.0,0.0034220014431446
2014-04-18,0.0,0.0,0.000763790903558
2014-04-25,0.0,0.0,0.00516123153964485
2014-05-02,0.0,0.0,0.00110417012772495
2014-05-09,0.0,0.0,0.01116965034107425
2014-05-16,0.0,0.0,0.00349655582525005
2014-05-23,0.0,0.0,-0.0019319785072011
2014-05-30,0.0,0.0,0.001981113207094
2014-06-06,0.0,0.0,-0.0038516953586345
2014-06-13,0.0,0.0,-0.0023323502078788
2014-06-20,0.0,0.0,0.0021824799358606
2014-06-27,0.0,0.0,0.00028291900793365
2014-07-04,0.0,0.0,-0.0106218767725402
2014-07-11,0.0,0.0,-0.0027064192964638
2014-07-18,0.0,0.0,0.00190933979833385
2014-07-25,0.0,0.0,-0.0001873932509016
2014-08-01,0.0,0.0,-0.0002122780729204
2014-08-08,0.0,0.0,-0.0004881999330633
2014-08-15,0.0,0.0,-0.00065636939971285
2014-08-22,0.0,0.0,-0.0010173255347374
2014-08-29,0.0,0.0,0.0016310851473632
2014-09-05,0.0,0.0,0.00290122989468685
2014-09-12,0.0,0.0,0.00236797228141985
2014-09-19,0.0,0.0,0.00172080453137915
2014-09-26,0.0,0.0,0.0026653620970798
2014-10-03,0.0,0.0,0.00168123364217595
2014-10-10,0.0,0.0,-0.00361571719191995
2014-10-17,0.0,0.0,-0.00176765029480495
2014-10-24,0.0,0.0,0.0
2014-10-31,0.0,0.0,0.0058958013859823
2014-11-07,0.0,0.0,0.0037919824461782
2014-11-14,0.0,0.0,0.00142284786905235
2014-11-21,0.0,0.0,-0.00130400918529885
2014-11-28,0.0,0.0,0.00493133299968925
2014-12-05,0.0,0.0,-0.00473763568082725
2014-12-12,0.0,0.0,-0.001441843949923
2014-12-19,0.0,0.0,0.0007112508322538
2014-12-26,0.0,0.0,0.0006780094520234
2015-01-02,0.00982070886719789,0.00933837250690944,0.012477847217913014
2015-01-09,-0.026944820803340923,0.0013809845569241741,-0.03062198941301037
2015-01-16,-0.016964191650183855,0.00990369942499179,-0.01691352631968237
2015-01-23,0.00785967396926354,-0.0139106982871378,0.009253107797861511
2015-01-30,-0.003980578336127797,-0.0003785783517131289,-0.001671074514544437
2015-02-06,-0.00498438469805251,-0.0014502794832537062,-0.00453484277101781
2015-02-13,0.014211308124084915,0.0017356906276139053,0.014867168846743849
2015-02-20,0.001332966452066809,0.008484432599381213,0.003414213299790287
2015-02-27,0.018951275621885942,0.00886764166619188,0.016382868028633903
2015-03-06,0.020040034832599505,0.008773708370786764,0.016416117598516057
2015-03-13,0.005976407371121352,-0.005311954911978502,-0.001488226550049845
2015-03-20,-0.020114815862235236,-0.016532766799548217,-0.01790772542252451
2015-03-27,0.0021817937924644357,0.005152649291987462,-0.0019862709673156616
2015-04-03,0.01709625085189911,0.0030159336398669,0.009304416725427731
2015-04-10,-0.007372924686468925,0.0036625038070225205,-0.005977019296482737
2015-04-17,-0.010033686567363337,0.007292115260518539,-0.009220101184270213
2015-04-24,0.0076270624610310055,0.008413968794293373,0.003590867359323034
2015-05-01,0.01356666292048955,0.007996029321365604,0.008702027798841943
2015-05-08,-0.004868643992544197,0.004432821245092413,-0.0061468109129694595
2015-05-15,0.0023259523482643614,-0.006738776382942764,0.0020757260105989457
2015-05-22,0.01478376722637216,0.010126813455759153,0.009494723918329024
2015-05-29,0.004690191244381035,-0.002220172796519944,0.0029644233315181457
2015-06-05,-0.004744669631139277,-0.00039992731863255356,-0.009136870944883121
2015-06-12,0.002213168539111936,0.0010202625060558045,-0.005133065223403917
2015-06-19,0.0005168274801227906,-0.005784929670948748,0.004966110101668235
2015-06-26,0.0031227067906029905,0.004690523100055331,0.0030937810366556038
2015-07-03,0.009560835290487738,0.005559189949919769,0.00862856135012078
2015-07-10,0.02144093070227286,0.013712794020027104,0.023555029341641488
2015-07-17,0.015138433809962135,0.008403623129761197,0.013381792270415574
