date,Adaptive 3-pillar (A always-in),Adaptive + RR overlay (A),Adaptive (B conviction>0.5),Adaptive (C cost hurdle),Static equal pillars (A),Carry-only benchmark (A)
2014-01-03,-0.0004740324220315516,-8.822130581052009e-05,-0.0004740324220315516,0.0,-7.740978802731612e-05,0.002395848594995423
2014-01-10,0.0002644597436395042,0.0011772980438649278,0.0002644597436395042,0.0,0.0021213384041493533,0.003503366289184447
2014-01-17,-0.0020220475381084726,-0.001059576551071028,-0.0020220475381084726,0.0,-0.0011491809346421084,-0.0038989518940331473
2014-01-24,0.001542601684473835,0.0016384849104766745,0.001312786899495105,0.0,0.000349943027071698,0.0005517474985573024
2014-01-31,-0.0017409954214250042,-0.0034435123475604866,-0.0012945653668485788,0.0,-0.0025302697172956685,0.0002875087503134972
2014-02-07,-0.005484431358234863,-0.008881473491263843,-0.009120639769227733,0.0,-0.00759317892850774,0.0014250352852035587
2014-02-14,-0.005018559894847424,-0.0040288265556801895,-0.00513056925397811,0.0,-0.00509919815467297,-0.004945439463373389
2014-02-21,-0.0019801472601378217,-0.0020834584567976547,-0.003691081622574373,0.0,-0.001712451843146797,0.0005671228499152772
2014-02-28,0.0018095996088025746,-0.001347917119617413,0.0019384403909243901,0.0,9.520228328371684e-05,0.0034595582072383534
2014-03-07,-0.0028043467191561987,-0.0032083748709625156,-0.0031661714992988997,0.0,-0.003657931234270669,-0.00024036839740576476
2014-03-14,0.004886862615272271,0.005357932517643601,0.005594483869656848,0.0,0.00399437625989301,0.005554798539631525
2014-03-21,0.004416184550372555,0.0017005786960990728,0.009849904105195624,0.0,0.003978612036388327,-0.004152448012829777
2014-03-28,0.00542817035861094,0.003565700218723043,0.0017676853255628442,0.0,0.005587117923516004,0.0005163542723626776
2014-04-04,-0.004766825845427298,-0.0038844563844842262,-0.006287797929775654,0.0,-0.0050021267501965385,-0.0064745506228896426
2014-04-11,0.004897987366844413,0.004930096628327354,0.004735971672624759,0.0,0.004862911509537489,0.0032331204851624115
2014-04-18,-0.0006351957676694205,0.0002247237735134811,-0.0008150560677170733,0.0,-0.0007643195390756379,-0.0007838466807475693
2014-04-25,0.003906356156369798,0.0033738987428715652,0.008553354513792128,0.0,0.00427238312255326,0.0010627867913459443
2014-05-02,-0.0049488764204496756,-0.005514799223429379,0.0006401087487876625,0.0,0.0009217247284958327,-0.005870238607360556
2014-05-09,0.00872560764075161,0.008608279917199965,0.019415742654059057,0.0,0.004728068880620914,0.006134878587063644
2014-05-16,-0.0039421190303008105,-0.0036565115575159695,0.0034445180588125787,0.0,-0.002645894044396627,-0.0023118097630653715
2014-05-23,-0.0038045390811012694,-0.0042970672279683065,-0.008641873691473309,0.0,-0.002752665857456827,-0.0034825178432290557
2014-05-30,0.0006080535740468653,0.0012038566649151847,0.0027410313136395042,0.0,-0.0002341526909504795,0.0008169622060044009
2014-06-06,-0.004754117004983095,-0.0043237640526395124,-0.009821319858686266,0.0,-0.003647016188266869,0.0030191075140578675
2014-06-13,-0.0030625378858366034,-0.003852170131937547,-0.005319801986892416,0.0,-0.0016512385524608507,-0.004176997895205486
2014-06-20,0.0017019965021798514,0.0013102198050878864,0.002790131304536586,0.0,0.0008027103192183977,0.00010441673124242798
2014-06-27,0.0017666264496932703,0.0018445726665388036,0.0032443540689037764,0.0,0.0011638327746117908,0.0028000837688309816
2014-07-04,-0.006553709352754737,-0.00583110967831685,-0.011543376642996202,0.0,-0.0035417971628754204,0.0003061819911684623
2014-07-11,-0.003944722932516935,-0.0038700321478770078,-0.004739198532913015,0.0,-0.0022768286484151357,7.687362410328338e-05
2014-07-18,0.0005356111459594461,-0.0001827057051932493,0.002805900869778856,0.0,-0.0010375502380323895,0.003912201858782172
2014-07-25,-0.0022433736470442002,-0.003026052914830469,-0.0020586324540261412,0.0,-0.002005851097990465,-0.0006110878260071361
2014-08-01,-0.0010609965090003118,-0.00339930889980617,-0.003234835285702215,0.0,-0.0027955314861318795,0.0038730359163419294
2014-08-08,5.863973686869558e-05,-5.4940230448815886e-05,0.0010243517739320224,0.0,0.0003491426193602999,0.00024899418733702924
2014-08-15,0.0010988954271004177,0.0008244501448141288,-4.7095320754588616e-05,0.0,-0.0005760271748752308,0.002102239903318197
2014-08-22,-0.0005445169478415313,-0.0006124924915430995,-0.0009851373340805495,0.0,-0.001149896029560301,-0.0017855205917925471
2014-08-29,0.003034808493842184,0.0028869244810711477,0.0023103591554063324,0.0,0.0006951568509199131,0.0030509432149313197
2014-09-05,0.004859099095047283,0.004635245552142204,0.00484136586265351,0.0,0.005969288645149908,0.005109270048629529
2014-09-12,0.0049305854310695025,0.0053184108441905525,0.005174840274167866,0.0,0.004972341362363533,0.005172513848615862
2014-09-19,0.0030869984432517097,0.0032153845368961117,0.003161664373329958,0.0,0.004689346784007813,0.0026312531175640146
2014-09-26,0.0022136456184185223,0.0025731966054533604,0.003842911272609732,0.0,0.003043239001019878,0.001306410765739789
2014-10-03,0.0020596297834573926,0.0020414071571716224,0.002955617282767964,0.0,0.0007296267815629389,0.0029499881653047336
2014-10-10,0.001115417914133985,0.0007922021612629545,-0.0032634779660420305,0.0,-1.7470561493897785e-05,0.0016671856890386372
2014-10-17,0.0011164215401192723,0.0009740834119486186,-0.0013578926913498364,0.0,-0.00048304169935705797,0.0012899457104040464
2014-10-24,0.0035961867367955026,0.0036329792502915815,0.007402214017152641,0.0,0.0026987590461690215,0.004071685889860534
2014-10-31,0.002221573447242578,0.0022631990561857176,0.0077277417179272695,0.0,0.0014880385262913784,0.002656687970931016
2014-11-07,0.004726958860335917,0.004721522387860489,0.008839867707139968,0.0,0.00315899493177121,0.00541832546969254
2014-11-14,0.004366056833440513,0.004342426858245573,0.00354741444584223,0.0,-0.0003572741460365938,0.004738029164297022
2014-11-21,-0.0031077321939249965,-0.003071458075561397,-0.002002128065986087,0.0,-0.0016052836768059076,-0.002704512253490605
2014-11-28,0.0053119247865210835,0.00431486289811748,0.009517725035700407,0.0,0.005262904172234082,0.0068285853160227885
2014-12-05,-0.007203954193209496,-0.007451308713012866,-0.011061800550579681,0.0,-0.008123755077098808,-0.006526792008393077
2014-12-12,-0.0009272299849897405,-0.0007319418036757947,-0.0033268310196359926,0.0,-0.006227298724146462,0.00021567716474502727
2014-12-19,0.003940176956543149,0.003672329011969892,0.0022674697661455045,0.0,-0.0025311362634965187,0.00400069396404463
