date,LIVE composite,carry/vol only,ESI only,TSMOM 12w,MA cross,STFV fade,ML ridge
2014-01-24,0.0011123009314554838,,,,,,
2014-01-31,0.004032058516358982,,,,,,
2014-02-07,-0.003449072594139295,,,,,,
2014-02-14,0.0004886369993352426,,,,,,
2014-02-21,0.0028071865642607836,-0.0034102445108668486,0.0034467215371221387,,,,
2014-02-28,0.00015563032379556062,-1.908145608294159e-05,0.0035108933723274473,,,,
2014-03-07,0.002841426982823094,0.0022230933388799738,0.005295894293674662,,,,
2014-03-14,0.0009443542167235802,-0.0027092899348185534,0.0023823434790607475,,,,
2014-03-21,0.011561875720503781,0.029027353398833663,0.005654518835172576,,,,
2014-03-28,0.011081452178339684,0.009135818799399315,0.009925050180881132,,,,
2014-04-04,-0.0003138621138402822,0.0025333031500512845,0.0017349873613557683,,,,
2014-04-11,0.0010956833556019156,-0.0013821739549694282,0.005718386648755272,,,,
2014-04-18,1.0369590057705313e-05,0.0006518276600555552,-0.00677175778427608,0.0034625350182426063,,,
2014-04-25,0.0028742278724485128,0.0051941912163423745,0.0028017292425674776,-3.474289157763359e-05,,,
2014-05-02,0.006737634917859352,0.0024695962267206107,0.005138749041636434,0.004415226361639706,,,
2014-05-09,-0.005580876668487978,-0.006917995530501181,9.280786040969284e-05,-0.0003894939457735825,,,
2014-05-16,0.012300219069284248,0.012248980542143453,-0.001563644905170169,0.004613410924768511,,,
2014-05-23,-0.004996711128392297,0.005140695303474974,0.0062232167322155,0.0017011174590459682,,,
2014-05-30,-0.002090097063200546,-0.01799082855767209,0.011896816576774251,-0.0037002652310436745,,,
2014-06-06,-0.0002722253098674105,-0.0031869461682788127,-0.0061286432035886265,-2.3898901512050744e-05,,,
2014-06-13,0.0038720259788081594,0.006631404265297307,-0.003802194436247553,-0.002198787082837937,,,
2014-06-20,-0.0010078041808696584,-0.0016001661718898909,0.0005480208211662678,0.0011017506614009122,,,
2014-06-27,0.002672637232051588,0.004532156949255135,-0.006748802395394368,0.006932382496877938,,,
2014-07-04,0.001189531662956192,0.0020752219153299,0.0008655945078665192,-0.0016683061492238245,,,
2014-07-11,0.0010345219154002906,0.0017802420234698819,-0.001603756301972977,-0.007770479669163608,,,
2014-07-18,0.000810102488990179,0.001713914781851908,-0.0013529383900010795,-0.0007159156918981027,,,
2014-07-25,0.0013756525673014547,0.0019238995618712203,-0.0016596045362703114,0.0044835122722957635,,,
2014-08-01,0.0022105716861348505,0.0011077604145230135,0.008733413610315375,0.0037345646600897516,,,
2014-08-08,0.0016787411676427754,7.961926435195619e-05,0.00573210693055756,0.0023653494814076005,,,
2014-08-15,0.0010888858510028215,-0.002821497903817541,0.006627300040902522,0.005653054443389587,,,
2014-08-22,0.006258089815581992,-0.0015161481320663018,0.01075476521108425,0.0034052204825953604,,,
2014-08-29,0.0062932339486710285,0.0006648373849064322,0.007203695020232003,0.00913687846869815,,,
2014-09-05,,0.0024910248282969546,-0.010442892527265787,0.001971484047520552,,,
2014-09-12,-0.004167725653246399,0.007319733568033265,-0.007817704118155962,0.0016376822832308527,,,
2014-09-19,0.0016993372299578665,0.007997553799270458,-0.008834640059390234,0.0008720766164606808,,,
2014-09-26,0.005598922726058528,0.00590449125997906,-0.002163551052015911,0.006056665306424448,,,
2014-10-03,-0.003424729012701996,-0.004693710319299806,-0.00036545080231792067,0.001727393175489798,,,
2014-10-10,0.0010765018498604022,-0.002133350884995678,0.0006638629496812013,-0.011316236635180568,,,
2014-10-17,0.0049104541681533635,0.0027385555429838586,,-0.0055777952517999906,,,
2014-10-24,0.005608968930520915,0.010214800311233752,0.001969528094839232,0.011015477593867161,0.007155070100043568,,
2014-10-31,0.01065561482543153,0.006122104450119175,0.0031961281862535195,0.0058762720671306804,-0.000662112980928614,,
